Timestamp,NSW1,QLD1,SA1,TAS1,VIC1
2011-01-01 00:00:00,24.62,23.58,27.4,20.81,22.95
2011-01-01 00:30:00,25.0,23.71,24.38,20.39,20.15
2011-01-01 01:00:00,24.43,23.01,22.19,21.32,19.22
2011-01-01 01:30:00,25.02,22.78,23.13,23.22,22.5
2011-01-01 02:00:00,22.82,20.47,20.43,23.24,17.56
2011-01-01 02:30:00,21.19,19.24,18.82,23.24,17.19
2011-01-01 03:00:00,22.28,19.75,18.29,23.24,17.02
2011-01-01 03:30:00,19.64,17.34,15.75,23.27,14.62
2011-01-01 04:00:00,19.83,17.35,13.4,23.24,10.31
2011-01-01 04:30:00,19.8,17.22,13.84,23.26,10.94
2011-01-01 05:00:00,18.85,16.47,13.37,20.63,12.26
2011-01-01 05:30:00,19.49,15.92,16.17,17.16,13.46
2011-01-01 06:00:00,18.68,15.84,14.99,16.96,14.55
2011-01-01 06:30:00,20.03,16.92,15.69,17.1,15.59
2011-01-01 07:00:00,21.92,18.72,15.84,16.37,15.34
2011-01-01 07:30:00,21.48,18.33,15.77,16.38,14.56
2011-01-01 08:00:00,20.88,17.92,15.23,14.47,14.62
2011-01-01 08:30:00,24.87,20.37,18.71,16.05,15.64
2011-01-01 09:00:00,25.24,22.25,15.98,15.08,15.57
2011-01-01 09:30:00,25.31,22.28,16.17,16.79,15.83
2011-01-01 10:00:00,25.32,22.61,16.52,17.14,16.07
2011-01-01 10:30:00,25.31,22.76,19.34,17.21,17.59
2011-01-01 11:00:00,25.54,22.78,19.23,17.16,17.64
2011-01-01 11:30:00,27.86,24.57,19.54,17.17,17.71
2011-01-01 12:00:00,24.49,22.06,19.34,17.14,17.64
2011-01-01 12:30:00,25.31,22.78,18.62,17.16,17.07
2011-01-01 13:00:00,25.26,22.7,15.81,16.85,15.27
2011-01-01 13:30:00,25.31,23.21,11.9,13.42,11.8
2011-01-01 14:00:00,25.31,23.19,9.55,9.6,9.89
2011-01-01 14:30:00,26.35,24.1,10.04,9.91,10.2
2011-01-01 15:00:00,27.52,24.87,17.11,17.85,17.24
2011-01-01 15:30:00,28.89,25.8,17.22,17.16,16.77
2011-01-01 16:00:00,29.66,26.87,17.43,17.16,17.44
2011-01-01 16:30:00,30.51,27.12,20.28,17.84,17.99
