Timestamp,Centre-North,Centre-South,North,SACOAC,SACODC,Sardinia,Sicily,South
2017-01-01 00:00:00,53.0,53.0,53.0,53.0,53.0,53.0,57.16,53.0
2017-01-01 01:00:00,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
2017-01-01 02:00:00,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
2017-01-01 03:00:00,47.27,47.27,47.27,47.27,47.27,47.27,47.27,47.27
2017-01-01 04:00:00,45.49,45.49,45.49,45.49,45.49,45.49,45.49,45.49
2017-01-01 05:00:00,45.69,45.69,45.69,45.69,45.69,45.69,45.69,45.69
2017-01-01 06:00:00,48.07,48.07,48.07,48.07,48.07,48.07,48.07,48.07
2017-01-01 07:00:00,45.67,45.67,45.67,45.67,45.67,45.67,45.67,45.67
2017-01-01 08:00:00,45.48,45.48,45.48,45.48,45.48,45.48,45.48,45.48
2017-01-01 09:00:00,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06
2017-01-01 10:00:00,46.86,46.86,46.86,46.86,46.86,46.86,46.86,46.86
2017-01-01 11:00:00,48.02,48.02,48.02,48.02,48.02,48.02,48.02,48.02
2017-01-01 12:00:00,49.57,49.57,49.57,49.57,49.57,49.57,49.57,49.57
2017-01-01 13:00:00,48.69,48.69,48.69,48.69,48.69,48.69,48.69,48.69
2017-01-01 14:00:00,46.91,46.91,46.91,46.91,46.91,46.91,46.91,46.91
2017-01-01 15:00:00,49.43,49.43,49.43,49.43,49.43,49.43,49.43,49.43
2017-01-01 16:00:00,50.45,50.45,50.45,50.45,50.45,50.45,57.26,50.45
2017-01-01 17:00:00,53.3,53.3,53.3,53.3,53.3,53.3,66.74,53.3
2017-01-01 18:00:00,59.07,59.07,59.07,59.07,59.07,59.07,85.78,59.07
2017-01-01 19:00:00,61.71,61.71,61.71,61.71,61.71,61.71,85.78,61.71
2017-01-01 20:00:00,56.26,56.26,56.26,56.26,56.26,56.26,85.78,56.26
2017-01-01 21:00:00,55.0,55.0,55.0,55.0,55.0,55.0,85.78,55.0
2017-01-01 22:00:00,54.0,54.0,54.0,54.0,54.0,54.0,58.75,54.0
2017-01-01 23:00:00,52.0,52.0,52.0,52.0,52.0,52.0,58.75,52.0
2017-01-02 00:00:00,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
2017-01-02 01:00:00,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18
2017-01-02 02:00:00,49.11,49.11,49.11,49.11,49.11,49.11,49.11,49.11
2017-01-02 03:00:00,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15
2017-01-02 04:00:00,48.41,48.41,48.41,48.41,48.41,48.41,48.41,48.41
2017-01-02 05:00:00,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15
2017-01-02 06:00:00,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
2017-01-02 07:00:00,59.07,59.07,59.07,59.07,59.07,59.07,79.28,59.07
2017-01-02 08:00:00,64.15,64.15,64.15,64.15,64.15,64.15,79.28,64.15
2017-01-02 09:00:00,62.5,62.5,62.5,62.5,62.5,62.5,65.28,62.5
2017-01-02 10:00:00,61.7,60.0,61.7,60.0,61.7,60.0,60.89,60.0
2017-01-02 11:00:00,54.0,54.0,61.2,54.0,54.0,54.0,59.36,54.0
2017-01-02 12:00:00,53.0,53.0,55.69,53.0,53.0,53.0,57.37,53.0
2017-01-02 13:00:00,55.67,53.0,55.67,53.0,55.67,53.0,57.37,53.0
2017-01-02 14:00:00,61.19,54.0,61.19,54.0,61.19,54.0,59.92,54.0
2017-01-02 15:00:00,59.71,55.0,59.71,55.0,59.71,55.0,59.9,55.0
2017-01-02 16:00:00,60.96,60.96,60.96,60.96,60.96,60.96,65.28,60.96
2017-01-02 17:00:00,73.55,73.55,73.55,73.55,73.55,73.55,81.84,73.55
