Timestamp,System Price,Hokkaido,Tohoku,Tokyo,Chubu,Hokuriko,Kansai,Chugoku,Shikoku,Kyushu
2015-01-01 00:00:00,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76
2015-01-01 00:30:00,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76
2015-01-01 01:00:00,12.28,12.28,12.28,12.28,12.28,12.28,12.28,12.28,12.28,12.28
2015-01-01 01:30:00,12.27,12.27,12.27,12.27,12.27,12.27,12.27,12.27,12.27,12.27
2015-01-01 02:00:00,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.02
2015-01-01 02:30:00,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05
2015-01-01 03:00:00,12.28,12.28,12.28,12.28,12.28,12.28,12.28,12.28,12.28,12.28
2015-01-01 03:30:00,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05
2015-01-01 04:00:00,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05
2015-01-01 04:30:00,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05
2015-01-01 05:00:00,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05
2015-01-01 05:30:00,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05
2015-01-01 06:00:00,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95
2015-01-01 06:30:00,11.96,11.96,11.96,11.96,11.96,11.96,11.96,11.96,11.96,11.96
2015-01-01 07:00:00,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05
2015-01-01 07:30:00,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05
2015-01-01 08:00:00,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93
2015-01-01 08:30:00,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93
2015-01-01 09:00:00,11.94,11.94,11.94,11.94,11.94,11.94,11.94,11.94,11.94,11.94
2015-01-01 09:30:00,11.94,11.94,11.94,11.94,11.94,11.94,11.94,11.94,11.94,11.94
2015-01-01 10:00:00,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9
2015-01-01 10:30:00,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53
2015-01-01 11:00:00,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53
2015-01-01 11:30:00,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53
2015-01-01 12:00:00,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53
2015-01-01 12:30:00,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53
2015-01-01 13:00:00,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53
2015-01-01 13:30:00,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11
2015-01-01 14:00:00,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53
2015-01-01 14:30:00,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53
2015-01-01 15:00:00,11.61,11.61,11.61,11.61,11.61,11.61,11.61,11.61,11.61,11.61
2015-01-01 15:30:00,11.61,11.61,11.61,11.61,11.61,11.61,11.61,11.61,11.61,11.61
2015-01-01 16:00:00,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93
2015-01-01 16:30:00,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05
2015-01-01 17:00:00,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76
2015-01-01 17:30:00,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91
2015-01-01 18:00:00,12.56,12.56,12.56,12.56,12.56,12.56,12.56,12.56,12.56,12.56
2015-01-01 18:30:00,12.56,12.56,12.56,12.56,12.56,12.56,12.56,12.56,12.56,12.56
2015-01-01 19:00:00,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76
2015-01-01 19:30:00,12.92,12.92,12.92,12.92,12.92,12.92,12.92,12.92,12.92,12.92
2015-01-01 20:00:00,13.26,13.26,13.26,13.26,13.26,13.26,13.26,13.26,13.26,13.26
2015-01-01 20:30:00,13.26,13.26,13.26,13.26,13.26,13.26,13.26,13.26,13.26,13.26
2015-01-01 21:00:00,13.26,13.26,13.26,13.26,13.26,13.26,13.26,13.26,13.26,13.26
2015-01-01 21:30:00,13.26,13.26,13.26,13.26,13.26,13.26,13.26,13.26,13.26,13.26
2015-01-01 22:00:00,13.26,13.26,13.26,13.26,13.26,13.26,13.26,13.26,13.26,13.26
2015-01-01 22:30:00,12.92,12.92,12.92,12.92,12.92,12.92,12.92,12.92,12.92,12.92
2015-01-01 23:00:00,12.92,12.92,12.92,12.92,12.92,12.92,12.92,12.92,12.92,12.92
2015-01-01 23:30:00,12.92,12.92,12.92,12.92,12.92,12.92,12.92,12.92,12.92,12.92
2015-01-02 00:00:00,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97
2015-01-02 00:30:00,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97
2015-01-02 01:00:00,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05
2015-01-02 01:30:00,12.27,12.27,12.27,12.27,12.27,12.27,12.27,12.27,12.27,12.27
2015-01-02 02:00:00,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05
2015-01-02 02:30:00,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3
2015-01-02 03:00:00,12.28,12.28,12.28,12.28,12.28,12.28,12.28,12.28,12.28,12.28
