Timestamp,NO1,NO2,NO3,NO4,NO5
2019-01-01 00:00:00,48.77,48.77,45.36,45.36,48.77
2019-01-01 01:00:00,49.25,49.25,45.31,45.31,49.25
2019-01-01 02:00:00,49.17,49.17,45.37,45.37,49.17
2019-01-01 03:00:00,48.37,48.37,45.21,45.21,48.37
2019-01-01 04:00:00,47.19,47.19,44.9,44.9,47.19
2019-01-01 05:00:00,47.37,47.37,45.16,45.16,47.37
2019-01-01 06:00:00,48.16,48.16,46.17,46.17,48.16
2019-01-01 07:00:00,49.09,49.09,46.1,46.1,49.09
2019-01-01 08:00:00,47.63,47.63,45.75,45.75,47.63
2019-01-01 09:00:00,47.99,47.99,46.01,46.01,47.99
2019-01-01 10:00:00,49.2,49.2,46.92,46.92,49.2
2019-01-01 11:00:00,49.39,49.39,47.36,47.36,49.39
2019-01-01 12:00:00,49.2,49.2,47.55,47.55,49.2
2019-01-01 13:00:00,49.13,49.13,47.71,47.71,49.13
2019-01-01 14:00:00,48.33,48.33,47.8,47.8,48.33
2019-01-01 15:00:00,48.45,48.45,48.08,48.08,48.45
2019-01-01 16:00:00,48.98,48.98,48.13,48.13,48.98
2019-01-01 17:00:00,49.45,49.45,48.15,48.15,49.45
2019-01-01 18:00:00,48.89,48.89,48.05,48.05,48.89
2019-01-01 19:00:00,48.91,48.91,47.76,47.76,48.91
2019-01-01 20:00:00,49.31,49.31,47.67,47.67,49.31
2019-01-01 21:00:00,49.1,49.1,47.57,47.57,49.1
2019-01-01 22:00:00,49.42,49.42,47.48,47.48,49.42
2019-01-01 23:00:00,49.12,49.12,47.21,47.21,49.12
2019-01-02 00:00:00,49.16,49.16,47.09,47.09,49.16
2019-01-02 01:00:00,48.14,48.14,47.15,47.15,48.14
2019-01-02 02:00:00,48.14,48.14,46.97,46.97,48.14
2019-01-02 03:00:00,47.24,47.24,47.1,47.1,47.24
2019-01-02 04:00:00,47.53,47.53,47.22,47.22,47.53
2019-01-02 05:00:00,47.98,47.98,47.62,47.62,47.98
2019-01-02 06:00:00,49.44,49.44,47.95,47.95,49.44
2019-01-02 07:00:00,50.11,50.11,49.64,49.64,50.11
2019-01-02 08:00:00,50.74,50.74,49.96,49.96,50.74
2019-01-02 09:00:00,50.74,50.74,50.74,50.74,50.74
2019-01-02 10:00:00,50.69,50.69,49.99,49.99,50.69
2019-01-02 11:00:00,50.27,50.27,50.25,50.25,50.27
2019-01-02 12:00:00,49.94,49.94,49.94,49.94,49.94
2019-01-02 13:00:00,50.11,50.11,49.97,49.97,50.11
2019-01-02 14:00:00,50.93,50.93,50.93,50.93,50.93
2019-01-02 15:00:00,52.38,52.38,52.38,52.38,52.38
2019-01-02 16:00:00,54.67,54.67,54.67,54.67,54.67
2019-01-02 17:00:00,55.58,55.58,55.58,55.58,55.58
2019-01-02 18:00:00,55.39,55.39,55.39,55.39,55.39
2019-01-02 19:00:00,54.9,54.9,54.9,54.9,54.9
2019-01-02 20:00:00,53.86,53.86,53.86,53.86,53.86
2019-01-02 21:00:00,52.71,52.71,52.71,52.71,52.71
2019-01-02 22:00:00,52.09,52.09,52.09,52.09,52.09
2019-01-02 23:00:00,50.76,50.76,50.76,50.76,50.76
2019-01-03 00:00:00,50.03,50.03,49.8,49.8,50.03
2019-01-03 01:00:00,48.89,48.89,48.89,48.89,48.89
2019-01-03 02:00:00,48.31,48.31,48.31,48.31,48.31
2019-01-03 03:00:00,48.4,48.4,48.4,48.4,48.4
2019-01-03 04:00:00,48.79,48.79,48.79,48.79,48.79
2019-01-03 05:00:00,49.61,49.61,49.61,49.61,49.61
2019-01-03 06:00:00,51.17,51.17,51.17,51.17,51.17
2019-01-03 07:00:00,53.91,53.91,53.91,53.91,53.91
2019-01-03 08:00:00,58.86,58.86,54.96,54.96,56.67
2019-01-03 09:00:00,59.14,59.14,54.27,54.27,56.76
2019-01-03 10:00:00,58.19,58.19,53.79,53.79,56.78
2019-01-03 11:00:00,61.47,61.47,53.25,53.25,56.68
2019-01-03 12:00:00,62.0,62.0,53.15,53.15,56.62
2019-01-03 13:00:00,63.12,63.12,52.61,52.61,56.6
2019-01-03 14:00:00,63.67,63.67,52.63,52.63,56.61
2019-01-03 15:00:00,66.13,66.13,52.69,52.69,56.67
2019-01-03 16:00:00,68.41,68.41,52.85,52.85,56.73
2019-01-03 17:00:00,69.55,69.55,52.58,52.58,56.66
2019-01-03 18:00:00,65.67,65.67,52.23,52.23,56.57
2019-01-03 19:00:00,61.51,61.51,52.33,52.33,56.53
2019-01-03 20:00:00,56.04,56.04,53.34,53.34,56.04
2019-01-03 21:00:00,54.44,54.44,54.07,54.07,54.44
2019-01-03 22:00:00,52.09,52.09,52.09,52.09,52.09
2019-01-03 23:00:00,49.98,49.98,49.98,49.98,49.98
2019-01-04 00:00:00,49.98,49.98,49.87,49.87,49.98
2019-01-04 01:00:00,48.67,48.67,47.97,47.97,48.67
2019-01-04 02:00:00,47.71,47.71,47.07,47.07,47.71
2019-01-04 03:00:00,47.64,47.64,47.05,47.05,47.64
2019-01-04 04:00:00,47.43,47.43,47.43,47.43,47.43
2019-01-04 05:00:00,48.58,48.58,48.58,48.58,48.58
2019-01-04 06:00:00,50.87,50.87,50.87,50.87,50.87
