Timestamp,SE1,SE2,SE3,SE4
2018-01-01 00:00:00,26.33,26.33,26.33,26.33
2018-01-01 01:00:00,26.43,26.43,26.43,26.43
2018-01-01 02:00:00,26.1,26.1,26.1,26.1
2018-01-01 03:00:00,24.7,24.7,24.7,24.7
2018-01-01 04:00:00,24.74,24.74,24.74,24.74
2018-01-01 05:00:00,18.01,18.01,18.01,18.01
2018-01-01 06:00:00,17.78,17.78,17.78,17.78
2018-01-01 07:00:00,17.8,17.8,17.8,17.8
2018-01-01 08:00:00,19.76,19.76,19.76,19.76
2018-01-01 09:00:00,20.73,20.73,20.73,20.73
2018-01-01 10:00:00,24.76,24.76,24.76,24.76
2018-01-01 11:00:00,25.68,25.68,25.68,25.68
2018-01-01 12:00:00,24.09,24.09,24.09,24.09
2018-01-01 13:00:00,25.01,25.01,25.01,25.01
2018-01-01 14:00:00,25.81,25.81,25.81,25.81
2018-01-01 15:00:00,26.46,26.46,26.46,26.46
2018-01-01 16:00:00,27.03,27.03,27.03,27.03
2018-01-01 17:00:00,27.43,27.43,27.43,27.43
2018-01-01 18:00:00,27.29,27.29,27.29,27.29
2018-01-01 19:00:00,26.96,26.96,26.96,26.96
2018-01-01 20:00:00,26.7,26.7,26.7,26.7
2018-01-01 21:00:00,26.47,26.47,26.47,26.47
2018-01-01 22:00:00,26.09,26.09,26.09,26.09
2018-01-01 23:00:00,24.88,24.88,24.88,24.88
2018-01-02 00:00:00,25.28,25.28,25.28,25.28
2018-01-02 01:00:00,23.16,23.16,23.16,23.16
2018-01-02 02:00:00,24.78,24.78,24.78,24.78
2018-01-02 03:00:00,25.03,25.03,25.03,25.03
2018-01-02 04:00:00,25.73,25.73,25.73,25.73
2018-01-02 05:00:00,26.84,26.84,26.84,26.84
2018-01-02 06:00:00,27.8,27.8,27.8,27.8
2018-01-02 07:00:00,30.5,30.5,30.5,30.5
2018-01-02 08:00:00,31.93,31.93,31.93,31.93
2018-01-02 09:00:00,33.53,33.53,33.53,33.53
2018-01-02 10:00:00,35.04,35.04,35.04,35.04
2018-01-02 11:00:00,35.22,35.22,35.22,35.22
2018-01-02 12:00:00,34.56,34.56,34.56,34.56
2018-01-02 13:00:00,34.1,34.1,34.1,34.1
2018-01-02 14:00:00,35.98,35.98,35.98,35.98
2018-01-02 15:00:00,38.05,38.05,38.05,38.05
2018-01-02 16:00:00,41.67,41.67,41.67,41.67
2018-01-02 17:00:00,42.39,42.39,42.39,42.39
2018-01-02 18:00:00,37.79,37.79,37.79,37.79
2018-01-02 19:00:00,33.7,33.7,33.7,34.08
2018-01-02 20:00:00,30.88,30.88,30.88,30.88
2018-01-02 21:00:00,28.85,28.85,28.85,28.85
2018-01-02 22:00:00,27.99,27.99,27.99,27.99
2018-01-02 23:00:00,27.6,27.6,27.6,27.6
2018-01-03 00:00:00,27.12,27.12,27.12,27.12
2018-01-03 01:00:00,26.61,26.61,26.61,26.61
2018-01-03 02:00:00,26.26,26.26,26.26,26.26
2018-01-03 03:00:00,26.23,26.23,26.23,26.23
2018-01-03 04:00:00,26.42,26.42,26.42,26.42
2018-01-03 05:00:00,27.47,27.47,27.47,27.47
2018-01-03 06:00:00,28.31,28.31,28.31,28.31
2018-01-03 07:00:00,28.95,28.95,28.95,28.95
2018-01-03 08:00:00,29.2,29.2,29.2,29.2
2018-01-03 09:00:00,29.28,29.28,29.28,29.28
2018-01-03 10:00:00,29.42,29.42,29.42,29.42
2018-01-03 11:00:00,29.25,29.25,29.25,29.25
2018-01-03 12:00:00,29.23,29.23,29.23,29.23
2018-01-03 13:00:00,29.49,29.49,29.49,29.49
2018-01-03 14:00:00,29.86,29.86,29.86,29.86
2018-01-03 15:00:00,30.51,30.51,30.51,30.51
2018-01-03 16:00:00,31.33,31.33,31.33,31.33
2018-01-03 17:00:00,31.59,31.59,31.59,31.59
2018-01-03 18:00:00,30.78,30.78,30.78,30.78
2018-01-03 19:00:00,30.15,30.15,30.15,30.15
2018-01-03 20:00:00,29.37,29.37,29.37,29.37
2018-01-03 21:00:00,28.93,28.93,28.93,28.93
2018-01-03 22:00:00,28.13,28.13,28.13,28.13
2018-01-03 23:00:00,27.31,27.31,27.31,27.31
2018-01-04 00:00:00,27.05,27.05,27.05,27.05
2018-01-04 01:00:00,26.78,26.78,26.78,26.78
2018-01-04 02:00:00,26.47,26.47,26.47,26.47
2018-01-04 03:00:00,26.49,26.49,26.49,26.49
2018-01-04 04:00:00,26.6,26.6,26.6,26.6
2018-01-04 05:00:00,27.01,27.01,27.01,27.01
2018-01-04 06:00:00,28.04,28.04,28.04,28.04
2018-01-04 07:00:00,30.43,30.43,30.43,30.43
2018-01-04 08:00:00,32.83,32.83,32.83,36.3
2018-01-04 09:00:00,34.97,34.97,34.97,34.97
2018-01-04 10:00:00,37.55,37.55,37.55,37.55
2018-01-04 11:00:00,36.02,36.02,36.02,36.02
2018-01-04 12:00:00,35.53,35.53,35.53,35.53
2018-01-04 13:00:00,35.3,35.3,35.3,35.3
2018-01-04 14:00:00,35.83,35.83,35.83,35.83
2018-01-04 15:00:00,37.83,37.83,37.83,37.83
2018-01-04 16:00:00,39.03,39.03,39.03,39.03
2018-01-04 17:00:00,37.71,37.71,37.91,37.91
2018-01-04 18:00:00,35.03,35.03,35.03,35.03
2018-01-04 19:00:00,31.87,31.87,31.87,31.87
2018-01-04 20:00:00,30.78,30.78,30.78,30.78
2018-01-04 21:00:00,30.27,30.27,30.27,30.27
2018-01-04 22:00:00,29.63,29.63,29.63,29.63
2018-01-04 23:00:00,28.05,28.05,28.05,28.05
2018-01-05 00:00:00,27.38,27.38,27.38,27.38
2018-01-05 01:00:00,26.93,26.93,26.93,26.93
2018-01-05 02:00:00,26.5,26.5,26.5,26.5
2018-01-05 03:00:00,26.5,26.5,26.5,26.5
2018-01-05 04:00:00,26.88,26.88,26.88,26.88
2018-01-05 05:00:00,27.66,27.66,27.66,27.66
2018-01-05 06:00:00,28.65,28.65,28.65,28.65
2018-01-05 07:00:00,30.44,30.44,30.44,30.44
2018-01-05 08:00:00,32.53,32.53,32.53,32.96
2018-01-05 09:00:00,33.52,33.52,33.52,35.43
2018-01-05 10:00:00,33.31,33.31,33.31,37.59
2018-01-05 11:00:00,32.98,32.98,32.98,37.55
2018-01-05 12:00:00,32.88,32.88,32.88,37.55
2018-01-05 13:00:00,32.84,32.84,32.84,37.52
2018-01-05 14:00:00,32.87,32.87,32.87,32.94
2018-01-05 15:00:00,33.5,33.5,33.5,37.51
2018-01-05 16:00:00,35.1,35.1,35.1,37.6
2018-01-05 17:00:00,37.3,37.3,37.3,37.56
2018-01-05 18:00:00,34.0,34.0,34.0,34.0
2018-01-05 19:00:00,32.25,32.25,32.25,32.25
2018-01-05 20:00:00,31.51,31.51,31.51,31.51
2018-01-05 21:00:00,31.25,31.25,31.25,31.25
2018-01-05 22:00:00,30.44,30.44,30.44,30.44
2018-01-05 23:00:00,29.64,29.64,29.64,29.64
2018-01-06 00:00:00,29.45,29.45,29.45,29.45
2018-01-06 01:00:00,28.55,28.55,28.55,28.55
2018-01-06 02:00:00,28.18,28.18,28.18,28.18
2018-01-06 03:00:00,28.0,28.0,28.0,28.0
2018-01-06 04:00:00,28.15,28.15,28.15,28.15
2018-01-06 05:00:00,28.7,28.7,28.7,28.7
2018-01-06 06:00:00,29.48,29.48,29.48,29.48
2018-01-06 07:00:00,30.35,30.35,30.35,30.35
2018-01-06 08:00:00,30.38,30.38,30.38,30.38
2018-01-06 09:00:00,30.9,30.9,30.9,30.9
2018-01-06 10:00:00,31.89,31.89,31.89,31.89
2018-01-06 11:00:00,32.86,32.86,32.86,32.86
2018-01-06 12:00:00,32.17,32.17,32.17,32.17
2018-01-06 13:00:00,31.79,31.79,31.79,31.79
2018-01-06 14:00:00,31.77,31.77,31.77,31.77
2018-01-06 15:00:00,33.05,33.05,33.05,33.05
2018-01-06 16:00:00,36.47,36.47,36.47,39.54
2018-01-06 17:00:00,36.53,36.53,36.53,41.39
2018-01-06 18:00:00,34.45,34.45,34.45,34.45
2018-01-06 19:00:00,31.93,31.93,31.93,31.93
2018-01-06 20:00:00,31.06,31.06,31.06,31.06
2018-01-06 21:00:00,30.72,30.72,30.72,30.72
2018-01-06 22:00:00,29.98,29.98,29.98,29.98
2018-01-06 23:00:00,29.03,29.03,29.03,29.03
2018-01-07 00:00:00,27.58,27.58,27.58,27.58
2018-01-07 01:00:00,25.9,25.9,25.9,25.9
2018-01-07 02:00:00,25.89,25.89,25.89,25.89
2018-01-07 03:00:00,26.16,26.16,26.16,26.16
2018-01-07 04:00:00,26.6,26.6,26.6,26.6
2018-01-07 05:00:00,27.14,27.14,27.14,27.14
2018-01-07 06:00:00,27.43,27.43,27.43,27.43
2018-01-07 07:00:00,27.69,27.69,27.69,27.69
2018-01-07 08:00:00,27.93,27.93,27.93,27.93
2018-01-07 09:00:00,28.33,28.33,28.33,28.33
