Timestamp,HB_BUSAVG,HB_HOUSTON,HB_HUBAVG,HB_NORTH,HB_SOUTH,HB_WEST,LZ_AEN,LZ_CPS,LZ_HOUSTON,LZ_LCRA,LZ_NORTH,LZ_RAYBN,LZ_SOUTH,LZ_WEST
2011-01-01 00:00:00,25.18,25.36,25.07,25.33,25.12,24.49,25.2,25.12,25.41,25.15,25.32,25.32,25.1,25.07
2011-01-01 01:00:00,23.84,24.04,23.71,24.0,23.77,23.05,23.85,23.77,24.09,23.8,23.99,24.0,23.75,23.65
2011-01-01 02:00:00,23.86,24.03,23.76,24.0,23.8,23.2,23.87,23.79,24.09,23.82,23.99,24.0,23.78,23.81
2011-01-01 03:00:00,23.82,23.95,23.76,23.9,23.72,23.47,23.8,23.73,24.01,23.75,23.9,23.9,23.71,23.74
2011-01-01 04:00:00,24.59,24.71,24.54,24.67,24.52,24.25,24.59,24.53,24.76,24.55,24.67,24.67,24.51,24.88
2011-01-01 05:00:00,27.86,27.9,27.78,28.0,27.65,27.58,28.46,27.72,27.94,28.25,28.0,27.99,27.35,28.42
2011-01-01 06:00:00,31.86,31.99,31.8,32.0,31.57,31.64,32.39,31.63,32.08,32.04,32.0,32.0,31.38,32.37
2011-01-01 07:00:00,33.85,33.96,33.8,34.0,33.52,33.71,34.8,33.59,34.04,34.06,34.0,34.0,33.4,34.44
2011-01-01 08:00:00,35.15,35.2,35.08,35.31,34.82,34.99,36.2,34.92,35.25,35.55,35.31,35.31,34.57,36.03
2011-01-01 09:00:00,33.96,33.92,33.86,34.21,33.43,33.9,36.97,33.59,33.95,34.73,34.22,34.2,33.34,34.94
2011-01-01 10:00:00,33.23,33.33,33.18,33.34,33.0,33.06,34.06,33.04,33.37,33.3,33.34,33.34,33.05,34.0
2011-01-01 11:00:00,31.27,30.86,31.05,31.87,29.91,31.55,41.78,30.33,30.84,33.44,31.9,31.84,30.4,32.13
2011-01-01 12:00:00,29.16,29.31,29.12,29.24,29.02,28.91,29.13,29.04,29.35,29.1,29.24,29.24,28.97,29.47
2011-01-01 13:00:00,27.96,27.91,27.82,28.28,27.35,27.74,32.46,27.51,27.92,28.76,28.29,28.27,27.66,28.31
2011-01-01 14:00:00,26.11,26.1,26.01,26.33,25.67,25.95,29.13,25.78,26.11,26.63,26.34,26.33,25.87,26.52
2011-01-01 15:00:00,26.05,26.12,26.0,26.15,25.84,25.89,26.9,25.88,26.15,26.15,26.15,26.15,25.9,26.74
2011-01-01 16:00:00,26.88,26.94,26.83,26.98,26.7,26.7,27.76,26.74,26.96,27.0,26.98,26.98,26.76,27.66
2011-01-01 17:00:00,33.39,33.49,33.31,33.55,33.13,33.05,34.59,33.19,33.52,33.6,33.55,33.55,33.15,34.87
2011-01-01 18:00:00,46.09,46.33,45.97,46.3,45.83,45.42,46.81,45.87,46.37,46.13,46.29,46.3,45.81,47.63
