Timestamp,HB_BUSAVG,HB_HOUSTON,HB_HUBAVG,HB_NORTH,HB_SOUTH,HB_WEST,LZ_AEN,LZ_CPS,LZ_HOUSTON,LZ_LCRA,LZ_NORTH,LZ_RAYBN,LZ_SOUTH,LZ_WEST,HB_PAN
2019-01-01 00:00:00,20.49,20.12,20.54,20.49,20.34,21.22,20.54,20.23,20.1,20.27,20.5,20.53,20.86,27.56,
2019-01-01 01:00:00,19.77,19.62,19.82,19.81,19.36,20.5,19.76,19.26,19.62,19.63,19.84,19.86,19.61,27.4,
2019-01-01 02:00:00,19.56,19.22,19.6,19.58,19.29,20.31,19.57,19.18,19.21,19.26,19.61,19.64,19.65,27.46,
2019-01-01 03:00:00,19.21,18.81,19.25,19.23,18.96,19.99,19.21,18.84,18.79,18.9,19.28,19.31,19.34,27.55,
2019-01-01 04:00:00,21.22,20.71,21.28,21.23,21.01,22.15,21.22,20.88,20.68,20.92,21.26,21.29,21.6,30.52,
2019-01-01 05:00:00,22.54,22.1,22.63,22.58,21.98,23.86,22.38,21.82,22.08,22.45,22.6,22.64,22.35,35.32,
2019-01-01 06:00:00,23.93,23.23,24.06,23.97,23.17,25.89,24.24,22.89,23.2,23.18,24.01,24.06,23.65,41.28,
2019-01-01 07:00:00,24.6,23.41,24.72,24.55,24.51,26.43,25.08,24.23,23.34,24.26,24.6,24.62,26.18,39.62,
2019-01-01 08:00:00,25.01,24.17,25.05,24.91,25.47,25.65,25.82,25.34,24.11,25.19,24.96,24.94,27.21,30.78,
2019-01-01 09:00:00,24.77,24.11,24.88,24.69,25.0,25.64,25.52,24.85,24.07,24.8,24.71,24.64,26.36,30.52,
2019-01-01 10:00:00,24.69,24.32,24.75,24.62,24.89,25.11,25.5,24.8,24.3,24.78,24.65,24.6,25.69,27.78,
2019-01-01 11:00:00,25.36,25.14,25.41,25.34,25.38,25.73,25.8,25.32,25.13,25.35,25.37,25.35,25.89,28.04,
2019-01-01 12:00:00,24.17,24.12,24.22,24.18,24.0,24.54,24.57,23.95,24.13,24.06,24.21,24.2,24.02,26.84,
2019-01-01 13:00:00,22.88,22.84,22.93,22.89,22.71,23.25,23.44,22.66,22.85,22.78,22.9,22.89,22.76,25.52,
2019-01-01 14:00:00,22.86,22.77,22.91,22.88,22.6,23.37,23.16,22.54,22.77,22.68,22.9,22.9,22.58,26.51,
2019-01-01 15:00:00,22.73,22.56,22.81,22.77,22.29,23.55,22.9,22.2,22.56,22.4,22.79,22.8,22.25,29.11,
2019-01-01 16:00:00,23.64,23.45,23.72,23.68,23.12,24.59,23.83,23.01,23.45,23.25,23.73,23.74,23.13,31.75,
2019-01-01 17:00:00,31.11,30.6,31.29,31.21,29.88,33.47,30.98,29.6,30.58,30.08,31.33,31.33,29.66,51.45,
2019-01-01 18:00:00,35.29,34.11,35.57,35.35,33.74,39.1,34.5,33.37,34.06,33.88,35.49,35.52,34.04,63.2,
2019-01-01 19:00:00,30.72,29.45,31.05,30.75,29.11,34.94,30.06,28.93,29.4,29.26,30.93,30.95,29.48,59.26,
2019-01-01 20:00:00,28.71,27.71,28.91,28.83,27.28,31.83,28.12,27.15,27.67,27.43,29.01,29.05,27.48,56.16,
2019-01-01 21:00:00,27.14,26.09,27.4,27.19,25.79,30.57,26.59,25.6,26.05,25.91,27.26,27.31,26.12,51.57,
2019-01-01 22:00:00,25.27,24.36,25.41,25.39,24.21,27.68,24.87,24.17,24.31,24.44,25.44,25.48,24.42,45.46,
2019-01-01 23:00:00,23.73,23.11,23.87,23.88,22.48,26.02,23.19,22.32,23.08,22.72,23.91,23.97,22.49,44.07,
2019-01-02 00:00:00,23.69,22.86,23.82,23.8,22.75,25.89,22.91,22.48,22.81,22.8,23.83,23.88,23.19,43.39,
2019-01-02 01:00:00,23.04,22.36,23.16,23.19,21.85,25.25,22.18,21.67,22.33,22.03,23.22,23.28,22.06,43.62,
2019-01-02 02:00:00,23.08,22.34,23.2,23.22,21.98,25.24,22.29,21.84,22.31,22.17,23.25,23.31,22.36,42.98,
2019-01-02 03:00:00,22.77,21.95,22.91,22.92,21.62,25.13,21.93,21.46,21.91,21.79,22.96,23.02,22.02,44.56,
2019-01-02 04:00:00,24.94,23.66,25.09,25.09,23.82,27.81,24.03,23.61,23.58,23.93,25.13,25.2,24.74,51.1,
2019-01-02 05:00:00,28.52,26.97,28.65,28.65,27.55,31.45,27.74,27.5,26.87,27.72,28.71,28.75,28.85,55.77,
2019-01-02 06:00:00,38.89,37.51,39.13,39.13,36.87,43.03,37.39,36.6,37.45,37.15,39.34,39.36,37.26,75.68,
2019-01-02 07:00:00,38.82,37.23,39.06,38.94,37.33,42.73,37.33,36.87,37.17,38.43,39.24,39.21,38.57,72.46,
2019-01-02 08:00:00,36.12,34.86,36.26,36.24,35.13,38.83,35.19,34.81,34.82,35.41,36.64,36.5,36.16,60.1,
2019-01-02 09:00:00,39.48,38.04,39.55,39.65,38.75,41.77,38.75,38.51,38.01,38.7,40.22,42.28,40.01,58.44,
2019-01-02 10:00:00,40.21,39.42,40.25,40.24,40.08,41.26,39.98,39.99,39.43,40.02,40.67,41.42,41.22,46.84,
2019-01-02 11:00:00,37.29,36.66,37.33,37.26,37.38,38.04,37.26,37.31,36.67,37.29,37.53,37.75,38.53,43.6,
2019-01-02 12:00:00,34.58,33.92,34.61,34.52,34.82,35.19,34.63,34.75,33.95,34.68,34.72,34.75,36.27,39.83,
2019-01-02 13:00:00,34.85,34.16,34.87,34.85,34.91,35.56,34.78,34.82,34.19,34.82,35.04,35.26,36.24,40.56,
2019-01-02 14:00:00,34.79,34.19,34.84,34.85,34.54,35.77,34.53,34.44,34.21,34.51,35.11,35.38,35.39,41.66,
2019-01-02 15:00:00,34.57,33.7,34.65,34.55,34.47,35.86,34.28,34.34,33.72,34.78,34.79,34.97,36.03,43.12,
2019-01-02 16:00:00,36.3,35.49,36.45,36.34,35.53,38.41,35.55,35.34,35.54,36.18,36.55,36.76,36.64,50.67,
2019-01-02 17:00:00,64.52,62.72,64.67,64.61,63.66,67.7,63.5,63.27,62.63,64.16,65.15,65.0,65.94,92.3,
2019-01-02 18:00:00,66.51,64.47,66.72,66.57,65.57,70.26,65.4,65.13,64.36,66.16,66.98,66.92,68.07,99.02,
2019-01-02 19:00:00,40.68,38.81,40.92,40.82,39.18,44.88,39.32,38.69,38.73,39.52,41.32,41.27,40.74,77.79,
2019-01-02 20:00:00,39.88,38.02,40.1,40.0,38.59,43.8,38.57,38.16,37.94,39.26,40.33,40.34,40.35,74.69,
2019-01-02 21:00:00,35.2,33.61,35.37,35.27,34.35,38.24,34.3,34.25,33.54,34.81,35.47,35.49,36.07,62.58,
2019-01-02 22:00:00,31.36,29.5,31.53,31.37,30.89,34.34,30.7,30.71,29.38,30.73,31.42,31.47,33.1,55.4,
2019-01-02 23:00:00,26.21,24.85,26.41,26.31,25.14,29.33,25.23,24.8,24.78,25.14,26.34,26.4,26.16,51.01,
2019-01-03 00:00:00,26.31,25.15,26.5,26.48,24.91,29.44,25.18,24.58,25.09,25.0,26.52,26.6,25.46,53.76,
2019-01-03 01:00:00,23.91,23.12,24.08,24.19,22.03,27.0,22.69,22.18,23.1,22.56,24.22,24.29,22.23,50.0,
2019-01-03 02:00:00,24.47,23.71,24.64,24.75,22.55,27.56,23.24,22.7,23.68,23.09,24.79,24.86,22.62,50.56,
2019-01-03 03:00:00,23.98,23.17,24.15,24.3,21.93,27.19,22.76,22.33,23.14,22.64,24.33,24.41,22.08,50.19,
2019-01-03 04:00:00,24.22,22.65,24.27,24.75,21.97,27.73,22.73,22.56,22.58,22.77,24.84,24.98,22.17,50.91,
2019-01-03 05:00:00,29.69,28.07,29.81,30.0,28.01,33.15,28.81,28.67,27.98,28.79,30.09,30.04,28.43,58.15,
