Timestamp,HB_BUSAVG,HB_HOUSTON,HB_HUBAVG,HB_NORTH,HB_PAN,HB_SOUTH,HB_WEST,LZ_AEN,LZ_CPS,LZ_HOUSTON,LZ_LCRA,LZ_NORTH,LZ_RAYBN,LZ_SOUTH,LZ_WEST
2025-01-01 00:00:00,23.0,22.87,23.07,22.96,23.15,22.79,23.67,22.8,22.77,22.87,22.94,22.97,22.99,23.01,27.22
2025-01-01 01:00:00,21.11,20.93,21.2,21.09,21.36,20.8,21.96,20.84,20.79,20.93,21.0,21.11,21.13,21.01,25.96
2025-01-01 02:00:00,20.3,20.14,20.37,20.29,20.56,20.0,21.07,20.06,20.0,20.13,20.25,20.3,20.32,20.27,24.87
2025-01-01 03:00:00,21.53,21.29,21.61,21.56,21.9,21.05,22.54,21.16,21.09,21.28,21.32,21.57,21.6,21.36,27.02
2025-01-01 04:00:00,21.69,21.35,21.79,21.79,22.26,20.95,23.06,21.18,21.08,21.34,21.35,21.81,21.84,21.29,26.93
2025-01-01 05:00:00,24.11,23.7,24.19,24.31,24.88,23.03,25.71,23.45,23.31,23.68,23.49,24.33,24.37,23.46,28.78
2025-01-01 06:00:00,26.03,25.41,26.11,26.42,27.49,24.26,28.34,24.91,24.66,25.37,24.91,26.45,26.52,24.76,32.72
2025-01-01 07:00:00,30.24,29.51,30.32,30.59,31.73,28.6,32.6,28.93,28.57,29.47,28.93,30.65,30.72,29.29,36.46
2025-01-01 08:00:00,22.46,22.45,22.46,22.48,22.51,22.4,22.51,22.46,22.38,22.45,22.52,22.48,22.48,22.53,22.71
2025-01-01 09:00:00,18.83,18.81,18.8,18.93,18.93,18.57,18.88,18.74,18.68,18.77,18.74,18.93,18.94,18.49,18.92
2025-01-01 10:00:00,17.13,17.16,17.13,17.16,17.19,17.05,17.14,17.1,17.09,17.17,17.1,17.16,17.17,17.18,17.21
2025-01-01 11:00:00,16.64,16.62,16.63,16.66,16.69,16.59,16.65,16.62,16.61,16.62,16.62,16.66,16.66,16.69,16.72
2025-01-01 12:00:00,16.62,16.62,16.61,16.63,16.64,16.57,16.64,16.62,16.62,16.62,16.62,16.63,16.63,16.77,16.67
2025-01-01 13:00:00,15.45,15.43,15.44,15.5,15.51,15.33,15.51,15.52,15.56,15.44,15.53,15.5,15.5,15.9,15.52
2025-01-01 14:00:00,14.31,14.34,14.3,14.36,14.36,14.13,14.37,14.37,14.39,14.34,14.37,14.36,14.36,14.76,14.37
2025-01-01 15:00:00,15.0,14.98,14.99,15.05,15.05,14.85,15.06,15.08,15.12,14.99,15.09,15.05,15.04,15.5,15.07
2025-01-01 16:00:00,21.27,21.28,21.27,21.31,21.24,21.11,21.37,21.35,21.34,21.28,21.37,21.31,21.3,21.71,21.47
2025-01-01 17:00:00,38.24,36.75,38.32,39.19,41.28,34.35,43.01,34.64,33.64,36.66,33.34,39.25,39.4,35.0,46.05
2025-01-01 18:00:00,34.08,33.13,34.35,34.34,32.49,31.9,38.01,32.06,31.48,33.08,31.53,34.38,34.43,32.59,43.11
2025-01-01 19:00:00,30.0,29.64,30.26,29.57,26.47,30.48,31.35,30.3,30.72,29.66,30.58,29.58,29.52,31.15,36.07
2025-01-01 20:00:00,26.78,26.13,27.17,26.06,19.21,27.92,28.56,27.59,28.45,26.17,28.04,26.05,25.95,29.09,35.96
2025-01-01 21:00:00,19.84,19.69,20.07,19.36,11.68,20.66,20.59,20.44,20.96,19.72,20.69,19.34,19.27,21.08,27.06
2025-01-01 22:00:00,19.51,19.57,19.66,19.18,6.25,20.01,19.89,19.87,20.16,19.59,20.02,19.17,19.13,20.11,25.25
2025-01-01 23:00:00,17.97,17.99,18.11,17.65,4.94,18.55,18.24,18.34,18.72,18.01,18.53,17.64,17.6,18.81,24.17
