Timestamp,.Z.CONNECTICUT,.Z.MAINE,.Z.NEMASSBOST,.Z.NEWHAMPSHIRE,.Z.RHODEISLAND,.Z.SEMASS,.Z.VERMONT,.Z.WCMASS
2022-01-01 00:00:00,30.71,32.86,33.01,32.93,32.42,32.81,32.2,32.14
2022-01-01 01:00:00,30.45,33.0,33.03,32.91,32.54,32.86,31.93,32.02
2022-01-01 02:00:00,29.67,31.52,31.25,31.31,30.74,31.05,31.01,30.72
2022-01-01 03:00:00,28.59,30.3,30.06,30.11,29.59,29.88,29.82,29.57
2022-01-01 04:00:00,29.66,31.53,31.26,31.33,30.74,31.06,31.04,30.75
2022-01-01 05:00:00,29.65,31.53,31.23,31.3,30.69,31.02,30.93,30.69
2022-01-01 06:00:00,29.74,31.14,31.06,31.1,30.61,30.87,30.85,30.62
2022-01-01 07:00:00,29.79,31.32,31.11,31.14,30.64,30.89,30.14,30.65
2022-01-01 08:00:00,31.56,32.98,33.04,33.03,32.55,32.83,32.02,32.52
2022-01-01 09:00:00,32.31,33.81,33.73,33.84,33.04,33.5,32.95,33.22
2022-01-01 10:00:00,37.46,39.2,39.2,39.31,38.26,38.92,38.25,38.56
2022-01-01 11:00:00,40.26,42.34,42.35,42.46,41.31,42.04,41.22,41.58
2022-01-01 12:00:00,36.53,38.23,38.36,38.39,37.41,38.07,37.25,37.67
2022-01-01 13:00:00,32.64,33.83,34.04,34.06,33.29,33.87,33.18,33.53
2022-01-01 14:00:00,32.21,33.15,33.45,33.43,32.75,33.31,32.7,33.0
2022-01-01 15:00:00,33.05,34.24,34.45,34.48,33.72,34.29,33.68,33.94
2022-01-01 16:00:00,36.48,37.62,37.97,38.02,37.2,37.78,37.22,37.48
2022-01-01 17:00:00,49.0,50.51,51.14,51.14,50.1,50.9,50.01,50.44
2022-01-01 18:00:00,36.68,37.46,38.0,37.97,37.28,37.86,37.13,37.53
2022-01-01 19:00:00,34.18,34.81,35.33,35.35,34.65,35.19,34.68,34.92
2022-01-01 20:00:00,32.39,32.88,33.43,33.42,32.79,33.29,32.77,33.07
2022-01-01 21:00:00,32.52,33.42,33.76,33.72,33.23,33.6,32.92,33.3
2022-01-01 22:00:00,28.98,30.14,30.19,30.18,29.66,29.99,29.36,29.74
2022-01-01 23:00:00,28.62,29.98,29.84,29.92,29.29,29.63,29.72,29.4
2022-01-02 00:00:00,30.73,32.32,32.09,32.17,31.47,31.95,31.97,31.59
2022-01-02 01:00:00,26.41,27.66,27.47,27.52,27.0,27.36,27.33,27.06
2022-01-02 02:00:00,25.18,26.23,26.12,26.16,25.74,26.04,26.02,25.77
2022-01-02 03:00:00,24.49,25.38,25.33,25.34,24.97,25.26,25.21,25.02
2022-01-02 04:00:00,15.94,16.66,16.56,16.57,16.31,16.51,16.44,16.33
2022-01-02 05:00:00,22.84,23.76,23.7,23.71,23.36,23.64,23.53,23.38
2022-01-02 06:00:00,26.43,27.57,27.51,27.53,27.1,27.44,27.27,27.11
2022-01-02 07:00:00,28.46,29.86,29.72,29.72,29.17,29.61,28.75,29.22
2022-01-02 08:00:00,31.5,32.91,32.94,32.99,32.2,32.75,32.06,32.39
2022-01-02 09:00:00,35.06,36.76,36.68,36.83,35.8,36.44,35.92,36.09
2022-01-02 10:00:00,43.46,45.83,45.83,45.95,44.82,45.6,44.71,45.0
2022-01-02 11:00:00,42.06,44.4,44.29,44.48,43.32,43.94,43.31,43.52
2022-01-02 12:00:00,41.87,44.04,44.05,44.18,43.11,43.72,43.04,43.29
2022-01-02 13:00:00,40.49,42.3,42.54,42.6,41.68,42.27,41.54,41.84
2022-01-02 14:00:00,39.74,41.78,41.95,42.0,41.08,41.68,40.92,41.21
2022-01-02 15:00:00,41.71,43.87,44.03,44.15,43.1,43.75,43.1,43.27
2022-01-02 16:00:00,54.09,56.83,56.88,57.19,55.63,56.44,56.21,56.0
2022-01-02 17:00:00,59.66,62.7,62.86,63.14,61.41,62.37,61.69,61.77
2022-01-02 18:00:00,60.99,63.65,63.99,64.13,62.52,63.51,62.77,62.94
2022-01-02 19:00:00,58.55,60.86,61.33,61.54,59.98,60.89,60.52,60.43
2022-01-02 20:00:00,50.7,52.34,53.05,53.2,52.17,52.81,52.42,52.32
2022-01-02 21:00:00,45.15,46.9,47.57,47.51,46.69,47.49,46.39,46.78
2022-01-02 22:00:00,38.6,39.5,40.25,40.09,39.61,40.25,39.27,39.72
2022-01-02 23:00:00,35.43,36.12,36.74,36.61,36.18,36.72,35.84,36.31
2022-01-03 00:00:00,37.79,38.49,39.13,39.01,38.58,39.12,38.17,38.69
2022-01-03 01:00:00,37.19,37.71,38.41,38.28,37.88,38.41,37.55,38.03
2022-01-03 02:00:00,33.15,33.66,34.27,34.12,33.88,34.28,33.34,33.91
2022-01-03 03:00:00,34.99,35.5,36.2,36.05,35.76,36.21,35.24,35.81
2022-01-03 04:00:00,38.7,39.8,40.32,40.2,39.65,40.26,39.15,39.79
2022-01-03 05:00:00,39.36,41.03,41.34,41.29,40.63,41.31,40.03,40.69
2022-01-03 06:00:00,53.52,56.0,56.31,56.32,55.18,56.2,55.09,55.53
2022-01-03 07:00:00,53.35,55.24,55.31,55.49,54.52,55.33,54.77,54.93
2022-01-03 08:00:00,51.33,53.47,53.37,53.53,52.51,53.35,52.48,52.9
2022-01-03 09:00:00,50.03,52.04,51.78,52.07,51.0,51.6,51.14,51.42
2022-01-03 10:00:00,75.67,78.88,78.43,78.9,77.54,78.29,77.18,77.74
2022-01-03 11:00:00,74.92,78.18,77.63,78.18,76.77,77.5,76.42,76.97
2022-01-03 12:00:00,74.95,78.21,77.67,78.23,76.77,77.52,76.49,76.99
2022-01-03 13:00:00,74.01,77.19,76.68,77.24,75.75,76.55,75.66,76.02
2022-01-03 14:00:00,77.02,80.02,79.57,80.08,78.75,79.53,78.63,79.02
2022-01-03 15:00:00,80.59,83.16,83.1,83.47,82.34,83.11,82.05,82.65
2022-01-03 16:00:00,110.0,113.43,113.17,113.51,112.38,112.99,111.47,112.67
2022-01-03 17:00:00,126.69,130.11,130.43,130.76,129.52,130.2,127.81,129.68
2022-01-03 18:00:00,126.42,129.49,129.84,130.02,129.09,129.71,127.53,129.16
2022-01-03 19:00:00,112.27,114.49,115.21,115.21,114.57,115.18,113.01,114.77
2022-01-03 20:00:00,112.51,114.41,115.63,115.43,114.66,115.32,113.5,114.94
2022-01-03 21:00:00,109.93,112.74,114.11,113.67,113.16,114.69,111.21,112.88
2022-01-03 22:00:00,98.53,101.32,103.03,102.69,102.76,103.42,99.94,101.78
2022-01-03 23:00:00,99.91,102.86,104.12,103.96,103.86,104.54,101.12,102.93
2022-01-04 00:00:00,92.92,96.46,97.66,97.25,97.42,98.16,95.15,96.41
2022-01-04 01:00:00,80.08,83.31,84.26,83.89,84.04,84.67,81.97,83.12
2022-01-04 02:00:00,78.38,81.7,82.36,82.07,82.08,82.74,80.16,81.28
2022-01-04 03:00:00,80.63,84.1,84.78,84.45,84.5,85.19,82.41,83.65
2022-01-04 04:00:00,88.37,92.26,93.08,92.69,92.81,93.56,90.27,91.79
2022-01-04 05:00:00,94.13,96.98,98.05,97.74,98.33,98.98,96.18,97.3
2022-01-04 06:00:00,96.79,99.01,99.88,99.62,99.99,100.75,98.78,99.55
2022-01-04 07:00:00,120.32,123.31,123.67,123.93,123.28,124.05,124.02,123.53
2022-01-04 08:00:00,110.04,113.07,113.02,113.21,112.64,113.14,111.2,112.85
2022-01-04 09:00:00,97.64,100.71,100.04,100.32,99.65,100.05,97.86,99.87
2022-01-04 10:00:00,95.63,100.69,99.86,100.05,98.68,99.47,96.48,98.74
2022-01-04 11:00:00,85.94,90.97,90.08,90.4,88.74,89.56,87.15,88.9
2022-01-04 12:00:00,69.02,73.06,72.27,72.58,71.15,71.79,70.26,71.3
2022-01-04 13:00:00,65.96,69.71,69.04,69.31,68.1,68.63,67.24,68.13
2022-01-04 14:00:00,66.59,70.46,69.78,70.1,68.67,69.33,68.21,68.85
2022-01-04 15:00:00,79.27,84.11,83.34,83.76,81.87,82.79,81.88,82.23
2022-01-04 16:00:00,96.79,101.08,100.43,100.75,99.58,100.23,98.9,99.83
2022-01-04 17:00:00,121.79,125.8,125.99,126.21,125.2,125.94,124.33,125.27
2022-01-04 18:00:00,104.74,107.72,108.27,108.49,107.47,108.17,106.83,107.73
2022-01-04 19:00:00,95.0,97.81,98.15,98.28,97.34,98.02,96.67,97.64
2022-01-04 20:00:00,70.74,73.39,73.1,73.2,72.43,72.92,71.85,72.65
2022-01-04 21:00:00,81.77,86.17,85.37,85.95,84.18,85.22,84.46,84.59
2022-01-04 22:00:00,85.76,91.57,90.83,91.39,88.89,90.54,88.33,89.4
2022-01-04 23:00:00,87.51,92.61,92.56,92.75,90.82,92.43,88.99,91.14
2022-01-05 00:00:00,129.9,135.25,134.84,135.53,133.35,135.26,131.67,134.18
2022-01-05 01:00:00,109.63,114.07,113.72,114.16,112.5,114.07,111.59,113.16
2022-01-05 02:00:00,98.47,102.22,101.91,102.35,100.84,102.24,100.33,101.48
2022-01-05 03:00:00,104.01,108.23,107.81,108.28,106.61,108.11,105.91,107.31
2022-01-05 04:00:00,107.56,112.84,111.93,112.44,110.55,112.16,109.4,111.21
2022-01-05 05:00:00,106.8,110.12,110.06,110.08,109.28,110.74,107.4,109.71
2022-01-05 06:00:00,109.1,110.59,111.14,110.68,110.9,111.95,109.24,111.35
2022-01-05 07:00:00,132.46,132.05,134.02,133.47,133.72,134.86,132.35,134.68
2022-01-05 08:00:00,134.02,134.18,136.36,135.96,135.89,137.07,134.02,136.75
2022-01-05 09:00:00,136.74,134.9,138.36,138.09,137.98,139.15,136.7,139.08
2022-01-05 10:00:00,106.78,105.73,107.12,107.17,106.09,107.09,105.94,107.91
2022-01-05 11:00:00,91.8,90.06,91.92,91.94,91.09,91.83,91.34,92.72
2022-01-05 12:00:00,82.88,81.23,83.1,83.06,82.44,83.09,83.02,83.79
2022-01-05 13:00:00,80.39,78.54,80.53,80.44,79.96,80.57,80.44,81.23
2022-01-05 14:00:00,76.87,75.17,76.9,76.73,76.4,76.96,76.91,77.59
2022-01-05 15:00:00,70.97,69.05,70.42,70.41,69.85,70.52,71.81,71.22
2022-01-05 16:00:00,76.21,73.16,74.99,74.77,74.8,75.39,76.25,76.17
2022-01-05 17:00:00,88.63,84.15,86.86,86.48,86.66,87.38,88.35,88.41
2022-01-05 18:00:00,66.62,64.67,66.69,66.41,66.13,66.87,66.9,67.26
2022-01-05 19:00:00,63.95,62.33,64.16,64.11,63.5,64.26,64.8,64.64
2022-01-05 20:00:00,67.38,65.37,67.46,67.24,67.0,67.9,67.81,68.0
2022-01-05 21:00:00,66.31,64.94,66.7,66.54,65.96,67.15,66.56,66.99
2022-01-05 22:00:00,59.97,59.31,60.84,60.57,60.51,61.26,60.3,60.89
2022-01-05 23:00:00,56.62,57.22,58.28,58.09,57.64,58.44,57.11,57.96
2022-01-06 00:00:00,64.87,66.4,67.02,67.17,66.18,67.08,66.26,66.6
2022-01-06 01:00:00,54.56,55.89,56.42,56.46,55.69,56.48,55.61,56.02
2022-01-06 02:00:00,50.28,51.36,51.83,51.91,51.16,51.91,51.29,51.54
2022-01-06 03:00:00,52.09,53.31,53.75,53.86,53.02,53.81,53.16,53.44
2022-01-06 04:00:00,53.58,55.02,55.4,55.49,54.66,55.41,54.67,55.0
2022-01-06 05:00:00,64.33,66.42,66.8,66.97,65.75,66.73,65.89,66.35
2022-01-06 06:00:00,75.24,77.4,77.5,77.93,75.72,77.02,77.68,77.32
2022-01-06 07:00:00,88.45,91.88,91.3,91.95,88.89,90.53,90.83,90.82
2022-01-06 08:00:00,80.87,83.25,83.08,83.69,81.19,82.51,82.66,82.78
2022-01-06 09:00:00,72.48,74.48,74.62,75.08,72.91,74.09,72.61,74.23
2022-01-06 10:00:00,92.16,94.1,95.25,95.42,93.74,94.97,92.83,94.64
2022-01-06 11:00:00,83.28,85.8,86.45,86.61,85.15,86.2,83.53,85.7
2022-01-06 12:00:00,81.49,82.99,84.22,84.26,83.25,84.14,80.99,83.64
2022-01-06 13:00:00,82.0,83.31,84.69,84.72,83.77,84.66,82.62,84.15
2022-01-06 14:00:00,87.67,89.68,90.72,90.94,89.38,90.56,89.1,90.04
2022-01-06 15:00:00,105.89,107.55,109.09,109.58,107.59,108.8,108.15,108.56
2022-01-06 16:00:00,122.54,123.47,126.22,126.49,124.91,126.22,125.13,125.86
2022-01-06 17:00:00,157.37,159.77,162.28,162.8,160.34,162.11,161.42,161.49
2022-01-06 18:00:00,151.54,153.85,156.08,156.55,154.25,156.03,154.88,155.35
2022-01-06 19:00:00,151.85,154.3,156.27,157.01,154.59,156.17,155.62,155.6
2022-01-06 20:00:00,120.08,121.77,123.79,124.34,122.48,123.85,123.08,123.24
2022-01-06 21:00:00,111.95,113.18,115.41,115.77,114.53,116.07,114.64,114.85
2022-01-06 22:00:00,97.06,99.74,100.66,101.17,99.5,100.9,99.7,99.98
2022-01-06 23:00:00,100.57,104.34,104.29,104.74,103.11,104.56,102.61,103.43
2022-01-07 00:00:00,94.38,99.3,98.68,99.02,97.57,98.83,96.62,97.53
2022-01-07 01:00:00,80.58,84.49,83.92,84.32,82.96,84.04,82.45,83.11
2022-01-07 02:00:00,80.09,83.81,83.24,83.67,82.33,83.36,81.9,82.51
2022-01-07 03:00:00,80.14,84.1,83.51,83.94,82.58,83.62,82.09,82.7
2022-01-07 04:00:00,79.49,83.43,82.86,83.2,81.91,82.98,81.22,81.98
2022-01-07 05:00:00,96.61,101.67,101.33,101.77,100.03,101.49,99.48,100.09
2022-01-07 06:00:00,145.85,151.14,150.87,150.6,149.39,150.86,148.31,150.0
2022-01-07 07:00:00,151.25,155.96,155.64,155.34,154.22,155.56,154.7,155.18
2022-01-07 08:00:00,162.82,167.22,167.28,166.79,166.05,167.36,165.6,166.77
2022-01-07 09:00:00,161.98,166.13,166.27,165.99,165.01,165.9,164.91,165.83
2022-01-07 10:00:00,184.45,188.15,188.56,188.41,187.15,188.09,187.52,188.33
2022-01-07 11:00:00,183.31,186.85,187.65,187.4,186.13,187.09,186.13,187.35
2022-01-07 12:00:00,166.86,168.7,170.54,169.9,169.3,170.19,167.94,170.29
2022-01-07 13:00:00,153.85,154.03,157.09,156.08,155.82,156.79,154.42,156.88
2022-01-07 14:00:00,149.29,148.34,152.52,151.57,151.33,152.24,150.3,152.33
2022-01-07 15:00:00,145.51,144.78,149.0,147.44,147.96,148.88,146.06,148.63
2022-01-07 16:00:00,155.66,154.05,159.54,156.99,158.5,160.13,154.84,159.1
2022-01-07 17:00:00,180.71,178.06,185.09,182.37,183.93,185.82,180.91,184.82
2022-01-07 18:00:00,169.75,166.43,173.23,170.11,172.56,174.19,165.69,173.16
2022-01-07 19:00:00,168.45,164.39,171.17,168.11,170.68,172.2,164.23,171.35
2022-01-07 20:00:00,159.58,154.98,162.23,160.06,161.64,163.01,157.09,162.32
2022-01-07 21:00:00,153.94,149.0,156.76,154.32,155.97,157.84,151.78,156.69
