Timestamp,MISO System,Illinois Hub,Cinergy Hub,Michigan Hub,Minnesota Hub,First Energy Hub,Indiana Hub
2011-01-01 00:00:00,15.94,16.59,19.92,17.78,11.61,21.76,
2011-01-01 01:00:00,14.07,16.1,19.13,16.75,8.61,20.73,
2011-01-01 02:00:00,12.04,14.06,16.53,14.17,6.93,18.16,
2011-01-01 03:00:00,10.39,13.25,15.22,12.56,4.5200000000000005,16.87,
2011-01-01 04:00:00,10.15,12.87,15.17,12.39,4.07,16.82,
2011-01-01 05:00:00,10.61,11.87,16.69,12.85,3.45,18.400000000000002,
2011-01-01 06:00:00,15.02,17.29,20.330000000000002,17.04,7.86,22.51,
2011-01-01 07:00:00,17.85,19.8,21.71,19.72,12.37,23.63,
2011-01-01 08:00:00,19.06,20.19,21.97,20.21,14.85,23.81,
2011-01-01 09:00:00,20.66,21.89,23.73,22.18,16.15,25.59,
2011-01-01 10:00:00,21.63,23.08,24.77,24.54,17.12,25.91,
2011-01-01 11:00:00,22.11,23.55,25.45,25.24,17.91,26.57,
2011-01-01 12:00:00,21.86,23.26,25.08,24.61,18.17,26.31,
2011-01-01 13:00:00,21.56,23.04,24.65,24.46,18.240000000000002,25.8,
2011-01-01 14:00:00,20.97,22.7,24.29,24.11,16.84,25.44,
2011-01-01 15:00:00,20.87,22.58,24.18,24.03,17.36,25.32,
2011-01-01 16:00:00,21.59,23.47,25.06,24.99,18.330000000000002,26.24,
2011-01-01 17:00:00,28.23,29.84,37.01,36.99,21.49,36.68,
2011-01-01 18:00:00,31.6,32.97,34.44,35.18,29.53,35.71,
2011-01-01 19:00:00,28.25,28.03,31.34,31.49,26.26,32.1,
2011-01-01 20:00:00,26.5,26.57,30.4,30.38,23.15,31.03,
2011-01-01 21:00:00,24.98,25.57,28.97,29.02,20.35,29.77,
2011-01-01 22:00:00,22.85,23.66,26.69,24.77,19.22,28.26,
2011-01-01 23:00:00,21.37,22.58,24.41,22.62,18.32,26.15,
2011-01-02 00:00:00,19.79,20.84,23.1,16.55,17.78,27.15,
2011-01-02 01:00:00,18.39,19.66,21.64,15.82,16.2,25.3,
2011-01-02 02:00:00,17.89,19.28,21.36,15.32,15.39,25.1,
2011-01-02 03:00:00,17.77,19.27,21.45,15.36,15.12,25.19,
2011-01-02 04:00:00,17.97,17.13,21.59,15.22,15.78,25.01,
2011-01-02 05:00:00,17.94,18.82,20.96,14.18,16.11,25.07,
2011-01-02 06:00:00,20.95,21.41,23.66,18.02,18.68,27.54,
2011-01-02 07:00:00,23.7,23.84,28.1,23.27,19.73,31.11,
2011-01-02 08:00:00,25.55,25.8,30.5,27.91,21.12,31.6,
2011-01-02 09:00:00,26.54,26.69,31.25,28.82,22.05,32.86,
2011-01-02 10:00:00,27.59,27.88,32.12,31.75,23.0,31.27,
2011-01-02 11:00:00,27.4,27.18,30.47,30.07,24.62,30.0,
2011-01-02 12:00:00,26.46,26.31,29.79,29.32,23.23,29.68,
2011-01-02 13:00:00,25.58,25.05,28.49,27.93,23.12,28.44,
