Timestamp,MISO System,Illinois Hub,Michigan Hub,Minnesota Hub,Indiana Hub
2012-01-01 00:00:00,8.39,16.15,16.92,1.43,17.18
2012-01-01 01:00:00,5.4,15.5,13.03,-4.41,13.3
2012-01-01 02:00:00,3.55,14.21,12.02,-7.59,12.23
2012-01-01 03:00:00,2.11,14.2,12.37,-10.25,12.65
2012-01-01 04:00:00,1.07,13.4,11.06,-11.33,11.37
2012-01-01 05:00:00,1.84,15.610000000000003,9.69,-10.0,10.09
2012-01-01 06:00:00,5.32,17.77,11.53,-3.74,11.68
2012-01-01 07:00:00,10.52,23.33,20.29,-1.08,20.27
2012-01-01 08:00:00,12.96,24.31,20.86,2.12,21.04
2012-01-01 09:00:00,14.24,24.01,22.16,3.52,22.35
2012-01-01 10:00:00,15.77,23.95,23.87,5.57,23.92
2012-01-01 11:00:00,16.88,24.08,24.54,8.19,24.6
2012-01-01 12:00:00,16.76,24.13,24.87,7.48,24.9
2012-01-01 13:00:00,16.38,23.73,24.42,7.27,24.41
2012-01-01 14:00:00,15.88,23.74,24.0,6.9,24.02
2012-01-01 15:00:00,15.76,23.76,25.04,5.65,24.87
2012-01-01 16:00:00,16.91,25.04,26.37,7.71,26.22
2012-01-01 17:00:00,26.08,35.82,36.28,17.68,36.2
2012-01-01 18:00:00,25.52,31.81,32.160000000000004,21.19,31.52
2012-01-01 19:00:00,23.03,27.49,30.3,20.52,29.97
2012-01-01 20:00:00,22.05,26.53,28.92,19.16,28.12
2012-01-01 21:00:00,20.44,24.95,27.49,16.97,27.1
2012-01-01 22:00:00,17.61,25.68,25.8,12.15,25.06
2012-01-01 23:00:00,15.4,23.71,22.35,9.75,22.47
2012-01-02 00:00:00,10.5,18.59,16.12,2.69,16.35
2012-01-02 01:00:00,7.57,15.87,12.86,-0.19,13.15
2012-01-02 02:00:00,6.72,15.19,12.19,-1.45,12.54
2012-01-02 03:00:00,6.12,15.47,11.96,-2.7,12.35
2012-01-02 04:00:00,7.31,16.65,12.78,-0.85,13.1
2012-01-02 05:00:00,10.56,21.5,18.2,1.0,18.240000000000002
2012-01-02 06:00:00,15.64,26.24,23.69,7.14,23.24
2012-01-02 07:00:00,17.94,27.14,26.51,9.48,25.89
2012-01-02 08:00:00,20.77,27.15,26.72,16.67,26.08
2012-01-02 09:00:00,21.87,26.63,27.62,18.02,26.74
2012-01-02 10:00:00,23.45,28.08,28.99,20.68,27.95
2012-01-02 11:00:00,23.81,27.88,28.37,21.22,27.34
2012-01-02 12:00:00,23.44,27.59,28.18,20.92,27.14
2012-01-02 13:00:00,23.27,26.2,26.83,21.17,25.99
2012-01-02 14:00:00,23.0,25.59,27.08,20.69,26.18
2012-01-02 15:00:00,22.74,25.37,27.17,19.830000000000002,26.35
2012-01-02 16:00:00,24.15,25.97,30.05,21.21,28.52
2012-01-02 17:00:00,33.88,35.65,41.7,31.25,39.94
2012-01-02 18:00:00,40.19,38.050000000000004,41.84,44.83,40.22
2012-01-02 19:00:00,38.36,35.230000000000004,38.81,45.25,37.44
2012-01-02 20:00:00,34.72,32.14,35.36,39.87,34.08
2012-01-02 21:00:00,31.16,30.04,32.82,33.32,31.7
2012-01-02 22:00:00,27.23,27.18,29.48,27.24,28.62
2012-01-02 23:00:00,24.12,24.52,26.5,23.22,25.89
2012-01-03 00:00:00,23.79,26.29,26.25,22.2,26.71
2012-01-03 01:00:00,23.33,26.01,26.08,21.25,26.48
2012-01-03 02:00:00,21.66,25.47,25.7,18.17,26.0
2012-01-03 03:00:00,21.3,25.59,25.62,17.56,25.92
2012-01-03 04:00:00,20.73,25.57,25.73,16.09,27.21
2012-01-03 05:00:00,23.88,28.95,28.33,20.85,31.19
2012-01-03 06:00:00,28.1,34.96,31.76,25.05,35.0
2012-01-03 07:00:00,34.36,43.7,37.7,29.3,42.21
2012-01-03 08:00:00,31.67,34.89,33.730000000000004,35.83,38.0
2012-01-03 09:00:00,30.06,32.01,33.84,28.27,36.85
2012-01-03 10:00:00,28.25,30.62,32.82,24.67,36.0
2012-01-03 11:00:00,27.31,29.34,30.55,24.62,32.47
2012-01-03 12:00:00,25.13,28.63,29.91,22.14,30.98
2012-01-03 13:00:00,24.92,27.74,29.79,21.81,30.1
