Timestamp,MISO System,Illinois Hub,Michigan Hub,Minnesota Hub,Indiana Hub,Arkansas Hub,Louisiana Hub,Texas Hub
2015-01-01 00:00:00,23.11,17.29,24.96,19.16,25.03,27.56,29.45,29.74
2015-01-01 01:00:00,22.56,18.650000000000002,24.4,18.35,25.05,27.07,28.66,29.08
2015-01-01 02:00:00,21.72,17.25,23.87,17.28,24.67,26.38,28.05,28.65
2015-01-01 03:00:00,21.47,15.18,23.44,17.77,24.56,26.01,27.84,28.27
2015-01-01 04:00:00,21.2,15.17,23.44,17.07,24.56,25.88,27.64,28.11
2015-01-01 05:00:00,21.12,15.84,23.79,15.82,24.83,25.98,27.64,28.18
2015-01-01 06:00:00,22.5,18.35,24.02,18.19,25.16,26.85,28.49,29.14
2015-01-01 07:00:00,23.47,17.61,25.22,19.13,25.62,27.36,29.14,29.56
2015-01-01 08:00:00,23.78,18.96,24.61,19.3,25.63,29.06,29.95,30.16
2015-01-01 09:00:00,24.39,20.01,25.23,19.77,25.91,29.79,30.75,30.93
2015-01-01 10:00:00,24.74,17.96,25.21,21.71,25.66,28.53,29.21,29.87
2015-01-01 11:00:00,24.64,19.32,25.48,21.84,25.61,27.84,28.54,29.18
2015-01-01 12:00:00,24.7,21.06,25.75,22.44,25.62,26.85,27.59,28.5
2015-01-01 13:00:00,24.3,20.23,25.3,22.55,25.25,25.7,26.41,28.57
2015-01-01 14:00:00,23.94,19.54,25.07,23.31,25.1,24.74,25.35,28.13
2015-01-01 15:00:00,24.16,21.21,26.01,22.61,25.32,23.8,25.23,27.98
2015-01-01 16:00:00,24.88,19.330000000000002,25.44,24.62,25.53,24.3,25.11,27.75
2015-01-01 17:00:00,28.91,22.55,30.86,27.4,30.76,28.12,29.41,29.44
2015-01-01 18:00:00,33.45,24.99,33.12,38.65,33.05,28.9,30.05,30.98
2015-01-01 19:00:00,32.03,24.77,31.32,36.56,31.03,28.74,30.06,30.87
2015-01-01 20:00:00,30.62,23.66,30.52,33.15,30.25,28.33,29.74,30.58
2015-01-01 21:00:00,29.82,23.62,29.2,32.76,28.83,26.98,28.08,28.55
2015-01-01 22:00:00,27.01,19.73,27.11,28.58,27.07,25.62,27.2,28.4
2015-01-01 23:00:00,25.63,18.39,26.16,25.99,26.03,25.04,26.25,27.65
2015-01-02 00:00:00,24.49,21.64,25.88,23.65,25.38,23.36,25.27,25.45
2015-01-02 01:00:00,23.88,19.84,24.71,23.33,24.48,23.27,24.17,24.55
2015-01-02 02:00:00,23.26,19.06,24.29,23.33,23.95,22.93,23.81,24.74
2015-01-02 03:00:00,23.12,19.44,24.28,23.23,23.88,22.53,23.42,24.33
2015-01-02 04:00:00,23.28,18.95,24.35,23.49,24.39,22.62,23.48,24.42
2015-01-02 05:00:00,24.03,19.07,24.93,23.46,25.08,23.37,24.34,24.7
2015-01-02 06:00:00,27.06,21.49,28.15,26.92,28.85,26.19,27.5,27.73
2015-01-02 07:00:00,29.8,24.12,32.15,31.03,31.73,25.54,28.45,28.98
2015-01-02 08:00:00,31.48,25.51,29.99,35.53,29.88,28.27,29.3,29.33
2015-01-02 09:00:00,32.29,25.75,30.85,36.550000000000004,30.84,28.55,29.59,29.62
2015-01-02 10:00:00,32.660000000000004,26.33,30.86,37.43,30.99,28.74,29.63,29.42
2015-01-02 11:00:00,31.83,26.55,30.6,35.46,30.43,28.62,29.63,29.68
2015-01-02 12:00:00,30.29,26.42,29.73,32.15,29.48,28.8,29.45,29.29
2015-01-02 13:00:00,29.26,25.57,28.77,30.89,28.53,27.63,28.57,28.61
2015-01-02 14:00:00,28.49,24.73,28.03,30.94,27.22,26.02,26.76,27.21
2015-01-02 15:00:00,27.48,23.62,27.27,29.27,26.56,25.32,26.03,26.47
2015-01-02 16:00:00,27.69,23.83,28.01,29.11,27.14,25.57,26.42,26.74
2015-01-02 17:00:00,30.38,24.99,33.19,29.96,32.31,28.25,29.17,28.9
2015-01-02 18:00:00,32.24,26.49,32.28,34.34,32.37,29.37,29.28,29.06
2015-01-02 19:00:00,30.1,24.83,31.2,30.32,30.98,28.29,29.23,29.3
2015-01-02 20:00:00,29.37,24.61,32.37,29.43,31.17,28.54,29.66,29.37
2015-01-02 21:00:00,27.38,24.67,29.58,25.6,28.91,26.97,28.13,28.23
2015-01-02 22:00:00,24.57,20.49,25.79,23.4,25.58,23.94,25.48,25.73
2015-01-02 23:00:00,23.34,19.740000000000002,25.8,21.02,25.24,23.37,24.96,24.39
2015-01-03 00:00:00,22.4,21.7,25.04,18.95,24.39,23.77,24.76,24.47
2015-01-03 01:00:00,20.97,19.36,23.02,17.490000000000002,22.86,22.96,23.67,24.48
2015-01-03 02:00:00,20.31,19.0,22.42,16.8,22.28,22.17,22.87,23.64
2015-01-03 03:00:00,19.48,19.240000000000002,21.02,16.38,20.68,21.02,21.59,22.42
2015-01-03 04:00:00,19.37,18.54,21.04,15.87,20.98,21.21,21.78,22.64
2015-01-03 05:00:00,20.32,18.68,22.52,16.97,22.92,21.96,22.71,23.45
2015-01-03 06:00:00,21.53,19.93,23.68,18.68,24.49,23.72,24.14,24.29
2015-01-03 07:00:00,23.34,21.24,25.5,20.32,25.51,25.2,25.57,26.01
2015-01-03 08:00:00,24.68,22.07,26.2,22.67,25.94,25.56,26.04,26.49
2015-01-03 09:00:00,26.68,23.78,28.06,25.99,27.82,25.95,27.34,27.84
2015-01-03 10:00:00,27.66,24.18,28.15,29.34,27.81,26.3,27.41,27.53
2015-01-03 11:00:00,27.5,25.08,27.68,29.4,27.07,26.07,27.19,27.3
