Timestamp,MISO System,Illinois Hub,Michigan Hub,Minnesota Hub,Indiana Hub,Arkansas Hub,Louisiana Hub,Texas Hub,MS.HUB
2022-01-01 00:00:00,27.12,24.26,26.69,22.16,27.02,29.54,30.98,32.38,29.26
2022-01-01 01:00:00,25.87,23.17,25.46,22.02,25.61,28.32,29.43,30.49,27.95
2022-01-01 02:00:00,25.14,22.14,24.24,22.34,24.39,26.32,27.59,28.45,26.14
2022-01-01 03:00:00,24.29,21.44,23.1,22.27,23.24,23.81,25.05,25.25,23.93
2022-01-01 04:00:00,24.08,21.81,23.13,22.29,23.28,22.58,23.85,23.43,22.99
2022-01-01 05:00:00,24.47,22.26,23.65,22.26,23.87,22.6,23.73,22.66,23.17
2022-01-01 06:00:00,25.63,23.58,24.4,22.44,25.17,24.37,25.73,25.41,24.82
2022-01-01 07:00:00,25.94,24.92,25.8,26.05,26.6,23.99,24.82,24.94,24.46
2022-01-01 08:00:00,26.6,25.54,26.83,28.13,27.07,24.13,24.87,24.66,24.72
2022-01-01 09:00:00,29.34,27.57,28.76,32.72,29.49,27.04,28.74,28.13,27.98
2022-01-01 10:00:00,31.17,26.73,28.84,34.56,29.38,28.95,30.59,30.26,29.72
2022-01-01 11:00:00,31.45,27.42,29.78,37.52,30.05,29.72,31.36,31.37,30.34
2022-01-01 12:00:00,31.25,28.41,30.39,37.38,30.92,30.32,31.95,32.19,30.82
2022-01-01 13:00:00,30.85,27.45,30.0,35.63,29.75,31.6,32.980000000000004,32.84,32.09
2022-01-01 14:00:00,30.36,26.04,27.62,34.95,27.84,31.86,33.49,33.07,31.98
2022-01-01 15:00:00,31.17,26.4,28.19,38.62,28.25,32.0,33.71,32.85,32.33
2022-01-01 16:00:00,31.39,29.74,30.29,35.0,31.39,31.38,32.81,32.03,32.19
2022-01-01 17:00:00,36.39,32.81,34.39,45.03,35.19,33.480000000000004,34.85,34.14,34.18
2022-01-01 18:00:00,42.14,33.77,36.59,55.0,39.01,39.71,42.27,42.69,40.77
2022-01-01 19:00:00,38.0,30.73,33.04,48.95,35.11,35.92,38.25,38.62,36.89
2022-01-01 20:00:00,35.86,32.68,32.38,43.84,36.07,33.02,34.39,33.68,33.730000000000004
2022-01-01 21:00:00,35.45,30.92,31.16,45.5,35.53,32.76,34.1,33.17,33.54
2022-01-01 22:00:00,35.97,27.54,29.11,48.9,33.01,31.73,32.83,32.93,32.32
2022-01-01 23:00:00,35.1,27.96,28.84,44.39,33.97,31.26,32.85,32.54,31.85
2022-01-02 00:00:00,32.88,27.75,28.78,35.21,32.0,27.4,29.8,29.36,28.52
2022-01-02 01:00:00,31.58,24.01,25.92,35.43,27.29,27.32,29.43,29.13,28.18
2022-01-02 02:00:00,30.06,23.28,24.92,35.0,26.19,25.94,27.49,27.08,26.6
2022-01-02 03:00:00,30.35,23.94,24.34,32.58,26.79,25.7,26.76,26.61,26.0
2022-01-02 04:00:00,30.04,23.03,23.46,33.65,25.9,26.0,27.05,26.89,26.31
2022-01-02 05:00:00,30.71,23.75,25.49,33.86,26.43,25.56,27.22,26.75,26.35
2022-01-02 06:00:00,32.21,24.22,26.72,37.36,26.4,27.57,29.2,28.78,28.26
2022-01-02 07:00:00,34.01,27.24,28.87,39.26,29.39,27.31,28.12,27.65,27.91
2022-01-02 08:00:00,35.9,29.7,30.61,47.0,31.56,27.89,29.74,28.24,28.63
2022-01-02 09:00:00,39.160000000000004,31.44,32.910000000000004,51.64,33.65,28.6,30.71,29.01,29.54
2022-01-02 10:00:00,41.49,32.02,35.0,55.84,35.31,29.44,31.91,31.3,30.33
2022-01-02 11:00:00,41.45,32.410000000000004,34.4,56.69,36.12,30.0,31.53,31.09,30.83
2022-01-02 12:00:00,38.95,32.55,34.64,49.8,35.36,30.3,31.75,30.48,31.05
2022-01-02 13:00:00,37.22,31.41,33.19,45.31,33.92,30.21,31.55,30.38,30.88
2022-01-02 14:00:00,36.57,30.62,32.94,37.86,34.04,30.91,32.04,31.82,31.37
2022-01-02 15:00:00,35.5,31.68,32.61,38.21,34.06,30.91,31.98,31.8,31.3
2022-01-02 16:00:00,36.11,34.02,34.75,39.03,35.62,31.2,32.33,31.3,31.61
2022-01-02 17:00:00,42.42,40.61,41.39,47.77,42.55,35.82,37.19,35.88,36.32
2022-01-02 18:00:00,45.21,43.83,45.1,46.61,46.47,41.29,42.82,40.62,41.81
2022-01-02 19:00:00,41.77,42.03,42.5,38.800000000000004,44.01,42.56,43.88,41.7,42.93
2022-01-02 20:00:00,40.03,40.15,40.52,37.02,42.19,41.36,42.65,40.61,41.72
2022-01-02 21:00:00,38.24,38.56,39.58,35.18,40.75,39.050000000000004,40.44,38.56,39.53
2022-01-02 22:00:00,34.34,34.99,36.09,30.14,36.2,35.09,37.230000000000004,36.300000000000004,35.65
2022-01-02 23:00:00,32.61,32.7,33.17,27.98,35.22,32.35,33.24,33.08,32.410000000000004
2022-01-03 00:00:00,33.89,33.7,34.29,33.74,35.96,31.41,32.5,32.2,31.68
2022-01-03 01:00:00,32.65,33.71,33.46,30.38,35.03,31.21,32.02,31.95,31.32
2022-01-03 02:00:00,33.07,34.06,33.1,32.96,34.44,31.12,32.04,31.91,31.37
2022-01-03 03:00:00,33.84,34.9,34.14,33.6,35.53,31.3,32.26,32.13,31.57
2022-01-03 04:00:00,34.81,37.97,37.74,32.71,38.11,32.9,33.730000000000004,33.09,33.29
2022-01-03 05:00:00,36.95,40.68,37.57,34.74,39.24,36.39,37.71,37.28,36.85
2022-01-03 06:00:00,49.17,58.19,58.13,39.410000000000004,65.08,41.95,43.99,42.46,43.0
2022-01-03 07:00:00,68.91,74.18,73.04,58.6,80.94,68.7,70.18,69.0,69.34
2022-01-03 08:00:00,60.05,63.55,62.27,55.88,64.35,58.67,60.0,59.01,59.23
2022-01-03 09:00:00,51.13,51.92,51.5,52.12,53.23,48.69,49.96,49.14,49.31
2022-01-03 10:00:00,48.77,50.0,50.07,50.68,51.75,42.55,43.88,43.08,43.16
2022-01-03 11:00:00,47.08,48.99,49.07,49.66,50.71,38.13,39.5,38.71,38.730000000000004
2022-01-03 12:00:00,42.87,45.13,45.57,45.34,47.13,32.58,34.19,33.160000000000004,33.4
2022-01-03 13:00:00,40.18,42.51,42.45,42.68,43.82,30.27,31.35,31.09,30.67
2022-01-03 14:00:00,36.69,38.300000000000004,39.35,39.39,39.79,26.84,28.73,28.09,27.48
2022-01-03 15:00:00,35.14,36.22,37.64,38.14,37.62,25.68,27.42,26.88,26.17
2022-01-03 16:00:00,34.97,36.980000000000004,37.0,37.410000000000004,37.96,25.99,26.73,26.8,26.29
