Timestamp,GB,SEM
2020-01-01 00:00:00,39.94,49.0
2020-01-01 01:00:00,43.45,51.24
2020-01-01 02:00:00,41.12,48.55
2020-01-01 03:00:00,29.98,36.91
2020-01-01 04:00:00,27.1,32.77
2020-01-01 05:00:00,26.37,31.69
2020-01-01 06:00:00,26.32,31.63
2020-01-01 07:00:00,26.24,31.55
2020-01-01 08:00:00,26.92,32.36
2020-01-01 09:00:00,27.97,33.62
2020-01-01 10:00:00,32.6,39.18
2020-01-01 11:00:00,38.0,45.67
2020-01-01 12:00:00,44.53,52.6
2020-01-01 13:00:00,40.0,49.0
2020-01-01 14:00:00,40.0,48.08
2020-01-01 15:00:00,39.69,47.71
2020-01-01 16:00:00,37.0,43.21
2020-01-01 17:00:00,50.2,53.95
2020-01-01 18:00:00,53.3,58.09
2020-01-01 19:00:00,43.0,46.17
2020-01-01 20:00:00,41.14,35.27
2020-01-01 21:00:00,36.0,32.77
2020-01-01 22:00:00,35.92,27.08
2020-01-01 23:00:00,32.0,14.0
2020-01-02 00:00:00,30.71,9.6
2020-01-02 01:00:00,27.74,-1.0
2020-01-02 02:00:00,26.46,-4.39
2020-01-02 03:00:00,23.83,-4.48
2020-01-02 04:00:00,23.46,-4.48
2020-01-02 05:00:00,23.63,-5.2
2020-01-02 06:00:00,28.08,-5.0
2020-01-02 07:00:00,34.83,-4.39
2020-01-02 08:00:00,36.9,15.0
2020-01-02 09:00:00,37.36,30.0
2020-01-02 10:00:00,37.72,42.43
2020-01-02 11:00:00,39.12,44.0
2020-01-02 12:00:00,39.17,35.0
2020-01-02 13:00:00,38.95,34.13
2020-01-02 14:00:00,38.22,34.0
2020-01-02 15:00:00,38.12,34.0
2020-01-02 16:00:00,38.49,39.0
2020-01-02 17:00:00,40.23,47.27
2020-01-02 18:00:00,45.9,56.82
2020-01-02 19:00:00,40.0,49.52
2020-01-02 20:00:00,37.91,46.93
2020-01-02 21:00:00,32.0,39.61
2020-01-02 22:00:00,28.65,34.62
2020-01-02 23:00:00,27.64,33.41
2020-01-03 00:00:00,26.55,30.52
2020-01-03 01:00:00,25.47,28.63
2020-01-03 02:00:00,24.05,27.03
2020-01-03 03:00:00,21.67,26.17
2020-01-03 04:00:00,19.58,23.65
2020-01-03 05:00:00,22.71,26.75
2020-01-03 06:00:00,27.09,30.52
2020-01-03 07:00:00,36.51,43.17
2020-01-03 08:00:00,35.43,43.74
2020-01-03 09:00:00,40.0,48.31
2020-01-03 10:00:00,43.0,53.2
2020-01-03 11:00:00,42.98,53.18
2020-01-03 12:00:00,39.25,48.57
2020-01-03 13:00:00,34.7,42.94
2020-01-03 14:00:00,34.13,42.23
2020-01-03 15:00:00,33.56,40.54
2020-01-03 16:00:00,34.01,41.08
2020-01-03 17:00:00,41.48,50.1
2020-01-03 18:00:00,47.11,58.28
2020-01-03 19:00:00,39.99,48.57
2020-01-03 20:00:00,38.88,46.96
2020-01-03 21:00:00,35.38,42.68
2020-01-03 22:00:00,33.98,41.07
2020-01-03 23:00:00,32.85,37.81
2020-01-04 00:00:00,28.99,34.83
2020-01-04 01:00:00,26.69,30.0
2020-01-04 02:00:00,25.1,28.07
2020-01-04 03:00:00,23.77,26.75
2020-01-04 04:00:00,21.86,25.03
2020-01-04 05:00:00,21.55,24.68
2020-01-04 06:00:00,22.0,24.6
2020-01-04 07:00:00,23.97,26.75
2020-01-04 08:00:00,26.51,29.69
2020-01-04 09:00:00,32.0,35.78
2020-01-04 10:00:00,34.57,40.0
2020-01-04 11:00:00,35.24,43.36
2020-01-04 12:00:00,36.62,43.99
2020-01-04 13:00:00,36.62,43.99
2020-01-04 14:00:00,38.43,46.17
2020-01-04 15:00:00,37.6,45.0
2020-01-04 16:00:00,32.43,38.96
2020-01-04 17:00:00,46.41,55.75
2020-01-04 18:00:00,59.0,70.88
2020-01-04 19:00:00,50.57,60.76
2020-01-04 20:00:00,40.62,48.8
2020-01-04 21:00:00,35.91,41.0
2020-01-04 22:00:00,34.94,39.07
2020-01-04 23:00:00,33.35,37.29
2020-01-05 00:00:00,39.0,46.69
2020-01-05 01:00:00,28.46,31.72
2020-01-05 02:00:00,27.38,30.51
2020-01-05 03:00:00,26.35,28.0
2020-01-05 04:00:00,26.23,28.0
2020-01-05 05:00:00,24.96,27.28
2020-01-05 06:00:00,25.38,26.35
2020-01-05 07:00:00,26.02,25.8
2020-01-05 08:00:00,28.09,25.36
