country,source,unit,n,years,median,p99,min,max,neg_n,neg_pct,max_over_p99
Australia,leak,AEMO,661728,2006-2025,55.43,436.56,-553.2,16418.97,37455,5.6602,37.61
Canada,leak,IESO,201616,2002-2025,29.83,141.95,-138.79,1660.8,7210,3.5761,11.7
Luxembourg,leak,EPEX SPOT,243452,2015-2024,52.64,499.58,-150.0,2999.99,8470,3.4791,6.0
Germany,leak,"EPEX SPOT, Nord Pool",243452,2015-2024,52.64,499.58,-150.0,2999.99,8470,3.4791,6.0
Austria,leak,"EPEX SPOT, Nord Pool",234716,2015-2024,57.0,509.68,-177.82,1088.1,4284,1.8252,2.13
Ireland,leak,SEMOpx,50274,2019-2024,90.17,420.0,-41.09,705.47,716,1.4242,1.68
Belgium,leak,"EPEX SPOT, Nord Pool",85454,2015-2024,48.9,437.68,-500.0,871.0,1099,1.2861,1.99
Finland,leak,"EPEX SPOT, Nord Pool",85550,2015-2024,37.27,348.02,-500.0,1896.0,1058,1.2367,5.45
Denmark,leak,"EPEX SPOT, Nord Pool",85550,2015-2024,39.39,435.37,-223.36,871.0,1031,1.2051,2.0
Netherlands,leak,"EPEX SPOT, Nord Pool",85454,2015-2024,46.39,430.53,-500.0,871.0,997,1.1667,2.02
Czech Republic,leak,OTE,85550,2015-2024,45.42,449.89,-138.75,871.0,927,1.0836,1.94
Sweden,leak,"EPEX SPOT, Nord Pool",85550,2015-2024,33.06,243.75,-60.04,590.0,862,1.0076,2.42
Slovakia,leak,OKTE,85430,2015-2024,47.45,472.72,-146.13,900.23,824,0.9645,1.9
France,leak,"EPEX SPOT, Nord Pool",85454,2015-2024,47.14,479.98,-134.94,2987.78,700,0.8192,6.22
USA,leak,SPP,223356,2000-2025,37.01,158.17,-41.33,5009.25,1783,0.7983,31.67
Croatia,leak,CROPEX,59249,2018-2024,67.0,510.05,-500.0,920.0,397,0.6701,1.8
Switzerland,leak,EPEX SPOT,85550,2015-2024,50.74,462.38,-427.51,871.61,553,0.6464,1.89
Slovenia,leak,BSP,85550,2015-2024,53.1,473.02,-500.0,1022.27,409,0.4781,2.16
United Knigdom,leak,?,85333,2015-2024,53.91,385.11,-38.84,999.0,373,0.4371,2.59
Hungary,leak,HUPX,85550,2015-2024,53.74,480.53,-500.0,1047.1,343,0.4009,2.18
Estonia,leak,Nord Pool,85550,2015-2024,43.7,398.99,-60.04,4000.0,277,0.3238,10.03
Norway,leak,"EPEX SPOT, Nord Pool",85550,2015-2024,33.03,252.71,-26.36,571.4,273,0.3191,2.26
Latvia,leak,Nord Pool,85550,2015-2024,47.15,453.79,-56.55,4000.0,249,0.2911,8.81
Lithuania,leak,Nord Pool,85550,2015-2024,47.64,457.27,-56.55,4000.0,249,0.2911,8.75
Spain,leak,MIBEL,85550,2015-2024,53.6,264.4,-2.0,700.0,242,0.2829,2.65
Poland,leak,"EPEX SPOT, Nord Pool",80961,2015-2024,101.01,350.84,-61.64,1035.75,201,0.2483,2.95
Portugal,leak,MIBEL,85502,2015-2024,53.81,264.21,-2.0,651.0,193,0.2257,2.46
Romania,leak,OPCOM,85430,2015-2024,172.16,545.51,-106.36,1021.61,106,0.1241,1.87
Bulgaria,leak,IBEX,69113,2016-2024,94.3,549.98,-45.0,6101.78,62,0.0897,11.09
Greece,leak,HEnEx,85550,2015-2024,61.0,444.99,-1.02,942.0,19,0.0222,2.12
Singapore,leak,NEMS,94464,2020-2025,121.57,1354.01,-18.95,4544.67,8,0.0085,3.36
South Korea,leak,KPX,211920,2001-2025,107.26,265.82,-34.88,488.79,4,0.0019,1.84
North Macedonia,leak,MEMO,12263,2023-2024,91.6,278.47,0.0,813.3,0,0.0,2.92
Italy,leak,IPEX,85454,2015-2024,63.95,512.67,0.0,870.0,0,0.0,1.7
Serbia,leak,SEEPEX,68224,2016-2024,62.27,496.87,0.0,899.97,0,0.0,1.81
Montenegro,leak,MEPX,12647,2023-2024,92.28,220.88,0.0,950.4,0,0.0,4.3
India,leak,IEX,432096,2013-2025,3017.4,12000.0,199.55,20000.0,0,0.0,1.67
Chile,leak,CEN,65746,2018-2025,42.67,451.78,0.0,2568.23,0,0.0,5.68
Brazil,leak,CCEE,62231,2018-2025,86.98,593.89,39.68,1470.57,0,0.0,2.48
Japan,leak,JEPX,355104,2005-2025,9.95,34.54,0.01,251.0,0,0.0,7.27
