title,authors,year,venue,id,pdf_sha256_or_url,local_path,coordinate,verbatim_quote,negative_price_treatment,target_horizon,market,duration_or_spell,forecasting,postprocessing,counted,notes
Prediction of Extreme Price Occurrences in the German Day-Ahead Electricity Market,"Hagfors, Kamperud, Paraschiv, Prokopczuk, Sator, Westgaard",2016,Working Papers on Finance No.2016/22 (HSG); Quantitative Finance 16(9),DOI 10.1080/14697688.2016.1211794,DA1625F2419DA9D8F0C4EEFF4F47E27D99FDA369B8270BD1C76588D5FD44478E,C:\Users\37813\AppData\Local\Temp\opencode\v8d3\hagfors2016_wpf1622.pdf,p4 contribution statement; p9 target definition; p10 Table 5,Negative extreme prices are defined as prices below zero... These definitions of extreme prices yield 387 positive spikes and 177 negative prices - 1.00% and 0.46% of total observations,occurrence_probability_logit_pointwise,DA hourly,EPEX Germany,descriptive_only_table5,yes,no,yes,duration only descriptive (Table 5); no spell forecast; no post-processing
Modeling spike occurrences in electricity spot prices for forecasting,"Eichler, Grothe, Manner, Turk",2012,METEOR RM 029; Energy Economics 36:614-624 (2013),DOI 10.26481/umamet.2012029,3410B65A12FFEB391FD8CDA62E122199CC385F5AFAFAFB20A7340AA06FE626DF,C:\Users\37813\AppData\Local\Temp\opencode\v8d3\eichler2012_spikeoccurrence.pdf,Fig 2 (p8); p4 negative prices excluded,The duration of a spike is given by the number of consecutive spike events,positive_spike_occurrence_ACH_negative_excluded,half-hourly,AU NEM (VIC/NSW/QLD/SA),descriptive_only_fig2,yes,no,yes,ACH intensity pointwise; negative prices very rare and excluded; no duration forecast
The case of negative day-ahead electricity prices,"Fanone, Gamba, Prokopczuk",2013,"Energy Economics 35:22-34 (WP Oct 2011, SSRN 1839208)",DOI 10.1016/j.eneco.2011.12.006,128B618E27A58DE2EDA26B3DE3EFA714F669A5AFD652717184A2FF7567B7543E,C:\Users\37813\AppData\Local\Temp\opencode\v8d3\fanone2013_warwick.pdf,p4 contribution claim; p14 calibration five steps,we are the first to propose an arithmetic Levy-based fractional autoregressive (FAR) model,price_process_simulation_levy_far,na (simulation),EPEX Germany,no,no,no,yes,price process simulation/pricing; no duration forecast; no post-processing
It never rains but it pours: Modelling the persistence of spikes in electricity prices,"Christensen, Hurn, Lindsay",2009,NCER WP No.25; The Energy Journal 30(1):25-48,DOI 10.5547/issn0195-6574-ej-vol30-no1-2,23777F55A907DDEB3D96426A9057AE67E18A6DC8A95E02D7A410A9988051ED58,C:\Users\37813\AppData\Local\Temp\opencode\v8d3\christensen2009_ncer.pdf,p2 abstract; p17 latent arrival/survival; p7 negative discarded,price spikes occur as a result of the latent arrival and survival of system stresses,daily_count_poisson_AR_latent_survival_negative_discarded,1-day counts,AU NEM,latent_only,yes,no,yes,daily spike counts; survival process internal only; negative prices discarded
Forecasting the Occurrence of Electricity Price Spikes: A Statistical-Economic Investigation Study,"Zamudio Lopez, Zareipour, Quashie",2024,"Forecasting 6(1):115-137 (MDPI, CC-BY)",DOI 10.3390/forecast6010007,6DB00B56FB606BF1278DEDE0DF1F3D36A94557BE581C8806A352EB082082B1DF,C:\Users\37813\AppData\Local\Temp\opencode\v8d3\zamudio2024_wayback.pdf,p5 economic evaluation; p8 Eq(2)-(4),the underestimation of the occurrence of a price spike is directly related to the FN,threshold_classification_economic_weights,DA/hourly,AB/NA per paper,no,yes,no,yes,pointwise occurrence classification; no duration/episode output; no post-processing
"Wind power integration, negative prices and power system flexibility - An empirical analysis of extreme events in Germany",Nicolosi,2010,"MPRA 31834 (EWI WP 10,01); Energy Policy 38(11):7257-7268",MPRA 31834,934C124B6C2DF4669EF3FA4DC8C7A6737F0E03AD3B9D2C0264561366A3E7FE3C,C:\Users\37813\AppData\Local\Temp\opencode\v8d3\nicolosi2010_mpra.pdf,p3/p4 extreme hour analysis,"Of the 71 hours with negative spot prices, ten hours were significantly negative with prices of at least -100 EUR/MWh",descriptive_extreme_hour_analysis,na (empirical),EEX Germany,no,no,no,yes,flexibility analysis; descriptive; no forecast; no duration structure analysis
"Negative electricity prices in electricity markets: causes, impacts, and response strategies","Sun, Zheng, Zhao, Fan, Wang, Shi",2026,"Global Energy Interconnection 9(3):531-543 (OA, CC-BY-NC-ND)",DOI 10.1016/j.gloei.2025.12.004,B21AA7DEEF6B394A43D843A3E72C8DEA33D0A53DB3A86FAE9E05EAABCCDF217C,C:\Users\37813\AppData\Local\Temp\opencode\v8d3\gloei2026_fulltext.html,Sec 1 Australia (Fig 5); Sec 1 Germany 2023/2024 cumulative duration; Sec 2.2 China,the total duration of negative prices across the entire NEM market reached 8.5 h on that day,descriptive_review_with_duration_statistics,na (review),"NL/DE/AU/CN (Shandong, Zhejiang)",descriptive_fig5_duration_curves,no,no,yes,full-text HTML (gei-journal.com); review; duration statistics descriptive only; no forecast; no post-processing
Modeling the Duration of Electricity Price Spikes Using Survival Analysis,"Zamudio Lopez, Zareipour",2025,"Energies 18(19):5255 (MDPI, CC-BY)",DOI 10.3390/en18195255,7FE1280A50B64DC71801C9B9889C776D2BA8988B66E38676C6C6B9A05C5F47E1,C:\Users\37813\AppData\Local\Temp\opencode\v8d3\zamudio2025_duration.pdf,p1 abstract; p5 Sec 2 Eq(1)-(4); p14 Sec 3.4.3 negative spike model (Fig 4b); p15 negative spike durations,"Specifically, we use the Kaplan-Meier (KM) estimator, which enables a nonparametric evaluation of the survival (duration) of price spikes over time. We refer to this as the price spike duration model",duration_modeling_km_survival_positive_and_negative,na (survival-distribution modeling),AB/ON/ERCOT/EPEX-BE/SG-USEP,"yes (extreme negative-spike KM model, Fig 4b, tau=-60 EUR/MWh)",no,no,yes,"neighboring duration-method prior: KM survival distribution for extreme negative spikes at tau=-60 EUR/MWh; no out-of-sample operational endpoint forecast; not post-processing"
Forecasting day ahead electricity spot prices: The impact of the EXAA to other European electricity markets,"Ziel, Steinert, Husmann",2015,arXiv 1501.00818,arXiv:1501.00818,C2B5F2B668173CE1D7A35B02B322441EEAD1AE04560A855A566D9CF7202F5448,C:\Users\37813\AppData\Local\Temp\opencode\v8d3\ziel2015_exaa.pdf,fulltext scan,no negative price content (0 hits),price_level_forecasting,DA hourly,Central-Western Europe,no,yes,no,no,"negative_result_irrelevant (full-text scanned, 0 negative-price hits)"
Forecasting spikes in electricity prices,"Christensen, Hurn, Lindsay",2012,International Journal of Forecasting 28(2):400-411,DOI 10.1016/j.ijforecast.2011.02.019,"abstract_only (ScienceDirect); NCER WP#70 Jan 2011 indexed by Semantic Scholar but PDF not obtainable (ncer.edu.au 502/SSL, CORE 404, dokumen.tips 403, QUT/Glasgow no attachment, Wayback no WP70 snapshot)",,abstract,a nonlinear variant of the autoregressive conditional hazard model is used to model this process,pointwise_spike_probability_ACH,half-hourly 1-step-ahead,AU NEM,no,yes,no,no,abstract_only
