market,model,mae,rmse,neg_n,neg_miss_rate,mae_on_neg,mae_on_spike,tail_rmse
BE,LEAR,10.662535230614383,17.037404424195973,2,1.0,31.0093021590174,83.66006920692655,60.134662441035765
BE,MLP,7.231019899476974,15.47525514528558,2,1.0,15.963915190795955,79.5821265389476,61.75846971549707
DE,LEAR,8.093911132107358,12.36197532952443,194,0.8711340206185567,39.89286888357474,33.07765274800529,41.233863098498375
DE,MLP,8.141853800942231,12.478490477170249,194,0.7474226804123711,39.14762004263371,31.44840202846529,41.518864832594076
FR,LEAR,8.111607973020305,16.004078830252073,2,1.0,23.81689483436621,62.884017349477254,61.830174915077
FR,MLP,5.787616216590909,15.118911380490966,2,1.0,18.180595444917984,60.661338220858255,62.75722326424244
NP,LEAR,3.2597810036372423,5.529787302479287,0,,,21.0030979881915,20.021506710089096
NP,MLP,3.5329567384479525,5.657812200100063,0,,,16.79895347653401,19.826332025504676
PJM,LEAR,5.043336038902959,7.326496585798151,60,1.0,16.343630723030575,29.59782801367903,23.533399098345797
PJM,MLP,5.383345655203797,9.918788677015275,60,0.9833333333333333,14.557253881432477,40.82135933679476,37.93304175805568
