dataset,backbone,evidence_status,normal_mu,normal_sigma,normal_s2_nll,normal_s3_nll,laplace_mu,laplace_b,laplace_s2_nll,laplace_s3_nll,t_mu,t_sigma,t_nu,t_s2_nll,t_s3_nll,t_vs_normal_diff,t_vs_normal_ci_lo,t_vs_normal_ci_hi,t_vs_laplace_diff,t_vs_laplace_ci_lo,t_vs_laplace_ci_hi
LAGO_BE,Linear,COMPUTED,1.0386905640029116,8.488759100641948,3.5576813627326542,6.756023332569593,1.374495506286621,6.308720771583922,3.535080106225142,4.188050161022332,1.374495506286621,6.99619694729628,7.0,3.511758039070991,4.113238738091768,-2.642784594477824,-4.210484310576448,-0.3864908511266798,-0.0748114229305643,-0.13962424720266778,0.017542489238615722
LAGO_BE,LSTM,COMPUTED,-0.4275334270603952,7.608607947027073,3.448218764170445,7.138274093713663,-0.0034656524658203125,5.560681246811391,3.408867807721616,4.119553721170724,-0.0034656524658203125,6.17082358268376,7.0,3.389975094371256,4.024192465395394,-3.1140816283182686,-4.99842548810429,-0.40086374769782374,-0.09536125577532935,-0.17349770004075246,0.017584290666352104
LAGO_BE,MLP,COMPUTED,0.9325081750972404,8.345285039706502,3.5406352466801936,6.936485559043257,1.0613651275634766,6.145882451140983,3.508929518009996,4.2012723941131505,1.0613651275634766,6.811127826915208,7.0,3.488044817604346,4.104323177364399,-2.832162381678858,-4.581648044595031,-0.3332950275859716,-0.09694921674875125,-0.16878905620249446,0.008138856314999445
LAGO_BE,PatchTST,COMPUTED,0.045079786902238635,7.50607345949298,3.43465102063926,7.284126047639602,0.47352027893066406,5.458502291080377,3.390321627025145,4.12807153396599,0.47352027893066406,6.038965770801995,7.0,3.3704034873792073,4.027469889319035,-3.2566561583205673,-5.268031504591178,-0.41213391604282595,-0.10060164464695469,-0.18381183787102767,0.019056604786618643
LAGO_BE,TCN,COMPUTED,1.035571328698845,7.7538579803595225,3.4671290566240205,7.02630867996142,1.4998970031738281,5.65505233678646,3.42569654504302,4.11829504713582,1.4998970031738281,6.280567658723385,7.0,3.4089574294798597,4.025100555260212,-3.0012081247012077,-4.854640816247977,-0.35757608266027524,-0.09319449187560795,-0.17038092894643062,0.01913579596561093
LAGO_DE,Linear,COMPUTED,-1.111953613987943,5.974355253346729,3.2064147178101567,3.2040094368117478,-1.018601417541504,4.436844889384618,3.183090693901803,3.1281311960664646,-1.018601417541504,4.9266661919009165,7.0,3.164956255400652,3.089983743694524,-0.11402569311722445,-0.18209830790774126,-0.00953692029050298,-0.038147452371940595,-0.04678308827417563,-0.02907588406039675
LAGO_DE,LSTM,COMPUTED,-0.9998379449773122,5.5493715062619104,3.1326232124356723,3.031905345089991,-0.946537971496582,4.131964341788159,3.111900102009568,2.9093269993587993,-0.946537971496582,4.607962298115207,7.0,3.096534027348988,2.889665867586004,-0.14223947750398694,-0.21153501387138257,-0.036372589110992705,-0.0196611317727953,-0.029193769428796673,-0.009124711457995444
LAGO_DE,MLP,COMPUTED,-0.9762642522009799,7.731279836187633,3.4642129495232448,3.247443466425739,-0.6287670135498047,5.127283099944466,3.327723089302356,3.1515370581723374,-0.6287670135498047,5.024562942085865,4.0,3.3036199063744855,3.131202653785283,-0.11624081264045621,-0.14196650831553942,-0.08284807418565504,-0.020334404387054694,-0.02626007799634773,-0.014369980077399754
LAGO_DE,PatchTST,COMPUTED,-0.89410464148091,5.4789228997230595,3.119847063700462,3.0547359092797697,-1.0031423568725586,4.078903022451573,3.0989752657786087,2.9137134153001885,-1.0031423568725586,4.535636192822936,7.0,3.0791609947011107,2.8984311747999523,-0.15630473447981721,-0.23352912641059406,-0.03770195628842749,-0.015282240500236202,-0.025985129065386664,-0.003848816261422056
LAGO_DE,TCN,COMPUTED,-0.8739721138060252,5.417910728511152,3.108648799897419,3.0431862549928494,-0.8112702369689941,4.047686703010184,3.0912927140484863,2.91873802144352,-0.8112702369689941,4.510992947876586,7.0,3.07238827273066,2.898591211839027,-0.14459504315382224,-0.21831300436429432,-0.03195404418670023,-0.020146809604492867,-0.030386738982570067,-0.009063014124825566
LAGO_FR,Linear,COMPUTED,1.2361272196626067,6.786953748440822,3.333940736175038,3.3161562252977475,1.299178123474121,5.292251291466868,3.3593909108452977,3.3436987751894924,1.299178123474121,6.304652037012993,15.0,3.328662504976545,3.3092676949787965,-0.006888530318951467,-0.011997985398463031,-0.001015776964139328,-0.03443108021069565,-0.04392943865242073,-0.02564486619122268
LAGO_FR,LSTM,COMPUTED,1.0063164516211938,5.900775371721889,3.1940222944175485,3.248897954900935,1.012578010559082,4.606140081617697,3.22053739435262,3.282834944758925,1.012578010559082,5.4789788595722175,15.0,3.1882750327966005,3.2459607125693655,-0.002937242331568984,-0.007590592010724288,0.0020366135676283697,-0.03687423218955937,-0.04715588853320261,-0.02685358493488187
