dataset,unit,n,min,median,mean,p99,max,neg_n,neg_pct,neg_min,p99_over_median,max_over_p99,skew,kurtosis,gt_100_pct,abs_thr,note,gt_300_pct
Lago-DE,EUR/MWh,52416,-221.99,33.45,34.68,75.98,210.0,538,1.0264,-221.99,2.27,2.76,-0.52,16.3,0.2652,100,Lago2021 AppliedEnergy 开放基准,
Lago-PJM,USD/MWh,52416,-6.98,27.74,30.47,81.97,839.3,93,0.1774,-6.98,2.95,10.24,13.87,390.4,0.6983,100,Lago2021 AppliedEnergy 开放基准,
Lago-FR,EUR/MWh,52416,-200.0,41.0,41.45,86.0,1938.5,35,0.0668,-200.0,2.1,22.54,24.97,1702.8,0.4827,100,Lago2021 AppliedEnergy 开放基准,
Lago-BE,EUR/MWh,52416,-200.0,44.19,44.29,89.44,2999.0,26,0.0496,-200.0,2.02,33.53,42.53,5169.3,0.6124,100,Lago2021 AppliedEnergy 开放基准,
Lago-NP,EUR/MWh,52416,1.14,30.15,31.44,59.58,199.97,0,0.0,,1.98,3.36,0.98,7.0,0.0286,100,Lago2021 AppliedEnergy 开放基准,
GEFCom2014-P,USD/MWh,25968,12.52,42.87,48.19,157.07,363.8,0,0.0,,3.66,2.32,3.53,20.8,4.1051,100,IJF2016 官方竞赛数据 2011-01~2013-12,
NEM-NSW1,AUD/MWh,460368,-1000.0,85.98,123.01,487.85,20300.0,34395,7.4712,-1000.0,5.67,41.61,29.57,965.3,,300,AEMO 官方公开 5min 现货价 2021-2025,4.2019
NEM-QLD1,AUD/MWh,460368,-1000.0,85.75,120.43,540.6,17500.0,58559,12.72,-1000.0,6.3,32.37,26.59,785.0,,300,AEMO 官方公开 5min 现货价 2021-2025,4.9087
NEM-SA1,AUD/MWh,460368,-1000.0,67.67,100.5,533.07,20299.99,113115,24.5706,-1000.0,7.88,38.08,24.8,711.8,,300,AEMO 官方公开 5min 现货价 2021-2025,5.1772
NEM-TAS1,AUD/MWh,460368,-998.07,69.06,92.88,403.52,17500.0,24016,5.2167,-998.07,5.84,43.37,44.97,2421.0,,300,AEMO 官方公开 5min 现货价 2021-2025,2.3957
NEM-VIC1,AUD/MWh,460368,-1000.0,61.83,82.78,449.99,17500.0,92243,20.0368,-1000.0,7.28,38.89,41.39,2127.8,,300,AEMO 官方公开 5min 现货价 2021-2025,3.3408
