year,dataset,unit,n,neg_pct,min,p99,max,median
2012,Lago-DE (经典基准),EUR/MWh,8592,0.489,-221.99,87.95,210.0,42.32
2013,Lago-DE (经典基准),EUR/MWh,8760,0.731,-100.03,79.77,130.27,36.07
2014,Lago-DE (经典基准),EUR/MWh,8760,0.731,-65.03,65.02,87.97,31.64
2015,Lago-DE (经典基准),EUR/MWh,8760,1.438,-79.94,61.52,99.77,30.54
2016,Lago-DE (经典基准),EUR/MWh,8784,1.104,-130.09,65.08,104.96,28.24
2017,Lago-DE (经典基准),EUR/MWh,8760,1.655,-83.04,89.98,163.52,33.83
2015,UniElec-Germany,EUR/MWh,8663,1.27,-79.94,61.7,99.77,30.68
2016,UniElec-Germany,EUR/MWh,8783,1.104,-130.09,65.08,104.96,28.24
2017,UniElec-Germany,EUR/MWh,8759,1.655,-83.06,89.98,163.52,33.83
2018,UniElec-Germany,EUR/MWh,15287,1.707,-76.01,96.1,129.95,48.3
2019,UniElec-Germany,EUR/MWh,35036,2.263,-74.8,75.87,121.81,37.85
2020,UniElec-Germany,EUR/MWh,35132,5.249,-149.99,79.53,325.1,30.67
2021,UniElec-Germany,EUR/MWh,35036,2.055,-149.99,381.4,2985.76,75.16
2022,UniElec-Germany,EUR/MWh,35036,1.673,-149.99,680.44,2999.99,208.71
2023,UniElec-Germany,EUR/MWh,35036,6.131,-149.99,257.36,800.0,95.08
2024,UniElec-Germany,EUR/MWh,26684,6.618,-150.0,174.98,500.01,72.31
2011,GEFCom2014-P (经典竞赛),USD/MWh,8760,0.0,19.33,147.95,342.91,48.42
2012,GEFCom2014-P (经典竞赛),USD/MWh,8784,0.0,12.52,98.77,363.8,36.09
2013,GEFCom2014-P (经典竞赛),USD/MWh,8424,0.0,13.86,181.08,320.36,44.9
2021,NEM-SA1 (当代极端),AUD/MWh,39599,23.377,-1000.0,293.95,15100.0,34.91
2022,NEM-SA1 (当代极端),AUD/MWh,105120,18.69,-1000.0,669.35,15500.0,107.52
2023,NEM-SA1 (当代极端),AUD/MWh,105120,24.666,-999.0,380.0,16600.0,59.07
2024,NEM-SA1 (当代极端),AUD/MWh,105408,25.047,-1000.0,379.95,17500.0,70.42
2025,NEM-SA1 (当代极端),AUD/MWh,105120,30.327,-906.68,349.09,20299.99,64.87
2026,NEM-SA1 (当代极端),AUD/MWh,1,0.0,56.12,56.12,56.12,56.12
