dataset,backbone,method,n,mae,rmse,rmae,neg_n,mae_on_neg,neg_miss_rate,spike_thr,spike_n,mae_on_spike,spike_miss_rate,normal_n,mae_on_normal,touch_rate,status,seed,neg_thr,spike_thr_source,n_full,n_valid,n_S1,n_S2,n_S3,n_S4,s1_range,s2_range,s3_range,s4_range,duration_s
LAGO_DE,Linear,Identity,10446,6.084079015869973,8.740212736514549,0.523217425922416,194,19.97145706060459,0.211340206185567,77.74559999999998,198,21.915309849537607,0.6616161616161617,10054,5.504336122917446,0.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",6.1
LAGO_DE,Linear,QuantileCorrection,10446,5.0555699616086125,8.257219841059142,0.43476790735028115,194,25.163609844053624,0.5463917525773195,77.74559999999998,198,22.878785617824477,0.702020202020202,10054,4.316564944985868,0.9805667241049205,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",6.1
LAGO_DE,Linear,VahediStyle,10446,6.1238681099590275,8.930947628670877,0.5266392005796413,194,21.52290182342098,0.1958762886597938,77.74559999999998,198,21.91532902905695,0.6616161616161617,10054,5.515739822472155,1.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",6.1
LAGO_DE,Linear,SpikeRegularization,10446,4.922472847389414,7.837614595219674,0.4233218480013111,194,22.39134149416828,0.38144329896907214,77.74559999999998,198,23.34909715132579,0.7373737373737373,10054,4.222509436840926,1.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",6.1
LAGO_DE,Linear,CRC,10446,5.097525284748443,8.482817069426279,0.43837597294569913,194,26.60770451470588,0.6185567010309279,77.74559999999998,198,26.230954838762035,0.8181818181818182,10054,4.266274655913507,0.9218839747271683,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",6.1
LAGO_DE,Linear,DeltaAdapter,10446,5.985704210789461,8.666796711975447,0.5147574088589321,194,20.08735258575209,0.21649484536082475,77.74559999999998,198,22.147724613271627,0.6767676767676768,10054,5.395312344424411,1.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",6.1
LAGO_DE,Linear,HCH,10446,6.084079015869973,8.740212736514549,0.523217425922416,194,19.97145706060459,0.211340206185567,77.74559999999998,198,21.915309849537607,0.6616161616161617,10054,5.504336122917446,0.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",6.1
LAGO_DE,MLP,Identity,10446,7.394175645646863,10.982730519022171,0.635882857215057,194,27.39099894223437,0.0979381443298969,77.74559999999998,198,18.290654152471895,0.4696969696969697,10054,6.793729408936167,0.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",50.9
LAGO_DE,MLP,QuantileCorrection,10446,5.9037110119626215,9.667068495216514,0.5077061739355491,194,30.944181296102045,0.3865979381443299,77.74559999999998,198,20.78478691161743,0.5656565656565656,10054,5.127472274817734,0.9868849320313996,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",50.9
LAGO_DE,MLP,VahediStyle,10446,7.332979915320378,10.73365458179348,0.6306201588813656,194,26.535245116356688,0.09278350515463918,77.74559999999998,198,18.290663347587195,0.4696969696969697,10054,6.746659966186712,1.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",50.9
