dataset,backbone,regime,event_recall_base,event_recall_bech,event_recall_delta,complete_miss_rate_base,complete_miss_rate_bech,complete_miss_rate_delta,boundary_mismatch_rate_base,boundary_mismatch_rate_bech,boundary_mismatch_rate_delta,fragmented_rate_base,fragmented_rate_bech,fragmented_rate_delta,exact_boundary_rate_base,exact_boundary_rate_bech,exact_boundary_rate_delta,point_recall_base,point_recall_bech,point_recall_delta,point_precision_base,point_precision_bech,point_precision_delta,mae_on_true_event_hours_base,mae_on_true_event_hours_bech,mae_on_true_event_hours_delta
GEFCOM14P,GBDT,negative,,,,,,,,,,,,,,,,,,,,,,,,
GEFCOM14P,GBDT,spike,0.46153846153846156,0.46153846153846156,0.0,0.5384615384615384,0.5384615384615384,0.0,0.3076923076923077,0.3076923076923077,0.0,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.4507042253521127,0.4507042253521127,0.0,0.5,0.5,0.0,60.26608202091273,60.26608202091273,0.0
GEFCOM14P,Linear,negative,,,,,,,,,,,,,,,,,,,,,,,,
GEFCOM14P,Linear,spike,0.5384615384615384,0.5384615384615384,0.0,0.46153846153846156,0.46153846153846156,0.0,0.38461538461538464,0.38461538461538464,0.0,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.0,0.4084507042253521,0.4084507042253521,0.0,0.8285714285714286,0.8285714285714286,0.0,54.84911225025631,54.84911225025631,0.0
LAGO_BE,GBDT,negative,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.57261012208192,33.57261012208192,0.0
LAGO_BE,GBDT,spike,0.12765957446808507,0.12765957446808507,0.0,0.8723404255319149,0.8723404255319149,0.0,0.0851063829787234,0.0851063829787234,0.0,0.02127659574468085,0.02127659574468085,0.0,0.02127659574468085,0.02127659574468085,0.0,0.0658682634730539,0.0658682634730539,0.0,0.12643678160919541,0.12643678160919541,0.0,67.81571767261883,67.81571767261883,0.0
LAGO_BE,Linear,negative,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,17.213790462773325,17.213790462773325,0.0
LAGO_BE,Linear,spike,0.23404255319148937,0.23404255319148937,0.0,0.7659574468085106,0.7659574468085106,0.0,0.14893617021276595,0.14893617021276595,0.0,0.02127659574468085,0.02127659574468085,0.0,0.06382978723404255,0.06382978723404255,0.0,0.1497005988023952,0.1497005988023952,0.0,0.5208333333333334,0.5208333333333334,0.0,61.52724613971541,61.52724613971541,0.0
LAGO_DE,GBDT,negative,0.7659574468085106,0.7659574468085106,0.0,0.23404255319148937,0.23404255319148937,0.0,0.6808510638297872,0.6808510638297872,0.0,0.02127659574468085,0.02127659574468085,0.0,0.06382978723404255,0.06382978723404255,0.0,0.7628865979381443,0.7628865979381443,0.0,0.30265848670756645,0.30515463917525776,0.002496152467691304,26.562905878079345,24.966362610240516,-1.596543267838829
LAGO_DE,GBDT,spike,0.41463414634146345,0.41463414634146345,0.0,0.5853658536585366,0.5853658536585366,0.0,0.24390243902439024,0.24390243902439024,0.0,0.07317073170731707,0.07317073170731707,0.0,0.0975609756097561,0.0975609756097561,0.0,0.41919191919191917,0.41919191919191917,0.0,0.9764705882352941,0.9764705882352941,0.0,19.813568982533866,19.813568982533866,0.0
