dataset,n_hours,time_start,time_end,primary_resolution,unique_timedeltas,nan_price,neg_n,neg_pct,n_exog_fc,n_exog_act,exog_fc_cols,exog_act_cols,dst_n_days,dst_n_23h,dst_n_25h,dst_n_abnormal,dst_abnormal_pct,dst_abnormal_dates,currency,tier
LAGO_DE,52416,2012-01-09 00:00:00,2017-12-31 23:00:00,0 days 01:00:00,1,0,538,1.03,2,0,Ampirion Load Forecast;PV+Wind Forecast,,2184,0,0,0,0.0,,EUR,L1
LAGO_BE,52416,2011-01-09 00:00:00,2016-12-31 23:00:00,0 days 01:00:00,1,0,26,0.05,2,0, Generation forecast; System load forecast,,2184,0,0,0,0.0,,EUR,L2
LAGO_FR,52416,2011-01-09 00:00:00,2016-12-31 23:00:00,0 days 01:00:00,1,0,35,0.07,2,0, Generation forecast; System load forecast,,2184,0,0,0,0.0,,EUR,L2
LAGO_PJM,52416,2013-01-01 00:00:00,2018-12-24 23:00:00,0 days 01:00:00,1,0,93,0.18,2,0, System load forecast; Zonal COMED load foecast,,2184,0,0,0,0.0,,USD,L2
LAGO_NP,52416,2013-01-01 00:00:00,2018-12-24 23:00:00,0 days 01:00:00,1,0,0,0.0,2,0, Grid load forecast; Wind power forecast,,2184,0,0,0,0.0,,EUR,L3
GEFCOM14P,25967,2011-01-01 00:00:00,2013-12-17 23:00:00,0 days 01:00:00,2,0,0,0.0,2,0,load_system_fc;load_zonal_fc,,1082,1,0,1,0.09,2013-03-10,USD,L3
NEM_SA1,8785,2024-01-01 00:00:00,2025-01-01 00:00:00,0 days 01:00:00,1,0,2284,26.0,0,1,,demand,367,0,0,1,0.27,2025-01-01,AUD,L1
DE_EPEX,50394,2020-01-01 00:00:00,2025-09-30 23:00:00,0 days 01:00:00,2,0,1791,3.55,0,0,,,2100,6,0,6,0.29,2020-03-29;2021-03-28;2022-03-27;2023-03-26;2024-03-31;2025-03-30,EUR,L1
PJM_2020,47538,2020-01-01 00:00:00,2025-06-03 23:00:00,0 days 01:00:00,2,0,0,0.0,0,0,,,1981,6,0,6,0.3,2020-03-08;2021-03-14;2022-03-13;2023-03-12;2024-03-10;2025-03-09,USD,L2
EPEX_FR,24189,2022-01-01 00:00:00,2024-10-04 23:00:00,0 days 01:00:00,2,0,490,2.03,0,0,,,1008,3,0,3,0.3,2022-03-27;2023-03-26;2024-03-31,EUR,L1
EPEX_BE,24189,2022-01-01 00:00:00,2024-10-04 23:00:00,0 days 01:00:00,2,0,717,2.96,0,0,,,1008,3,0,3,0.3,2022-03-27;2023-03-26;2024-03-31,EUR,L1
EPEX_NL,24189,2022-01-01 00:00:00,2024-10-04 23:00:00,0 days 01:00:00,2,0,827,3.42,0,0,,,1008,3,0,3,0.3,2022-03-27;2023-03-26;2024-03-31,EUR,L1
NORD_FI,24189,2022-01-01 00:00:00,2024-10-04 23:00:00,0 days 01:00:00,2,0,1044,4.32,0,0,,,1008,3,0,3,0.3,2022-03-27;2023-03-26;2024-03-31,EUR,L1
NORD_NO,24189,2022-01-01 00:00:00,2024-10-04 23:00:00,0 days 01:00:00,2,0,273,1.13,0,0,,,1008,3,0,3,0.3,2022-03-27;2023-03-26;2024-03-31,EUR,L1
NORD_SE3,24189,2022-01-01 00:00:00,2024-10-04 23:00:00,0 days 01:00:00,2,0,935,3.87,0,0,,,1008,3,0,3,0.3,2022-03-27;2023-03-26;2024-03-31,EUR,L1
NORD_DK1,24189,2022-01-01 00:00:00,2024-10-04 23:00:00,0 days 01:00:00,2,0,671,2.77,0,0,,,1008,3,0,3,0.3,2022-03-27;2023-03-26;2024-03-31,EUR,L1
shandong_DA,39816,2022-01-01 01:00:00,2026-07-18 00:00:00,0 days 01:00:00,1,0,4427,11.12,10,10,地方电厂总加预测值;联络线受电负荷预测值;风电总加预测值;光伏总加预测值;核电总加预测值;自备机组总加预测值;试验机组总加预测值;直调负荷预测值;竞价空间预测值;新能源总加预测值,地方电厂总加实际值;联络线受电负荷实际值;风电总加实际值;光伏总加实际值;核电总加实际值;自备机组总加实际值;试验机组总加实际值;直调负荷实际值;竞价空间实际值;新能源总加实际值,1660,1,0,2,0.12,2022-01-01;2026-07-18,CNY,L1
shandong_RT,39816,2022-01-01 01:00:00,2026-07-18 00:00:00,0 days 01:00:00,1,0,5327,13.38,10,10,地方电厂总加预测值;联络线受电负荷预测值;风电总加预测值;光伏总加预测值;核电总加预测值;自备机组总加预测值;试验机组总加预测值;直调负荷预测值;竞价空间预测值;新能源总加预测值,地方电厂总加实际值;联络线受电负荷实际值;风电总加实际值;光伏总加实际值;核电总加实际值;自备机组总加实际值;试验机组总加实际值;直调负荷实际值;竞价空间实际值;新能源总加实际值,1660,1,0,2,0.12,2022-01-01;2026-07-18,CNY,L1
