dataset,panel,currency,tier,freq_h,start,end,n_hours,info_cutoff,missing_rate,neg_price_rate,valid_days,da_rt,host_cached,note
LAGO_DE,HEADLINE,EUR,L1,1.0,2012-01-09,2017-12-31,52416,2017-12-31,0.0,0.0103,2184,DA,True,"EPEX-DE, 1.03% neg price, main EU market"
LAGO_BE,HEADLINE,EUR,L2,1.0,2011-01-09,2016-12-31,52416,2016-12-31,0.0,0.0005,2184,DA,True,
LAGO_FR,HEADLINE,EUR,L2,1.0,2011-01-09,2016-12-31,52416,2016-12-31,0.0,0.0007,2184,DA,True,
LAGO_PJM,HEADLINE,USD,L2,1.0,2013-01-01,2018-12-24,52416,2018-12-24,0.0,0.0018,2184,DA,False,
LAGO_NP,HEADLINE,EUR,L3,1.0,2013-01-01,2018-12-24,52416,2018-12-24,0.0,0.0,2184,DA,False,NEGATIVE CONTROL: 0% negative price
NEM_SA1,HEADLINE,AUD,L1,1.0,2024-01-01,2025-01-01,8785,2025-01-01,0.0,0.26,366,DA,False,"SA1 2024: 26.0% negative price hours, -718..14131"
GEFCOM14P,HEADLINE,USD,L3,1.0,2011-01-01,2013-12-17,25967,2013-12-17,0.0,0.0,1081,DA,False,NEGATIVE CONTROL: 0.000% negative price (2011-2013)
NORD_DK1,HEADLINE,EUR,L1,1.0,2022-01-01,2024-10-04,24189,2024-10-04,0.0,0.0277,1007,DA,False,
DE_EPEX,EXTENDED,EUR,L1,1.0,2020-01-01,2025-09-30,50394,2025-09-30,0.0,0.0355,2099,DA,False,"EPEX-DE 2020-2025: 3.6% neg (2025:8%), -500..2326"
PJM_2020,EXTENDED,USD,L2,1.0,2020-01-01,2025-06-03,47538,2025-06-03,0.0,0.0,1980,DA,False,"PJM 2020-2025: 0% negative price, normal market control"
EPEX_FR,EXTENDED,EUR,L1,1.0,2022-01-01,2024-10-04,24189,2024-10-04,0.0,0.0203,1007,DA,False,
EPEX_BE,EXTENDED,EUR,L1,1.0,2022-01-01,2024-10-04,24189,2024-10-04,0.0,0.0296,1007,DA,False,
EPEX_NL,EXTENDED,EUR,L1,1.0,2022-01-01,2024-10-04,24189,2024-10-04,0.0,0.0342,1007,DA,False,
NORD_FI,EXTENDED,EUR,L1,1.0,2022-01-01,2024-10-04,24189,2024-10-04,0.0,0.0432,1007,DA,False,
NORD_NO,EXTENDED,EUR,L1,1.0,2022-01-01,2024-10-04,24189,2024-10-04,0.0,0.0113,1007,DA,False,
NORD_SE3,EXTENDED,EUR,L1,1.0,2022-01-01,2024-10-04,24189,2024-10-04,0.0,0.0387,1007,DA,False,
shandong_DA,DOMESTIC,CNY,L1,1.0,2022-01-01,2026-07-18,39816,2026-07-18,,0.1112,1659,DA/RT,False,"Shandong spot, 24h hourly"
shandong_RT,DOMESTIC,CNY,L1,1.0,2022-01-01,2026-07-18,39816,2026-07-18,,0.1338,1659,DA/RT,False,"Shandong spot, 24h hourly"
