cell,method,status,selected,n_hours,mae,smape_nofloor,rmse,rmae,neg_price_rate,neg_price_mae,high_tail_rate,high_tail_mae,host_mae,host_rmae,degradation,degradation_frac,delta_crps,a1_net,a2_net,note
shandong_DA:Linear,B0_Identity,OK,,7968,106.930079,48.395885,145.539161,0.32685,0.1166,222.000034,0.0501,97.804692,106.930079,0.32685,0.0,0.0,,,,
shandong_DA:Linear,B1_ResidualL1,OK,,7968,74.142748,37.983143,97.225639,0.22663,0.1166,64.608369,0.0501,102.812375,106.930079,0.32685,-32.787331,-0.306624,,,,
shandong_DA:Linear,B2_QuantileResidual,OK,,7968,74.142748,37.983143,97.225639,0.22663,0.1166,64.608369,0.0501,102.812375,106.930079,0.32685,-32.787331,-0.306624,,,,
shandong_DA:Linear,B3_DeltaAdapter,OK,,7968,77.38124,40.832481,99.459128,0.236529,0.1166,97.167434,0.0501,100.424632,106.930079,0.32685,-29.548839,-0.276338,,,,
shandong_DA:Linear,B4_PIR,OK,,7968,78.018094,40.781848,100.263562,0.238476,0.1166,95.913175,0.0501,105.234412,106.930079,0.32685,-28.911986,-0.270382,,,,
shandong_DA:Linear,B5_HCH-Universal,OK,C0,7968,108.759962,50.239205,148.43123,0.332444,0.1166,191.203903,0.0501,98.88538,106.93008,0.32685,1.829882,0.017113,-0.04672,-0.0031843500796426764,-0.0031843500796426764,
shandong_DA:Linear,B6_HCH-Local,OK,C0,7968,97.519499,46.680711,128.160716,0.298085,0.1166,160.313813,0.0501,97.784234,106.93008,0.32685,-9.410581,-0.088007,-0.078653,0.020577416912949675,0.020577416912949675,
shandong_DA:MLP,B0_Identity,OK,,7968,159.081382,60.683358,200.097671,0.48626,0.1166,168.838122,0.0501,125.301935,159.081382,0.48626,0.0,0.0,,,,
shandong_DA:MLP,B1_ResidualL1,OK,,7968,141.535023,63.932345,179.146903,0.432626,0.1166,119.766493,0.0501,154.814133,159.081382,0.48626,-17.546359,-0.110298,,,,
shandong_DA:MLP,B2_QuantileResidual,OK,,7968,141.535023,63.932345,179.146903,0.432626,0.1166,119.766493,0.0501,154.814133,159.081382,0.48626,-17.546359,-0.110298,,,,
shandong_DA:MLP,B3_DeltaAdapter,OK,,7968,132.384243,59.316802,166.890804,0.404655,0.1166,135.731162,0.0501,156.555243,159.081382,0.48626,-26.697139,-0.167821,,,,
shandong_DA:MLP,B4_PIR,OK,,7968,138.314173,60.154948,176.092825,0.422781,0.1166,153.969784,0.0501,165.048547,159.081382,0.48626,-20.767209,-0.130545,,,,
shandong_DA:MLP,B5_HCH-Universal,OK,C3,7968,156.323859,62.084773,197.093994,0.477831,0.1166,162.49364,0.0501,147.566494,159.081383,0.48626,-2.757524,-0.017334,-0.175431,0.014100497567515925,0.0018100238537780997,
shandong_DA:MLP,B6_HCH-Local,OK,C0,7968,159.081383,60.683358,200.097671,0.48626,0.1166,168.838122,0.0501,125.301938,159.081383,0.48626,0.0,0.0,-0.17971,0.0,0.0,
shandong_RT:Linear,B0_Identity,OK,,7968,173.986642,63.742917,253.765434,0.53146,0.1629,343.249917,0.0501,210.73082,173.986642,0.53146,0.0,0.0,,,,
shandong_RT:Linear,B1_ResidualL1,OK,,7968,121.419034,52.376465,166.220857,0.370887,0.1629,134.796396,0.0501,198.303297,173.986642,0.53146,-52.567608,-0.302136,,,,
shandong_RT:Linear,B2_QuantileResidual,OK,,7968,121.419034,52.376465,166.220857,0.370887,0.1629,134.796396,0.0501,198.303297,173.986642,0.53146,-52.567608,-0.302136,,,,
