cell,method,status,selected,n_hours,mae,smape_nofloor,rmse,rmae,neg_price_rate,neg_price_mae,high_tail_rate,high_tail_mae,host_mae,host_rmae,degradation,degradation_frac,delta_crps,a1_net,a2_net,note
LAGO_DE:Linear,B0_Identity,OK,,10488,6.248619,26.562854,8.85415,0.174751,0.0185,19.501687,0.0502,16.277712,6.248619,0.174751,0.0,0.0,,,,
LAGO_DE:Linear,B1_ResidualL1,OK,,10488,5.23289,19.943727,8.304333,0.146345,0.0185,21.793168,0.0502,20.163995,6.248619,0.174751,-1.015729,-0.162553,,,,
LAGO_DE:Linear,B2_QuantileResidual,OK,,10488,5.355632,21.021233,8.374007,0.149777,0.0185,20.113137,0.0502,19.891158,6.248619,0.174751,-0.892987,-0.142909,,,,
LAGO_DE:Linear,B3_DeltaAdapter,OK,,10488,6.532355,24.559397,9.42786,0.182686,0.0185,22.183804,0.0502,20.566115,6.248619,0.174751,0.283736,0.045408,,,,
LAGO_DE:Linear,B4_PIR,OK,,10488,6.199296,24.227165,8.972456,0.173372,0.0185,20.414862,0.0502,19.193941,6.248619,0.174751,-0.049323,-0.007893,,,,
LAGO_DE:Linear,B5_HCH-Universal,OK,C3,10488,6.248619,26.562854,8.85415,0.174751,0.0185,19.501687,0.0502,16.277713,6.248619,0.174751,0.0,0.0,-0.0902,-0.01655336093335881,0.0,
LAGO_DE:Linear,B6_HCH-Local,OK,C0,10488,6.099671,24.940711,8.940726,0.170586,0.0185,22.647441,0.0502,16.967698,6.248619,0.174751,-0.148948,-0.023837,-0.067352,0.007468535602044066,0.007468535602044066,
LAGO_DE:MLP,B0_Identity,OK,,10488,8.417423,36.119754,12.560281,0.235405,0.0185,31.911755,0.0502,13.796145,8.417423,0.235405,0.0,0.0,,,,
LAGO_DE:MLP,B1_ResidualL1,OK,,10488,6.601758,26.093715,10.050771,0.184627,0.0185,26.960686,0.0502,14.163896,8.417423,0.235405,-1.815665,-0.215703,,,,
LAGO_DE:MLP,B2_QuantileResidual,OK,,10488,7.293756,29.277657,11.359428,0.20398,0.0185,32.229488,0.0502,13.884405,8.417423,0.235405,-1.123667,-0.133493,,,,
LAGO_DE:MLP,B3_DeltaAdapter,OK,,10488,7.96811,32.47455,11.288076,0.222839,0.0185,22.082035,0.0502,15.317165,8.417423,0.235405,-0.449313,-0.053379,,,,
LAGO_DE:MLP,B4_PIR,OK,,10488,8.195731,34.388593,11.76108,0.229205,0.0185,19.901332,0.0502,15.716289,8.417423,0.235405,-0.221691,-0.026337,,,,
LAGO_DE:MLP,B5_HCH-Universal,OK,C0,10488,8.290587,31.755558,13.044616,0.231857,0.0185,34.065875,0.0502,16.232951,8.417423,0.235405,-0.126836,-0.015068,-0.096968,0.02556073292368919,0.02556073292368919,
LAGO_DE:MLP,B6_HCH-Local,OK,C0,10488,6.950355,26.702996,10.269471,0.194376,0.0185,28.094468,0.0502,16.238263,8.417423,0.235405,-1.467068,-0.174289,-0.121834,0.06417558556277804,0.06417558556277804,
LAGO_DE:LSTM,B0_Identity,OK,,10488,5.783531,23.427255,8.568264,0.161744,0.0185,22.607584,0.0502,16.507805,5.783531,0.161744,0.0,0.0,,,,
LAGO_DE:LSTM,B1_ResidualL1,OK,,10488,5.241335,20.268207,8.322532,0.146581,0.0185,23.729084,0.0502,18.638606,5.783531,0.161744,-0.542196,-0.093748,,,,
LAGO_DE:LSTM,B2_QuantileResidual,OK,,10488,5.23385,20.335584,8.28957,0.146372,0.0185,23.175109,0.0502,18.606426,5.783531,0.161744,-0.549681,-0.095042,,,,
LAGO_DE:LSTM,B3_DeltaAdapter,OK,,10488,5.876134,21.827877,8.913524,0.164334,0.0185,26.06198,0.0502,18.314204,5.783531,0.161744,0.092604,0.016012,,,,
LAGO_DE:LSTM,B4_PIR,OK,,10488,5.745561,21.457672,8.73186,0.160682,0.0185,24.146925,0.0502,18.773507,5.783531,0.161744,-0.037969,-0.006565,,,,
LAGO_DE:LSTM,B5_HCH-Universal,OK,C3,10488,5.869541,23.563263,8.900092,0.16415,0.0185,24.554618,0.0502,16.577103,5.783531,0.161744,0.08601,0.014872,-0.056181,-0.020161318648063524,-0.0045866950395678525,
LAGO_DE:LSTM,B6_HCH-Local,OK,C0,10488,5.767892,22.98232,8.630922,0.161307,0.0185,23.965551,0.0502,16.656718,5.783531,0.161744,-0.015639,-0.002704,-0.043306,0.0005596975171924382,0.0005596975171924382,
LAGO_DE:PatchTST,B0_Identity,OK,,10488,6.147124,26.201188,8.776876,0.171913,0.0185,19.590977,0.0502,17.528023,6.147124,0.171913,0.0,0.0,,,,
LAGO_DE:PatchTST,B1_ResidualL1,OK,,10488,5.439256,20.55854,8.388703,0.152116,0.0185,22.424795,0.0502,18.888344,6.147124,0.171913,-0.707868,-0.115154,,,,
LAGO_DE:PatchTST,B2_QuantileResidual,OK,,10488,5.490452,21.26223,8.304333,0.153548,0.0185,20.457759,0.0502,18.595626,6.147124,0.171913,-0.656672,-0.106826,,,,
LAGO_DE:PatchTST,B3_DeltaAdapter,OK,,10488,6.474713,24.571662,9.475282,0.181074,0.0185,22.26243,0.0502,21.806796,6.147124,0.171913,0.327589,0.053292,,,,
LAGO_DE:PatchTST,B4_PIR,OK,,10488,6.139385,23.368091,8.985623,0.171696,0.0185,20.879459,0.0502,20.657646,6.147124,0.171913,-0.007739,-0.001259,,,,
LAGO_DE:PatchTST,B5_HCH-Universal,OK,C3,10488,6.217098,26.158013,9.00592,0.17387,0.0185,22.563849,0.0502,17.528024,6.147124,0.171913,0.069974,0.011383,-0.06989,-0.012925974096525258,-0.0025953755880573394,
LAGO_DE:PatchTST,B6_HCH-Local,OK,C0,10488,6.071044,24.589611,8.920929,0.169785,0.0185,22.537137,0.0502,17.984039,6.147124,0.171913,-0.07608,-0.012376,-0.050924,0.006655065211461578,0.006655065211461578,
LAGO_BE:Linear,B0_Identity,OK,,10488,7.415502,19.497704,15.223337,0.199237,0.0002,19.742269,0.0501,29.352446,7.415502,0.199237,0.0,0.0,,,,
LAGO_BE:Linear,B1_ResidualL1,OK,,10488,8.703519,22.490157,16.444659,0.233843,0.0002,16.249082,0.0501,32.007792,7.415502,0.199237,1.288017,0.173693,,,,
LAGO_BE:Linear,B2_QuantileResidual,OK,,10488,8.625464,22.351575,16.398162,0.231746,0.0002,16.249082,0.0501,32.250031,7.415502,0.199237,1.209963,0.163167,,,,
LAGO_BE:Linear,B3_DeltaAdapter,OK,,10488,7.619816,20.137479,15.691384,0.204727,0.0002,19.899288,0.0501,29.875976,7.415502,0.199237,0.204315,0.027552,,,,
LAGO_BE:Linear,B4_PIR,OK,,10488,7.15619,18.878302,15.314781,0.19227,0.0002,19.798446,0.0501,30.397307,7.415502,0.199237,-0.259312,-0.034969,,,,
LAGO_BE:Linear,B5_HCH-Universal,OK,C0,10488,7.454664,19.888703,15.248879,0.200289,0.0002,19.742269,0.0501,29.352446,7.415502,0.199237,0.039162,0.005281,-0.029119,-0.001341749979726345,-0.001341749979726345,
LAGO_BE:Linear,B6_HCH-Local,OK,C0,10488,7.259517,19.078905,15.123598,0.195046,0.0002,19.742269,0.0501,29.382944,7.415502,0.199237,-0.155985,-0.021035,-0.029518,0.003171133368293781,0.003171133368293781,
LAGO_BE:MLP,B0_Identity,OK,,10488,8.495257,23.796406,16.265024,0.228248,0.0002,16.573547,0.0501,31.82399,8.495257,0.228248,0.0,0.0,,,,
LAGO_BE:MLP,B1_ResidualL1,OK,,10488,10.653838,27.965582,18.256841,0.286244,0.0002,14.841034,0.0501,35.880496,8.495257,0.228248,2.158581,0.254093,,,,
LAGO_BE:MLP,B2_QuantileResidual,OK,,10488,10.531392,27.676201,18.181776,0.282954,0.0002,14.841034,0.0501,35.975342,8.495257,0.228248,2.036135,0.239679,,,,
LAGO_BE:MLP,B3_DeltaAdapter,OK,,10488,8.790751,24.471138,16.710122,0.236187,0.0002,18.792278,0.0501,34.891322,8.495257,0.228248,0.295494,0.034783,,,,
LAGO_BE:MLP,B4_PIR,OK,,10488,8.401977,23.36757,16.416973,0.225741,0.0002,17.57896,0.0501,34.231896,8.495257,0.228248,-0.09328,-0.01098,,,,
LAGO_BE:MLP,B5_HCH-Universal,OK,C0,10488,7.94033,22.733493,15.931654,0.213338,0.0002,10.379806,0.0501,31.823989,8.495257,0.228248,-0.554927,-0.065322,-0.019051,0.011708247394627518,0.011708247394627518,
LAGO_BE:MLP,B6_HCH-Local,OK,C0,10488,8.495063,23.796284,16.264931,0.228242,0.0002,16.573548,0.0501,31.823989,8.495257,0.228248,-0.000194,-2.3e-05,-0.014883,2.147665492718094e-06,2.147665492718094e-06,
LAGO_BE:LSTM,B0_Identity,OK,,10488,6.648938,17.885313,14.702178,0.178641,0.0002,10.053317,0.0501,26.785792,6.648938,0.178641,0.0,0.0,,,,
LAGO_BE:LSTM,B1_ResidualL1,OK,,10488,8.989824,23.171539,16.784864,0.241536,0.0002,9.038462,0.0501,32.094965,6.648938,0.178641,2.340886,0.352069,,,,
LAGO_BE:LSTM,B2_QuantileResidual,OK,,10488,8.570198,22.233981,16.490807,0.230261,0.0002,9.038462,0.0501,32.173543,6.648938,0.178641,1.92126,0.288957,,,,
LAGO_BE:LSTM,B3_DeltaAdapter,OK,,10488,6.850693,18.47262,15.120332,0.184062,0.0002,9.968506,0.0501,29.397285,6.648938,0.178641,0.201755,0.030344,,,,
LAGO_BE:LSTM,B4_PIR,OK,,10488,6.620137,17.801286,14.926012,0.177868,0.0002,10.526104,0.0501,28.1364,6.648938,0.178641,-0.028802,-0.004332,,,,
LAGO_BE:LSTM,B5_HCH-Universal,OK,C0,10488,6.565307,17.792353,14.653036,0.176394,0.0002,10.053316,0.0501,26.785792,6.648938,0.178641,-0.083631,-0.012578,-0.017894,0.0012442056268830957,0.0012442056268830957,
LAGO_BE:LSTM,B6_HCH-Local,OK,C0,10488,6.648938,17.885313,14.702178,0.178641,0.0002,10.053316,0.0501,26.785792,6.648938,0.178641,0.0,0.0,-0.01642,0.0,0.0,
LAGO_BE:PatchTST,B0_Identity,OK,,10488,11.790026,31.610934,18.197283,0.31677,0.0002,29.996365,0.0501,28.30787,11.790026,0.31677,0.0,0.0,,,,
LAGO_BE:PatchTST,B1_ResidualL1,OK,,10488,11.295373,30.026734,18.056169,0.30348,0.0002,25.18318,0.0501,31.731726,11.790026,0.31677,-0.494654,-0.041955,,,,
LAGO_BE:PatchTST,B2_QuantileResidual,OK,,10488,11.075511,29.551798,17.894287,0.297573,0.0002,25.18318,0.0501,31.894454,11.790026,0.31677,-0.714515,-0.060603,,,,
LAGO_BE:PatchTST,B3_DeltaAdapter,OK,,10488,12.100551,32.670169,18.620819,0.325113,0.0002,29.723758,0.0501,30.866526,11.790026,0.31677,0.310525,0.026338,,,,
LAGO_BE:PatchTST,B4_PIR,OK,,10488,11.741903,31.694898,18.294426,0.315477,0.0002,30.173042,0.0501,29.953472,11.790026,0.31677,-0.048123,-0.004082,,,,
