cell,metric,b5_score,best_method,best_score,gap_to_best_pct,b5_rank,n_methods,strict_top1,tied_top1,top2
GEFCOM14P:LSTM,MAE,5.681354,B0_Identity,5.681146,0.004,3,7,False,True,False
GEFCOM14P:LSTM,sMAPE,11.134008,B0_Identity,11.10625,0.25,3,7,False,True,False
GEFCOM14P:Linear,MAE,5.712476,B4_PIR,5.607073,1.88,4,7,False,False,False
GEFCOM14P:Linear,sMAPE,11.651837,B4_PIR,11.48979,1.41,5,7,False,False,False
GEFCOM14P:MLP,MAE,6.361187,B0_Identity,6.356441,0.075,3,7,False,True,False
GEFCOM14P:MLP,sMAPE,12.37917,B0_Identity,12.262185,0.954,3,7,False,False,False
GEFCOM14P:PatchTST,MAE,6.579457,B5_HCH-Universal,6.579457,0.0,1,7,True,True,True
GEFCOM14P:PatchTST,sMAPE,12.921835,B5_HCH-Universal,12.921835,0.0,1,7,True,True,True
LAGO_BE:LSTM,MAE,6.565307,B5_HCH-Universal,6.565307,0.0,1,7,True,True,True
LAGO_BE:LSTM,sMAPE,17.792353,B5_HCH-Universal,17.792353,0.0,1,7,True,True,True
LAGO_BE:Linear,MAE,7.454664,B4_PIR,7.15619,4.171,4,7,False,False,False
LAGO_BE:Linear,sMAPE,19.888703,B4_PIR,18.878302,5.352,4,7,False,False,False
LAGO_BE:MLP,MAE,7.94033,B5_HCH-Universal,7.94033,0.0,1,7,True,True,True
LAGO_BE:MLP,sMAPE,22.733493,B5_HCH-Universal,22.733493,0.0,1,7,True,True,True
LAGO_BE:PatchTST,MAE,7.982402,B5_HCH-Universal,7.982402,0.0,1,7,True,True,True
LAGO_BE:PatchTST,sMAPE,22.035612,B5_HCH-Universal,22.035612,0.0,1,7,True,True,True
LAGO_DE:LSTM,MAE,5.869541,B2_QuantileResidual,5.23385,12.146,6,7,False,False,False
LAGO_DE:LSTM,sMAPE,23.563263,B1_ResidualL1,20.268207,16.257,7,7,False,False,False
LAGO_DE:Linear,MAE,6.248619,B1_ResidualL1,5.23289,19.41,6,7,False,False,False
LAGO_DE:Linear,sMAPE,26.562854,B1_ResidualL1,19.943727,33.189,7,7,False,False,False
LAGO_DE:MLP,MAE,8.290587,B1_ResidualL1,6.601758,25.582,6,7,False,False,False
LAGO_DE:MLP,sMAPE,31.755558,B1_ResidualL1,26.093715,21.698,4,7,False,False,False
LAGO_DE:PatchTST,MAE,6.217098,B1_ResidualL1,5.439256,14.301,6,7,False,False,False
LAGO_DE:PatchTST,sMAPE,26.158013,B1_ResidualL1,20.55854,27.237,6,7,False,False,False
LAGO_FR:LSTM,MAE,5.566285,B4_PIR,5.319075,4.648,3,7,False,False,False
LAGO_FR:LSTM,sMAPE,15.420832,B4_PIR,14.761999,4.463,3,7,False,False,False
LAGO_FR:Linear,MAE,5.989117,B4_PIR,5.788214,3.471,5,7,False,False,False
LAGO_FR:Linear,sMAPE,17.633787,B4_PIR,17.040581,3.481,5,7,False,False,False
LAGO_FR:MLP,MAE,7.438277,B4_PIR,7.186603,3.502,5,7,False,False,False
LAGO_FR:MLP,sMAPE,19.755051,B4_PIR,19.419288,1.729,2,7,False,False,True
LAGO_FR:PatchTST,MAE,6.20142,B0_Identity,6.186356,0.244,3,7,False,True,False
LAGO_FR:PatchTST,sMAPE,18.374625,B5_HCH-Universal,18.374625,0.0,1,7,True,True,True
LAGO_NP:LSTM,MAE,2.823703,B4_PIR,2.723185,3.691,5,7,False,False,False
LAGO_NP:LSTM,sMAPE,7.372372,B4_PIR,7.136342,3.307,5,7,False,False,False
LAGO_NP:Linear,MAE,2.730052,B0_Identity,2.63139,3.749,4,7,False,False,False
