cell,selected,delta_crps,cand_crps,host_crps,a1_net,a2_net,release_rate,identity_rate,harmful_rate,q,coverage,mae,host_mae,degradation_frac
LAGO_DE:Linear,C3,-0.0902,0.160235,0.250435,-0.01655336093335881,0.0,0.0,1.0,,0.0,1.0,6.248619,6.248619,0.0
LAGO_DE:MLP,C0,-0.096968,0.149711,0.246679,0.02556073292368919,0.02556073292368919,0.17162471395881007,0.8283752860411899,0.30666666666666664,0.04534220712299142,0.8421052631578947,8.290587,8.417423,-0.015068
LAGO_DE:LSTM,C3,-0.056181,0.135629,0.191811,-0.020161318648063524,-0.0045866950395678525,0.02288329519450801,0.977116704805492,0.8,0.0,0.977116704805492,5.869541,5.783531,0.014872
LAGO_DE:PatchTST,C3,-0.06989,0.130818,0.200708,-0.012925974096525258,-0.0025953755880573394,0.011441647597254004,0.988558352402746,0.8,0.03700600269965309,0.8832951945080092,6.217098,6.147124,0.011383
LAGO_BE:Linear,C0,-0.029119,0.063307,0.092425,-0.001341749979726345,-0.001341749979726345,0.029748283752860413,0.9702517162471396,0.6153846153846154,0.03219923356469724,0.9221967963386728,7.454664,7.415502,0.005281
LAGO_BE:MLP,C0,-0.019051,0.057668,0.076719,0.011708247394627518,0.011708247394627518,0.2494279176201373,0.7505720823798627,0.3577981651376147,0.004843705302491998,0.8489702517162472,7.94033,8.495257,-0.065322
LAGO_BE:LSTM,C0,-0.017894,0.054217,0.072111,0.0012442056268830957,0.0012442056268830957,0.036613272311212815,0.9633867276887872,0.4375,0.020505875252022514,0.919908466819222,6.565307,6.648938,-0.012578
LAGO_BE:PatchTST,C0,-0.01389,0.05558,0.06947,0.06722531305075023,0.06722531305075023,0.33638443935926776,0.6636155606407322,0.04081632653061224,0.02949128199482054,0.9382151029748284,7.982402,11.790026,-0.322953
LAGO_FR:Linear,C0,-0.028364,0.066576,0.09494,-0.0014424673731233714,-0.0014424673731233714,0.04805491990846682,0.9519450800915332,0.6190476190476191,0.012596070671688572,0.9038901601830663,5.989117,5.938558,0.008514
LAGO_FR:MLP,C3,-0.021428,0.060727,0.082156,0.008795524844758967,0.0008411325666220978,0.011441647597254004,0.988558352402746,0.0,0.0,0.9954233409610984,7.438277,7.467196,-0.003873
