cell,selected,release_rate,identity_rate,harmful_rate,q,coverage,n_calib,n_eval
LAGO_DE:Linear,C3,0.0,1.0,,0.0,1.0,109,437
LAGO_DE:MLP,C0,0.17162471395881007,0.8283752860411899,0.30666666666666664,0.04534220712299142,0.8421052631578947,109,437
LAGO_DE:LSTM,C3,0.02288329519450801,0.977116704805492,0.8,0.0,0.977116704805492,109,437
LAGO_DE:PatchTST,C3,0.011441647597254004,0.988558352402746,0.8,0.03700600269965309,0.8832951945080092,109,437
LAGO_BE:Linear,C0,0.029748283752860413,0.9702517162471396,0.6153846153846154,0.03219923356469724,0.9221967963386728,109,437
LAGO_BE:MLP,C0,0.2494279176201373,0.7505720823798627,0.3577981651376147,0.004843705302491998,0.8489702517162472,109,437
LAGO_BE:LSTM,C0,0.036613272311212815,0.9633867276887872,0.4375,0.020505875252022514,0.919908466819222,109,437
LAGO_BE:PatchTST,C0,0.33638443935926776,0.6636155606407322,0.04081632653061224,0.02949128199482054,0.9382151029748284,109,437
LAGO_FR:Linear,C0,0.04805491990846682,0.9519450800915332,0.6190476190476191,0.012596070671688572,0.9038901601830663,109,437
LAGO_FR:MLP,C3,0.011441647597254004,0.988558352402746,0.0,0.0,0.9954233409610984,109,437
LAGO_FR:LSTM,C3,0.0,1.0,,0.0,1.0,109,437
LAGO_FR:PatchTST,C0,0.041189931350114416,0.9588100686498856,0.5555555555555556,0.020920037967087347,0.9153318077803204,109,437
LAGO_PJM:Linear,C0,0.018306636155606407,0.9816933638443935,0.5,0.05873467834942875,0.9450800915331807,109,437
LAGO_PJM:MLP,C0,0.14187643020594964,0.8581235697940504,0.6774193548387096,0.0,0.9038901601830663,109,437
LAGO_PJM:LSTM,C3,0.011441647597254004,0.988558352402746,0.6,0.0,0.9908466819221968,109,437
LAGO_PJM:PatchTST,C0,0.11899313501144165,0.8810068649885584,0.6346153846153846,0.0,0.9176201372997712,109,437
LAGO_NP:Linear,C3,0.06636155606407322,0.9336384439359268,0.8275862068965517,0.0,0.9450800915331807,109,437
LAGO_NP:MLP,C0,0.029748283752860413,0.9702517162471396,0.9230769230769231,0.0,0.9725400457665904,109,437
LAGO_NP:LSTM,C3,0.12356979405034325,0.8764302059496567,0.8148148148148148,0.0,0.8901601830663616,109,437
LAGO_NP:PatchTST,C3,0.07322654462242563,0.9267734553775744,0.46875,0.0,0.9405034324942791,109,437
NEM_SA1:Linear,C0,0.2054794520547945,0.7945205479452054,0.4666666666666667,0.1099501361937911,0.726027397260274,18,73
NEM_SA1:MLP,C0,0.0821917808219178,0.9178082191780822,0.0,1.0385608556874115,0.958904109589041,18,73
NEM_SA1:LSTM,C0,0.0821917808219178,0.9178082191780822,0.3333333333333333,1.168567462534578,0.9315068493150684,18,73
NEM_SA1:PatchTST,C0,0.0410958904109589,0.958904109589041,0.6666666666666666,0.32771376691598925,0.8767123287671232,18,73
GEFCOM14P:Linear,C0,0.046296296296296294,0.9537037037037037,0.6,0.0,0.9722222222222222,54,216
GEFCOM14P:MLP,C0,0.10185185185185185,0.8981481481481481,0.36363636363636365,0.0,0.9629629629629629,54,216
GEFCOM14P:LSTM,C0,0.037037037037037035,0.9629629629629629,0.375,0.0,0.9814814814814815,54,216
GEFCOM14P:PatchTST,C0,0.046296296296296294,0.9537037037037037,0.4,0.0,0.9814814814814815,54,216
NORD_DK1:Linear,C0,0.11940298507462686,0.8805970149253731,0.375,0.12680179838045488,0.8208955223880597,50,201
NORD_DK1:MLP,C0,0.5572139303482587,0.4427860696517413,0.19642857142857142,0.0802312067973219,0.8159203980099502,50,201
NORD_DK1:LSTM,C0,0.4577114427860697,0.5422885572139303,0.2717391304347826,0.08734126854993961,0.7761194029850746,50,201
NORD_DK1:PatchTST,C0,0.30845771144278605,0.6915422885572139,0.3225806451612903,0.1261573016718063,0.7960199004975125,50,201
