cell,tag,note,mae,host_mae,delta_crps,degradation_frac,selected
LAGO_DE:Linear,ABSTAIN_SAFE,DVG abstains; final == host,6.248619,6.248619,-0.0902,0.0,C3
LAGO_DE:MLP,CANDIDATE,CRPS<0 and point improves,8.290587,8.417423,-0.096968,-0.015068,C0
LAGO_DE:LSTM,POINT_READOUT,CRPS<0 but point MAE worse -> Case A,5.869541,5.783531,-0.056181,0.014872,C3
LAGO_DE:PatchTST,POINT_READOUT,CRPS<0 but point MAE worse -> Case A,6.217098,6.147124,-0.06989,0.011383,C3
LAGO_BE:Linear,POINT_READOUT,CRPS<0 but point MAE worse -> Case A,7.454664,7.415502,-0.029119,0.005281,C0
LAGO_BE:MLP,CANDIDATE,CRPS<0 and point improves,7.94033,8.495257,-0.019051,-0.065322,C0
LAGO_BE:LSTM,CANDIDATE,CRPS<0 and point improves,6.565307,6.648938,-0.017894,-0.012578,C0
LAGO_BE:PatchTST,CANDIDATE,CRPS<0 and point improves,7.982402,11.790026,-0.01389,-0.322953,C0
LAGO_FR:Linear,POINT_READOUT,CRPS<0 but point MAE worse -> Case A,5.989117,5.938558,-0.028364,0.008514,C0
LAGO_FR:MLP,NEUTRAL,near-flat,7.438277,7.467196,-0.021428,-0.003873,C3
LAGO_FR:LSTM,ABSTAIN_SAFE,DVG abstains; final == host,5.566285,5.566285,-0.014002,0.0,C3
LAGO_FR:PatchTST,POINT_READOUT,CRPS<0 but point MAE worse -> Case A,6.20142,6.186356,-0.014072,0.002435,C0
LAGO_PJM:Linear,NEUTRAL,near-flat,6.089058,6.106035,-0.041721,-0.00278,C0
LAGO_PJM:MLP,POINT_READOUT,CRPS<0 but point MAE worse -> Case A,4.400157,4.210177,-0.013473,0.045124,C0
LAGO_PJM:LSTM,POINT_READOUT,CRPS<0 but point MAE worse -> Case A,3.947255,3.939917,-0.012383,0.001863,C3
LAGO_PJM:PatchTST,POINT_READOUT,CRPS<0 but point MAE worse -> Case A,3.924589,3.775302,-0.012565,0.039543,C0
LAGO_NP:Linear,POINT_READOUT,CRPS<0 but point MAE worse -> Case A,2.730052,2.63139,-0.004075,0.037494,C3
LAGO_NP:MLP,POINT_READOUT,CRPS<0 but point MAE worse -> Case A,3.964716,3.848286,-0.003818,0.030255,C0
LAGO_NP:LSTM,POINT_READOUT,CRPS<0 but point MAE worse -> Case A,2.823703,2.761872,-0.000357,0.022387,C3
LAGO_NP:PatchTST,CANDIDATE,CRPS<0 and point improves,2.995638,3.032278,-0.004693,-0.012083,C3
NEM_SA1:Linear,CANDIDATE,CRPS<0 and point improves,64.244711,65.107757,-0.531576,-0.013256,C0
NEM_SA1:MLP,CANDIDATE,CRPS<0 and point improves,127.950223,135.877515,-0.364504,-0.058341,C0
NEM_SA1:LSTM,CANDIDATE,CRPS<0 and point improves,86.134239,88.426527,-0.245186,-0.025923,C0
NEM_SA1:PatchTST,POINT_READOUT,CRPS<0 but point MAE worse -> Case A,62.253425,62.147317,-0.387728,0.001707,C0
GEFCOM14P:Linear,POINT_READOUT,CRPS<0 but point MAE worse -> Case A,5.712476,5.685754,-0.0373,0.0047,C0
GEFCOM14P:MLP,POINT_READOUT,CRPS<0 but point MAE worse -> Case A,6.361187,6.356441,-0.053437,0.000747,C0
GEFCOM14P:LSTM,POINT_READOUT,CRPS<0 but point MAE worse -> Case A,5.681354,5.681146,-0.035143,3.7e-05,C0
GEFCOM14P:PatchTST,NEUTRAL,near-flat,6.579457,6.606515,-0.058983,-0.004096,C0
NORD_DK1:Linear,CANDIDATE,CRPS<0 and point improves,31.810107,32.780443,-0.042865,-0.029601,C0
NORD_DK1:MLP,CANDIDATE,CRPS<0 and point improves,46.513835,74.272883,-0.109614,-0.373744,C0
NORD_DK1:LSTM,CANDIDATE,CRPS<0 and point improves,37.478302,51.05337,-0.052228,-0.2659,C0
NORD_DK1:PatchTST,CANDIDATE,CRPS<0 and point improves,41.619606,49.45916,-0.051997,-0.158506,C0
