cell,market_seen,delta_crps,mae_rel
LAGO_DE:Linear,1,-0.0902,0.0
LAGO_DE:MLP,1,-0.096968,-0.015068
LAGO_DE:LSTM,1,-0.056181,0.014872
LAGO_DE:PatchTST,1,-0.06989,0.011383
LAGO_BE:Linear,0,-0.029119,0.005281
LAGO_BE:MLP,0,-0.019051,-0.065322
LAGO_BE:LSTM,0,-0.017894,-0.012578
LAGO_BE:PatchTST,0,-0.01389,-0.322953
LAGO_FR:Linear,0,-0.028364,0.008514
LAGO_FR:MLP,0,-0.021428,-0.003873
LAGO_FR:LSTM,0,-0.014002,0.0
LAGO_FR:PatchTST,0,-0.014072,0.002435
LAGO_PJM:Linear,1,-0.041721,-0.00278
LAGO_PJM:MLP,1,-0.013473,0.045124
LAGO_PJM:LSTM,1,-0.012383,0.001863
LAGO_PJM:PatchTST,1,-0.012565,0.039543
LAGO_NP:Linear,0,-0.004075,0.037494
LAGO_NP:MLP,0,-0.003818,0.030255
LAGO_NP:LSTM,0,-0.000357,0.022387
LAGO_NP:PatchTST,0,-0.004693,-0.012083
NEM_SA1:Linear,1,-0.531576,-0.013256
NEM_SA1:MLP,1,-0.364504,-0.058341
NEM_SA1:LSTM,1,-0.245186,-0.025923
NEM_SA1:PatchTST,1,-0.387728,0.001707
GEFCOM14P:Linear,0,-0.0373,0.0047
GEFCOM14P:MLP,0,-0.053437,0.000747
GEFCOM14P:LSTM,0,-0.035143,3.7e-05
GEFCOM14P:PatchTST,0,-0.058983,-0.004096
NORD_DK1:Linear,0,-0.042865,-0.029601
NORD_DK1:MLP,0,-0.109614,-0.373744
NORD_DK1:LSTM,0,-0.052228,-0.2659
NORD_DK1:PatchTST,0,-0.051997,-0.158506
