cell,method,status,selected,n_hours,mae,smape_nofloor,rmse,rmae,neg_price_rate,neg_price_mae,high_tail_rate,high_tail_mae,host_mae,host_rmae,degradation,degradation_frac,delta_crps,a1_net,a2_net,note
shandong_DA:Linear,B0_Identity,OK,,7968,106.930079,48.395885,145.539161,0.32685,0.1166,222.000034,0.0501,97.804692,106.930079,0.32685,0.0,0.0,,,,
shandong_DA:Linear,B1_ResidualL1,OK,,7968,74.142748,37.983143,97.225639,0.22663,0.1166,64.608369,0.0501,102.812375,106.930079,0.32685,-32.787331,-0.306624,,,,
shandong_DA:Linear,B2_QuantileResidual,OK,,7968,74.142748,37.983143,97.225639,0.22663,0.1166,64.608369,0.0501,102.812375,106.930079,0.32685,-32.787331,-0.306624,,,,
shandong_DA:Linear,B3_DeltaAdapter,OK,,7968,77.38124,40.832481,99.459128,0.236529,0.1166,97.167434,0.0501,100.424632,106.930079,0.32685,-29.548839,-0.276338,,,,
shandong_DA:Linear,B4_PIR,OK,,7968,78.018094,40.781848,100.263562,0.238476,0.1166,95.913175,0.0501,105.234412,106.930079,0.32685,-28.911986,-0.270382,,,,
shandong_DA:Linear,B5_HCH-Universal,OK,C3,7968,106.93008,48.395885,145.539161,0.32685,0.1166,222.000032,0.0501,97.804696,106.93008,0.32685,0.0,0.0,-0.032855,-0.013978575808233204,0.0,
shandong_DA:Linear,B6_HCH-Local,OK,C0,7968,97.519499,46.680711,128.160716,0.298085,0.1166,160.313813,0.0501,97.784234,106.93008,0.32685,-9.410581,-0.088007,-0.078653,0.020577416912949675,0.020577416912949675,
shandong_DA:MLP,B0_Identity,OK,,7968,159.081382,60.683358,200.097671,0.48626,0.1166,168.838122,0.0501,125.301935,159.081382,0.48626,0.0,0.0,,,,
shandong_DA:MLP,B1_ResidualL1,OK,,7968,141.535023,63.932345,179.146903,0.432626,0.1166,119.766493,0.0501,154.814133,159.081382,0.48626,-17.546359,-0.110298,,,,
shandong_DA:MLP,B2_QuantileResidual,OK,,7968,141.535023,63.932345,179.146903,0.432626,0.1166,119.766493,0.0501,154.814133,159.081382,0.48626,-17.546359,-0.110298,,,,
shandong_DA:MLP,B3_DeltaAdapter,OK,,7968,132.384243,59.316802,166.890804,0.404655,0.1166,135.731162,0.0501,156.555243,159.081382,0.48626,-26.697139,-0.167821,,,,
shandong_DA:MLP,B4_PIR,OK,,7968,138.314173,60.154948,176.092825,0.422781,0.1166,153.969784,0.0501,165.048547,159.081382,0.48626,-20.767209,-0.130545,,,,
shandong_DA:MLP,B5_HCH-Universal,OK,C3,7968,158.988577,62.359671,200.203454,0.485976,0.1166,162.305189,0.0501,147.668504,159.081383,0.48626,-0.092806,-0.000583,-0.176288,0.009799548702510713,-0.0016352916454984447,
shandong_DA:MLP,B6_HCH-Local,OK,C0,7968,159.081383,60.683358,200.097671,0.48626,0.1166,168.838122,0.0501,125.301938,159.081383,0.48626,0.0,0.0,-0.17971,0.0,0.0,
shandong_DA:LSTM,B0_Identity,OK,,7968,112.970913,49.876084,154.098516,0.345315,0.1166,249.196415,0.0501,90.099269,112.970913,0.345315,0.0,0.0,,,,
shandong_DA:LSTM,B1_ResidualL1,OK,,7968,83.936419,41.503157,105.481,0.256566,0.1166,61.950601,0.0501,104.041963,112.970913,0.345315,-29.034493,-0.257009,,,,
shandong_DA:LSTM,B2_QuantileResidual,OK,,7968,83.936419,41.503157,105.481,0.256566,0.1166,61.950601,0.0501,104.041963,112.970913,0.345315,-29.034493,-0.257009,,,,
