variant,mae_base,mae_bech,mae_gain_pct,tail_base,tail_bech,tail_gain_pct,neg_miss_base,neg_miss_bech,mae_neg_base,mae_neg_bech,mae_normal_base,mae_normal_bech,tau_neg,tau_pos,lam_neg,lam_pos,fire_rate,n_fired,harm_rate,worst_harm,dm_p,dataset,backbone,tier,family
A0 v0,113.60462953845368,113.0810598595331,0.4608700200403003,1744.3506273205096,1744.2528624565364,0.005604656680945011,0.6814159292035398,0.6721816083108888,101.50571066172263,99.71288898688543,95.43029713559199,95.4450762364941,0.98,1.01,0.25,0.0,0.02807057745187901,245,0.22448979591836735,46.80780495500383,1.0558406371430351e-09,NEM_SA1,GBDT,L1,ladder
A1 +L1 magnitude,113.60462953845368,113.11843555201915,0.42797022305324145,1744.3506273205096,1744.2511935781486,0.005700330014143027,0.6814159292035398,0.6733358984224702,101.50571066172263,99.8407557729025,95.43029713559199,95.44407085103178,0.98,1.01,0.25,0.0,0.02807057745187901,245,0.22857142857142856,42.43339001166909,4.719911128603371e-10,NEM_SA1,GBDT,L1,ladder
A2 +Bayes gate,113.60462953845368,112.22253289350598,1.2165847910976837,1744.3506273205096,1741.7280368879358,0.15034766471247624,0.6814159292035398,0.6298576375529049,101.50571066172263,96.55893956164441,95.43029713559199,95.56088591018887,0.5,0.5,0.15,0.0,0.25790559120073325,2251,0.36472678809418035,25.460034007001454,0.0,NEM_SA1,GBDT,L1,ladder
A3 +two-tier cert,113.60462953845368,110.13647599632425,3.052827649911489,1744.3506273205096,1732.6180795812868,0.6726026038265673,0.6814159292035398,0.4028472489419007,101.50571066172263,82.89082526128261,95.43029713559199,98.40990276903027,0.5,0.5,0.8,0.0,0.25790559120073325,2251,0.5028876055086628,135.7868480373411,9.830499043683716e-07,NEM_SA1,GBDT,L1,ladder
A4 +S2b reuse (=v1),113.60462953845368,110.02677803215323,3.1493888240614276,1744.3506273205096,1735.683741453976,0.4968545733174555,0.6814159292035398,0.48980377068103115,101.50571066172263,85.98745752960211,95.43029713559199,96.92823263137856,0.5,0.5,0.55,0.0,0.25790559120073325,2251,0.4411372723234118,93.35345802567201,1.2454481890245006e-12,NEM_SA1,GBDT,L1,ladder
rho=0.00,113.60462953845368,113.60462953845368,0.0,1744.3506273205096,1744.3506273205096,0.0,0.6814159292035398,0.6814159292035398,101.50571066172263,101.50571066172263,95.43029713559199,95.43029713559199,0.5,0.5,0.0,0.0,0.0,0,,,,NEM_SA1,GBDT,L1,rho
rho=0.10,113.60462953845368,112.66018573434081,0.8313427084352958,1744.3506273205096,1742.5800640328473,0.10150271739702092,0.6814159292035398,0.6429395921508272,101.50571066172263,98.17308499365923,95.43029713559199,95.49913369186048,0.5,0.5,0.1,0.0,0.25790559120073325,2251,0.35806308307418927,16.973356004667636,0.0,NEM_SA1,GBDT,L1,rho
rho=0.25,113.60462953845368,111.43851956391005,1.906709245339716,1744.3506273205096,1740.086025241831,0.24448078338638687,0.6814159292035398,0.5944594074644094,101.50571066172263,93.4809929176452,95.43029713559199,95.75119768824752,0.5,0.5,0.25,0.0,0.25790559120073325,2251,0.3811639271434918,42.43339001166909,0.0,NEM_SA1,GBDT,L1,rho
rho=0.50,113.60462953845368,110.02677803215323,3.1493888240614276,1744.3506273205096,1735.683741453976,0.4968545733174555,0.6814159292035398,0.48980377068103115,101.50571066172263,85.98745752960211,95.43029713559199,96.92823263137856,0.5,0.5,0.55,0.0,0.25790559120073325,2251,0.4411372723234118,93.35345802567201,1.2454481890245006e-12,NEM_SA1,GBDT,L1,rho
rho=1.00,113.60462953845368,109.9187174121761,3.2445087328328928,1744.3506273205096,1733.7797177042469,0.6060083019261248,0.6814159292035398,0.4382454790303963,101.50571066172263,83.66640618941746,95.43029713559199,97.76555730100334,0.5,0.5,0.7,0.0,0.25790559120073325,2251,0.47490004442470013,118.81349203267345,5.351294074529278e-09,NEM_SA1,GBDT,L1,rho
