market,host,status,artifact_path,artifact_sha256,contract_path,contract_sha256,contract_source,role_taxonomy,lead_convention,target_semantics,origin_alignment,horizon,n_episodes,n_host_train,n_host_val,n_post_train,n_dev_eval,n_protected_final_read,contract_sealed_days,n_short_episodes,oof_folds,blocker
GANSU_DA,PatchTST,READY_FROZEN,experiments/evidence/hch_unified_da_shape_engineering_20260910/host_foundation/GANSU_DA/PatchTST/host_predictions.npz,35206EA19A82F1668ADFBC4825FB71D5DD6ACF05190BDA3AD7FA297B27D4E909,experiments/evidence/hch_unified_da_shape_engineering_20260910/preflight/gansu_da_split_manifest.json,0A401DE2CD661D54930EC5227B9D4701610BC7FA7F4938097DB18C0DFBADBAB4,LEGACY_PREFLIGHT,LEGACY_S1_DIAG,DAY_ORIGIN_LABEL,DA -> next-24h DA price,day-origin row of target day,24,291,188,20,62,21,0,125,0,5,
GANSU_DA,TimeMixer,READY_FROZEN,experiments/evidence/hch_unified_da_shape_engineering_20260910/host_foundation/GANSU_DA/TimeMixer/host_predictions.npz,26E6A08BBFE12788039E85B65D8212A9BC6C09E4035E3772C9A2FC897A9DF742,experiments/evidence/hch_unified_da_shape_engineering_20260910/preflight/gansu_da_split_manifest.json,0A401DE2CD661D54930EC5227B9D4701610BC7FA7F4938097DB18C0DFBADBAB4,LEGACY_PREFLIGHT,LEGACY_S1_DIAG,DAY_ORIGIN_LABEL,DA -> next-24h DA price,day-origin row of target day,24,291,188,20,62,21,0,125,0,5,
GANSU_DA,iTransformer,READY_FROZEN,experiments/evidence/hch_china_host_breadth_expansion_20260912/03_hosts/GANSU_DA/iTransformer/host_predictions.npz,A0784EFB4DE520CD93CDFB28228996F2D4D99E6FC8CF59FBB562D96214FBCA89,experiments/evidence/hch_unified_da_shape_engineering_20260910/preflight/gansu_da_split_manifest.json,0A401DE2CD661D54930EC5227B9D4701610BC7FA7F4938097DB18C0DFBADBAB4,LEGACY_PREFLIGHT,LEGACY_S1_DIAG,DAY_ORIGIN_LABEL,DA -> next-24h DA price,day-origin row of target day,24,291,188,20,62,21,0,125,0,5,
GANSU_DA,LSTM,READY_FROZEN,experiments/evidence/hch_china_host_breadth_expansion_20260912/03_hosts/GANSU_DA/LSTM/host_predictions.npz,01550632429E07F10C1A0D2AB707A7869A4D97C0BDF1E5CBA4CC2C88A705C925,experiments/evidence/hch_unified_da_shape_engineering_20260910/preflight/gansu_da_split_manifest.json,0A401DE2CD661D54930EC5227B9D4701610BC7FA7F4938097DB18C0DFBADBAB4,LEGACY_PREFLIGHT,LEGACY_S1_DIAG,DAY_ORIGIN_LABEL,DA -> next-24h DA price,day-origin row of target day,24,291,188,20,62,21,0,125,0,5,
SHANDONG_DA,PatchTST,READY_FROZEN,experiments/evidence/china5_posthoc_baseline_panel_20260912/02_hosts/SHANDONG/PatchTST/host_predictions.npz,587C5C6A7DCA709913D63D7B1B76A729C740E2D0057FFEB8AE6F858E01A81337,experiments/evidence/china5_posthoc_baseline_panel_20260912/01_dataset_contracts/SHANDONG/DATASET_CONTRACT.json,8A00F0658E8F99FD73B9D093B3CA225E9496329ABF28F53507F30224D6D2142A,CANONICAL_CHINA5,CANONICAL_CHINA5,hour_ending,DA -> next-24h DA price,first flagged row of target day,24,1156,744,82,248,82,0,496,0,5,
SHANDONG_DA,TimeMixer,READY_FROZEN,experiments/evidence/china5_posthoc_baseline_panel_20260912/02_hosts/SHANDONG/TimeMixer/host_predictions.npz,E4ABA1486FB7C282FC716CDB2047220D5C8B616DD347E2D1831A8A00E0ED6873,experiments/evidence/china5_posthoc_baseline_panel_20260912/01_dataset_contracts/SHANDONG/DATASET_CONTRACT.json,8A00F0658E8F99FD73B9D093B3CA225E9496329ABF28F53507F30224D6D2142A,CANONICAL_CHINA5,CANONICAL_CHINA5,hour_ending,DA -> next-24h DA price,first flagged row of target day,24,1156,744,82,248,82,0,496,0,5,
SHANDONG_DA,iTransformer,READY_FROZEN,experiments/evidence/hch_china_host_breadth_expansion_20260912/03_hosts/SHANDONG_DA/iTransformer/host_predictions.npz,27E11F7DC790A2A8A149BBA04AB265B9720B8A7D212A48E73D72CF76ECAF5791,experiments/evidence/china5_posthoc_baseline_panel_20260912/01_dataset_contracts/SHANDONG/DATASET_CONTRACT.json,8A00F0658E8F99FD73B9D093B3CA225E9496329ABF28F53507F30224D6D2142A,CANONICAL_CHINA5,CANONICAL_CHINA5,hour_ending,DA -> next-24h DA price,first flagged row of target day,24,1156,744,82,248,82,0,496,0,5,
SHANDONG_DA,LSTM,READY_FROZEN,experiments/evidence/hch_china_host_breadth_expansion_20260912/03_hosts/SHANDONG_DA/LSTM/host_predictions.npz,6C8B9D3096DDB422BC04A20DE16181EDF4E2EE3A03F6C2FC876AAF8ECBF2B2E0,experiments/evidence/china5_posthoc_baseline_panel_20260912/01_dataset_contracts/SHANDONG/DATASET_CONTRACT.json,8A00F0658E8F99FD73B9D093B3CA225E9496329ABF28F53507F30224D6D2142A,CANONICAL_CHINA5,CANONICAL_CHINA5,hour_ending,DA -> next-24h DA price,first flagged row of target day,24,1156,744,82,248,82,0,496,0,5,
SHAANXI_DA,PatchTST,READY_FROZEN,experiments/evidence/china5_posthoc_baseline_panel_20260912/02_hosts/SHAANXI/PatchTST/host_predictions.npz,498BF81D99523FAFBFD8F30C18D22000F434EAE799CDCE324894CB69669E14F5,experiments/evidence/china5_posthoc_baseline_panel_20260912/01_dataset_contracts/SHAANXI/DATASET_CONTRACT.json,C2FCF8B1858315F44A3F1FB000C06497EEC79C2FEAC22D89E4EEE6DF2D6786C8,CANONICAL_CHINA5,CANONICAL_CHINA5,hour_ending,DA -> next-24h DA price,first flagged row of target day,24,284,183,20,61,20,0,122,0,5,
SHAANXI_DA,TimeMixer,READY_FROZEN,experiments/evidence/china5_posthoc_baseline_panel_20260912/02_hosts/SHAANXI/TimeMixer/host_predictions.npz,E51BFFCCBF98848D87F45A93A28F29FF4518131ADC4161C2A4581FF1A19EA7CC,experiments/evidence/china5_posthoc_baseline_panel_20260912/01_dataset_contracts/SHAANXI/DATASET_CONTRACT.json,C2FCF8B1858315F44A3F1FB000C06497EEC79C2FEAC22D89E4EEE6DF2D6786C8,CANONICAL_CHINA5,CANONICAL_CHINA5,hour_ending,DA -> next-24h DA price,first flagged row of target day,24,284,183,20,61,20,0,122,0,5,
