physical_market_group,dataset_id,backbone,method,method_display,partition,fidelity_status,setting,table,n_days,n_hours,Overall_MAE,MSE,RMSE,Host_Overall_MAE,relative_gain_vs_Host_pct,Tail_MAE,Upper_tail_MAE,Lower_tail_MAE,Normal_region_MAE,Host_Normal_region_MAE,Normal_harm_vs_Host,n_upper_tail_hours,n_lower_tail_hours,n_normal_hours,Tail_MAE_Host,Extreme_day_MAE,n_extreme_days,Extreme_day_MAE_Host,extreme_day_subset_status,Upper_tail_day_MAE,n_upper_tail_days,upper_tail_day_subset_status,negative_price_subset_status,n_negative_hours,Negative_price_MAE,Negative_price_MAE_Host,n_negative_days
SHANDONG,SHANDONG_DA,PatchTST,Host,Host (frozen),DEV_EVAL,"frozen Host, no post-processing",STRICT_OFFLINE_scored_on_held_out_days,strict_offline_main,82,1968,104.54519550647677,18928.96323054701,137.58256877434368,104.54519550647677,0.0,181.2230442239226,319.2678629557292,173.34976558902872,91.93191624999751,91.93191624999751,0.0,15,263,1690,181.2230442239226,134.5908153851827,1,134.5908153851827,OK,138.0772198677063,5,OK,OK,337,182.89832145311712,182.89832145311712,51
SHANDONG,SHANDONG_DA,PatchTST,MatchedDirectResidual,MatchedDirectResidual,DEV_EVAL,INTERNAL_CONTROL / NOT_A_PAPER_METHOD,STRICT_OFFLINE_scored_on_held_out_days,strict_offline_main,82,1968,134.05538543185023,31335.19763175121,177.0175065685629,104.54519550647677,-28.227208129851594,216.88695564887507,347.26987711588544,209.45066735227752,120.42983719496685,91.93191624999751,28.497920944969337,15,263,1690,181.2230442239226,176.24752887090048,1,134.5908153851827,OK,166.3895058075587,5,OK,OK,337,212.49075110659047,182.89832145311712,51
SHANDONG,SHANDONG_DA,PatchTST,delta_Adapter_AdaY,delta-Adapter (Ada-Y),DEV_EVAL,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,STRICT_OFFLINE_scored_on_held_out_days,strict_offline_main,82,1968,102.96796809021777,18666.281322508017,136.62459999029463,104.54519550647677,1.5086560492981185,177.87890416876874,315.00543924967445,170.05799912613153,90.64534073528453,91.93191624999751,-1.286575514712979,15,263,1690,181.2230442239226,132.0340092976888,1,134.5908153851827,OK,135.392455509305,5,OK,OK,337,179.9077270865794,182.89832145311712,51
SHANDONG,SHANDONG_DA,PatchTST,PIR_paper_protocol,PIR,DEV_EVAL,PAPER_FAITHFUL_EXACT_ACCEPTED,STRICT_OFFLINE_scored_on_held_out_days,strict_offline_main,82,1968,110.75819039211525,21685.295445779004,147.25927965931044,104.54519550647677,-5.942879398272849,183.36167701885856,354.73935546875,173.5872847118305,98.81513164523085,91.93191624999751,6.883215395233336,15,263,1690,181.2230442239226,167.99187898635864,1,134.5908153851827,OK,173.75482244491576,5,OK,OK,337,187.2946456334711,182.89832145311712,51
SHANDONG,SHANDONG_DA,PatchTST,COSA_online,COSA_online,DEV_EVAL,TRANSFERRED_IMPLEMENTATION / PAPER_FIDELITY_UNRESOLVED,ONLINE_TTA_scored_on_adapted_days,supplementary,82,1968,103.8607901529886,18816.99896905606,137.17506686368358,104.54519550647677,0.6546502210575268,179.29100081731949,317.3218058268229,171.41852144415387,91.45274366500992,91.93191624999751,-0.4791725849875945,15,263,1690,181.2230442239226,134.47101191679636,1,134.5908153851827,OK,137.31623247464498,5,OK,OK,337,181.28869596344782,182.89832145311712,51
SHANDONG,SHANDONG_DA,TimeMixer,Host,Host (frozen),DEV_EVAL,"frozen Host, no post-processing",STRICT_OFFLINE_scored_on_held_out_days,strict_offline_main,82,1968,103.75902927079336,18543.766833177713,136.17550012090175,103.75902927079336,0.0,184.61706567668227,313.96974690755206,177.23953632891406,90.45812150698441,90.45812150698441,0.0,15,263,1690,184.61706567668227,148.41659879684448,1,148.41659879684448,OK,149.29024896621704,5,OK,OK,337,189.57139864873463,189.57139864873463,51
SHANDONG,SHANDONG_DA,TimeMixer,MatchedDirectResidual,MatchedDirectResidual,DEV_EVAL,INTERNAL_CONTROL / NOT_A_PAPER_METHOD,STRICT_OFFLINE_scored_on_held_out_days,strict_offline_main,82,1968,143.0590001265329,35198.12439491992,187.61163182201662,103.75902927079336,-37.87619364978187,226.67252209804042,298.47829386393227,222.57713587565115,129.30482313950387,90.45812150698441,38.846701632519455,15,263,1690,184.61706567668227,163.14780815442404,1,148.41659879684448,OK,185.05807651281356,5,OK,OK,337,227.73650060633878,189.57139864873463,51
SHANDONG,SHANDONG_DA,TimeMixer,delta_Adapter_AdaY,delta-Adapter (Ada-Y),DEV_EVAL,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,STRICT_OFFLINE_scored_on_held_out_days,strict_offline_main,82,1968,103.90345535185037,18560.81966753073,136.23809917761892,103.75902927079336,-0.13919374735096865,184.27969593024082,313.03099772135414,176.93646579006327,90.68180157623347,90.45812150698441,0.22368006924905615,15,263,1690,184.61706567668227,147.75624664624533,1,148.41659879684448,OK,149.0268553117911,5,OK,OK,337,189.32966713877036,189.57139864873463,51
SHANDONG,SHANDONG_DA,TimeMixer,PIR_paper_protocol,PIR,DEV_EVAL,PAPER_FAITHFUL_EXACT_ACCEPTED,STRICT_OFFLINE_scored_on_held_out_days,strict_offline_main,82,1968,110.9025422931929,21129.593389857462,145.3602194200926,103.75902927079336,-6.88471458590479,193.97407671701993,361.06195068359375,184.44435006493399,97.23752065424382,90.45812150698441,6.7793991472594115,15,263,1690,184.61706567668227,183.24442942937216,1,148.41659879684448,OK,180.13393398920695,5,OK,OK,337,194.2873032581205,189.57139864873463,51
SHANDONG,SHANDONG_DA,TimeMixer,COSA_online,COSA_online,DEV_EVAL,TRANSFERRED_IMPLEMENTATION / PAPER_FIDELITY_UNRESOLVED,ONLINE_TTA_scored_on_adapted_days,supplementary,82,1968,102.53547711767317,18364.05203098544,135.51402890839546,103.75902927079336,1.179224749613774,183.9370260015666,317.213623046875,176.3356991738874,89.14516315925756,90.45812150698441,-1.3129583477268483,15,263,1690,184.61706567668227,148.37267649173737,1,148.41659879684448,OK,149.2073425213496,5,OK,OK,337,188.61623475954866,189.57139864873463,51
SHAANXI,SHAANXI_DA,PatchTST,Host,Host (frozen),DEV_EVAL,"frozen Host, no post-processing",STRICT_OFFLINE_scored_on_held_out_days,strict_offline_main,20,480,101.63885358969371,19263.773073198616,138.7939950905608,101.63885358969371,0.0,143.01088774831672,429.3126242501395,78.3621085382277,93.85599567866561,93.85599567866561,0.0,14,62,404,143.01088774831672,139.31784216562906,2,139.31784216562906,OK,113.68021807670593,10,OK,NOT_APPLICABLE_N0,0,,,0
