physical_market_group,backbone,method,partition,n_days,Overall_MAE,relative_gain_vs_Host_pct,fidelity_status,table,artifact,artifact_sha256
SHANDONG,PatchTST,Host,DEV_EVAL,82,104.54519550647677,0.0,"frozen Host, no post-processing",strict_offline_main,experiments/evidence/china5_posthoc_baseline_panel_20260912/03_baselines/SHANDONG/PatchTST/Host.npz,1C4D28F3FF3316CBC10322FB5FE458ED01C4732DB57FBBCD77FE18415041784E
SHANDONG,PatchTST,MatchedDirectResidual,DEV_EVAL,82,134.05538543185023,-28.227208129851594,INTERNAL_CONTROL / NOT_A_PAPER_METHOD,strict_offline_main,experiments/evidence/china5_posthoc_baseline_panel_20260912/03_baselines/SHANDONG/PatchTST/MatchedDirectResidual.npz,28EF6976B55EABD2312890B6D23AF03496A87153C50300DAAA049984F4AAC6B5
SHANDONG,PatchTST,delta_Adapter_AdaY,DEV_EVAL,82,102.96796809021777,1.5086560492981185,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,strict_offline_main,experiments/evidence/china5_posthoc_baseline_panel_20260912/03_baselines/SHANDONG/PatchTST/delta_Adapter_AdaY.npz,974E8E056C56838941A0691D6F85DB055AD22FC5A263F3C6F21EB5D0DCC95929
SHANDONG,PatchTST,PIR_paper_protocol,DEV_EVAL,82,110.75819039211525,-5.942879398272849,PAPER_FAITHFUL_EXACT_ACCEPTED,strict_offline_main,experiments/evidence/china5_posthoc_baseline_panel_20260912/03_baselines/SHANDONG/PatchTST/PIR_paper_protocol.npz,ABD0C00A3F883E594FFA83B26265DEB135402535346F68101AA633155ECA6FA4
SHANDONG,PatchTST,COSA_online,DEV_EVAL,82,103.8607901529886,0.6546502210575268,TRANSFERRED_IMPLEMENTATION / PAPER_FIDELITY_UNRESOLVED,supplementary,experiments/evidence/china5_posthoc_baseline_panel_20260912/03_baselines/SHANDONG/PatchTST/COSA_online.npz,3A53A977FB0C44428816903AFB72B10CCCEB0617DBABA20CF404638262087A91
SHANDONG,TimeMixer,Host,DEV_EVAL,82,103.75902927079336,0.0,"frozen Host, no post-processing",strict_offline_main,experiments/evidence/china5_posthoc_baseline_panel_20260912/03_baselines/SHANDONG/TimeMixer/Host.npz,21D3107B4A63C678554C2BB0FAB2E79B32A71F38139D7BEAC9E95B68F635F7C0
SHANDONG,TimeMixer,MatchedDirectResidual,DEV_EVAL,82,143.0590001265329,-37.87619364978187,INTERNAL_CONTROL / NOT_A_PAPER_METHOD,strict_offline_main,experiments/evidence/china5_posthoc_baseline_panel_20260912/03_baselines/SHANDONG/TimeMixer/MatchedDirectResidual.npz,A05E0A955432D57FF8316D63ECF454EEDBE54AFBB69460EEDF297784385BA79A
SHANDONG,TimeMixer,delta_Adapter_AdaY,DEV_EVAL,82,103.90345535185037,-0.13919374735096865,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,strict_offline_main,experiments/evidence/china5_posthoc_baseline_panel_20260912/03_baselines/SHANDONG/TimeMixer/delta_Adapter_AdaY.npz,BD3D201DFE828E7BFB616F27A5C8D3C21FB249112C66158198E7AE3F8C49D1FD
SHANDONG,TimeMixer,PIR_paper_protocol,DEV_EVAL,82,110.9025422931929,-6.88471458590479,PAPER_FAITHFUL_EXACT_ACCEPTED,strict_offline_main,experiments/evidence/china5_posthoc_baseline_panel_20260912/03_baselines/SHANDONG/TimeMixer/PIR_paper_protocol.npz,8012651D7F0E429706D7FF1B53B5800487C8BA54324242C01CA8CBCB0E663965
SHANDONG,TimeMixer,COSA_online,DEV_EVAL,82,102.53547711767317,1.179224749613774,TRANSFERRED_IMPLEMENTATION / PAPER_FIDELITY_UNRESOLVED,supplementary,experiments/evidence/china5_posthoc_baseline_panel_20260912/03_baselines/SHANDONG/TimeMixer/COSA_online.npz,43A7CF12C6478248F6686993AF9F4F0E543586106F40EE73847AD2A12306802A
SHAANXI,PatchTST,Host,DEV_EVAL,20,101.63885358969371,0.0,"frozen Host, no post-processing",strict_offline_main,experiments/evidence/china5_posthoc_baseline_panel_20260912/03_baselines/SHAANXI/PatchTST/Host.npz,717844EA77CAF6E4A9D23089F9BE74C2EF88FAE2D2470AF06E22252FB8481912
SHAANXI,PatchTST,MatchedDirectResidual,DEV_EVAL,20,132.33284427512748,-30.199072108135404,INTERNAL_CONTROL / NOT_A_PAPER_METHOD,strict_offline_main,experiments/evidence/china5_posthoc_baseline_panel_20260912/03_baselines/SHAANXI/PatchTST/MatchedDirectResidual.npz,A295283E619D15F0772EA48A703D577CC5A3F3F3F01FA62BD164296939DA1E0D
SHAANXI,PatchTST,delta_Adapter_AdaY,DEV_EVAL,20,99.99750287582476,1.6148851112537344,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,strict_offline_main,experiments/evidence/china5_posthoc_baseline_panel_20260912/03_baselines/SHAANXI/PatchTST/delta_Adapter_AdaY.npz,F95B8351741826D692246EAC712DA12ECF55DFD2EC3CE51147C78AA045F052D2
SHAANXI,PatchTST,PIR_paper_protocol,DEV_EVAL,20,107.82356026172639,-6.084982714385722,PAPER_FAITHFUL_EXACT_ACCEPTED,strict_offline_main,experiments/evidence/china5_posthoc_baseline_panel_20260912/03_baselines/SHAANXI/PatchTST/PIR_paper_protocol.npz,5D4A464EEBED13C98BDA6E5BF1B969007F6BD927023657E25A70E7BA26E93436
SHAANXI,PatchTST,COSA_online,DEV_EVAL,20,101.40782681380709,0.22730163488389174,TRANSFERRED_IMPLEMENTATION / PAPER_FIDELITY_UNRESOLVED,supplementary,experiments/evidence/china5_posthoc_baseline_panel_20260912/03_baselines/SHAANXI/PatchTST/COSA_online.npz,2FE6E39F246C616FD027BDE4F7F98A4C4ABC3BB3777A2A4CB3089F3AF678DA7C
SHAANXI,TimeMixer,Host,DEV_EVAL,20,99.74069322745005,0.0,"frozen Host, no post-processing",strict_offline_main,experiments/evidence/china5_posthoc_baseline_panel_20260912/03_baselines/SHAANXI/TimeMixer/Host.npz,281AB4953098275767C696F4562B96B438CCDE90B38208138518C607087FA339
SHAANXI,TimeMixer,MatchedDirectResidual,DEV_EVAL,20,127.91083670289566,-28.243380473811253,INTERNAL_CONTROL / NOT_A_PAPER_METHOD,strict_offline_main,experiments/evidence/china5_posthoc_baseline_panel_20260912/03_baselines/SHAANXI/TimeMixer/MatchedDirectResidual.npz,98C92DA5C1365691D979E69B0810CE14ED6486A13D0E4858696D084708B490F5
SHAANXI,TimeMixer,delta_Adapter_AdaY,DEV_EVAL,20,99.66677856228004,0.07410682919703816,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,strict_offline_main,experiments/evidence/china5_posthoc_baseline_panel_20260912/03_baselines/SHAANXI/TimeMixer/delta_Adapter_AdaY.npz,29C8B4AF7FAE50A25867BA7C24ACA2804FFD26786412EB3D1B1785BF0D7F6F03
SHAANXI,TimeMixer,PIR_paper_protocol,DEV_EVAL,20,108.97536199092865,-9.258677140352061,PAPER_FAITHFUL_EXACT_ACCEPTED,strict_offline_main,experiments/evidence/china5_posthoc_baseline_panel_20260912/03_baselines/SHAANXI/TimeMixer/PIR_paper_protocol.npz,A7A8A1162C828BB6612186FED9CF7FD61AF997BD3E26C1F95CBE6BB391A3C0B3
SHAANXI,TimeMixer,COSA_online,DEV_EVAL,20,99.47235090956092,0.26903995671777065,TRANSFERRED_IMPLEMENTATION / PAPER_FIDELITY_UNRESOLVED,supplementary,experiments/evidence/china5_posthoc_baseline_panel_20260912/03_baselines/SHAANXI/TimeMixer/COSA_online.npz,9DE9DB0E3E0DFAB9E71FC69D11F0F0228C3C7199C0A5089BEBF9C622054353D1
NINGXIA,PatchTST,Host,DEV_EVAL,7,82.47408810115996,0.0,"frozen Host, no post-processing",strict_offline_main,experiments/evidence/china5_posthoc_baseline_panel_20260912/03_baselines/NINGXIA/PatchTST/Host.npz,A08CA7A749409CCE5185032DFB6852F776715F323B9134B31F3F116E8703AB9E
NINGXIA,PatchTST,MatchedDirectResidual,DEV_EVAL,7,100.67551017978361,-22.069261385828714,INTERNAL_CONTROL / NOT_A_PAPER_METHOD,strict_offline_main,experiments/evidence/china5_posthoc_baseline_panel_20260912/03_baselines/NINGXIA/PatchTST/MatchedDirectResidual.npz,8ACA1CA5F69310B3D9D7D6C015F2350620583A11BD41FF4F849D2B93D49BDF41
NINGXIA,PatchTST,delta_Adapter_AdaY,DEV_EVAL,7,81.63252032796542,1.020402641084436,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,strict_offline_main,experiments/evidence/china5_posthoc_baseline_panel_20260912/03_baselines/NINGXIA/PatchTST/delta_Adapter_AdaY.npz,9D1C067F549FC6AC2E5B53C386D1B683137F718BE5FB07A16055167E7784C0AD
NINGXIA,PatchTST,PIR_paper_protocol,DEV_EVAL,7,98.81075234640213,-19.80823871032579,PAPER_FAITHFUL_EXACT_ACCEPTED,strict_offline_main,experiments/evidence/china5_posthoc_baseline_panel_20260912/03_baselines/NINGXIA/PatchTST/PIR_paper_protocol.npz,BC9F61BCF40AC7522B74D82C187C1C6F780221C14900A2F95FB5CE84C6AE1A80
NINGXIA,PatchTST,COSA_online,DEV_EVAL,7,82.46809701408658,0.007264205293224413,TRANSFERRED_IMPLEMENTATION / PAPER_FIDELITY_UNRESOLVED,supplementary,experiments/evidence/china5_posthoc_baseline_panel_20260912/03_baselines/NINGXIA/PatchTST/COSA_online.npz,ED646E60C9C86E392FAD7EBCE91FBE8135A9A9355967041F096E3CD843B767B6
NINGXIA,TimeMixer,Host,DEV_EVAL,7,92.56650777090164,0.0,"frozen Host, no post-processing",strict_offline_main,experiments/evidence/china5_posthoc_baseline_panel_20260912/03_baselines/NINGXIA/TimeMixer/Host.npz,53F327FFFF402C493D7EBAE0A0DA91F13F5B1C7212A560B85C9F9299AEB04B40
NINGXIA,TimeMixer,MatchedDirectResidual,DEV_EVAL,7,107.24015696559634,-15.852006895422038,INTERNAL_CONTROL / NOT_A_PAPER_METHOD,strict_offline_main,experiments/evidence/china5_posthoc_baseline_panel_20260912/03_baselines/NINGXIA/TimeMixer/MatchedDirectResidual.npz,82D0E34F201230BC2C57FC19D5F0E3E282F128BB19CA6D370A58BDC0BF2B36D5
NINGXIA,TimeMixer,delta_Adapter_AdaY,DEV_EVAL,7,91.88305592678842,0.7383359927596465,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,strict_offline_main,experiments/evidence/china5_posthoc_baseline_panel_20260912/03_baselines/NINGXIA/TimeMixer/delta_Adapter_AdaY.npz,F28C30CCF05ADF808AB4142B7EB7A234687215C555D0E915F18F8940BA65F7D6
NINGXIA,TimeMixer,PIR_paper_protocol,DEV_EVAL,7,106.05857006708781,-14.575533441942614,PAPER_FAITHFUL_EXACT_ACCEPTED,strict_offline_main,experiments/evidence/china5_posthoc_baseline_panel_20260912/03_baselines/NINGXIA/TimeMixer/PIR_paper_protocol.npz,57E7A6521F5F267931131EEC2DE1B5D5F8FD1533F171086FEC31061966C84F84
NINGXIA,TimeMixer,COSA_online,DEV_EVAL,7,92.54977250950677,0.018079175500808457,TRANSFERRED_IMPLEMENTATION / PAPER_FIDELITY_UNRESOLVED,supplementary,experiments/evidence/china5_posthoc_baseline_panel_20260912/03_baselines/NINGXIA/TimeMixer/COSA_online.npz,827AA77705EF36798B77633CFD3632BF12FBA2FAEA314DCFC29EA276C44F0762
QINGHAI,PatchTST,Host,DEV_EVAL,6,110.85987186431885,0.0,"frozen Host, no post-processing",strict_offline_main,experiments/evidence/china5_posthoc_baseline_panel_20260912/03_baselines/QINGHAI/PatchTST/Host.npz,531FDA8FCE5BF945D5F4EF1D7FF5685D5AE23DA85C584E207E5D03A1D86BFEE5
QINGHAI,PatchTST,MatchedDirectResidual,DEV_EVAL,6,125.52915040817525,-13.232270881397106,INTERNAL_CONTROL / NOT_A_PAPER_METHOD,strict_offline_main,experiments/evidence/china5_posthoc_baseline_panel_20260912/03_baselines/QINGHAI/PatchTST/MatchedDirectResidual.npz,D7203231FE2B6FCE5BA53AD82772EF4CED5E17B98BAE37253F677C102DF5A9DB
QINGHAI,PatchTST,delta_Adapter_AdaY,DEV_EVAL,6,110.7663416200214,0.08436798881738386,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,strict_offline_main,experiments/evidence/china5_posthoc_baseline_panel_20260912/03_baselines/QINGHAI/PatchTST/delta_Adapter_AdaY.npz,08DB5E5D1F43F7C2F7A52BD8D849B6EEE64C43062BBCDFBE4E6102972BE276D8
QINGHAI,PatchTST,PIR_paper_protocol,DEV_EVAL,6,146.19111601511636,-31.870183102898896,PAPER_FAITHFUL_EXACT_ACCEPTED,strict_offline_main,experiments/evidence/china5_posthoc_baseline_panel_20260912/03_baselines/QINGHAI/PatchTST/PIR_paper_protocol.npz,3E6FB595B8F6498D7237B21D8CD94E4ABF16629AAFB1467A75E3712EF667832D
QINGHAI,PatchTST,COSA_online,DEV_EVAL,6,110.84938605626424,0.00945861462607896,TRANSFERRED_IMPLEMENTATION / PAPER_FIDELITY_UNRESOLVED,supplementary,experiments/evidence/china5_posthoc_baseline_panel_20260912/03_baselines/QINGHAI/PatchTST/COSA_online.npz,A4E08F1554E694CD6D1AB3EF6A3A33DF9E7B7A0D7355F8239627D8D83B553252
