physical_market_group,dataset_id,backbone,method,method_display,partition,setting,fidelity_status,table,n_days,n_hours,Overall_MAE,MSE,RMSE,Host_Overall_MAE,relative_gain_vs_Host_pct,Tail_MAE,Upper_tail_MAE,Lower_tail_MAE,Normal_region_MAE,Host_Normal_region_MAE,Normal_harm_vs_Host,Tail_MAE_Host,Extreme_day_MAE,Extreme_day_MAE_Host,n_extreme_days,extreme_day_subset_status,Upper_tail_day_MAE,n_upper_tail_days,upper_tail_day_subset_status,negative_price_subset_status,n_negative_hours,Negative_price_MAE,Negative_price_MAE_Host,n_negative_days,n_upper_tail_hours,n_lower_tail_hours,n_normal_hours
SHANDONG,SHANDONG_DA,PatchTST,COSA_online,COSA_online,DEV_EVAL,ONLINE_TTA_scored_on_adapted_days,TRANSFERRED_IMPLEMENTATION / PAPER_FIDELITY_UNRESOLVED,supplementary,82,1968,103.8607901529886,18816.99896905606,137.17506686368358,104.54519550647677,0.6546502210575268,179.29100081731949,317.3218058268229,171.41852144415387,91.45274366500992,91.93191624999751,-0.4791725849875945,181.2230442239226,134.47101191679636,134.5908153851827,1,OK,137.31623247464498,5,OK,OK,337,181.28869596344782,182.89832145311712,51,15,263,1690
SHANDONG,SHANDONG_DA,TimeMixer,COSA_online,COSA_online,DEV_EVAL,ONLINE_TTA_scored_on_adapted_days,TRANSFERRED_IMPLEMENTATION / PAPER_FIDELITY_UNRESOLVED,supplementary,82,1968,102.53547711767317,18364.05203098544,135.51402890839546,103.75902927079336,1.179224749613774,183.9370260015666,317.213623046875,176.3356991738874,89.14516315925756,90.45812150698441,-1.3129583477268483,184.61706567668227,148.37267649173737,148.41659879684448,1,OK,149.2073425213496,5,OK,OK,337,188.61623475954866,189.57139864873463,51,15,263,1690
SHAANXI,SHAANXI_DA,PatchTST,COSA_online,COSA_online,DEV_EVAL,ONLINE_TTA_scored_on_adapted_days,TRANSFERRED_IMPLEMENTATION / PAPER_FIDELITY_UNRESOLVED,supplementary,20,480,101.40782681380709,19201.365566343637,138.56899208099782,101.63885358969371,0.22730163488389174,142.25792337091346,429.0776500020708,77.49217864774889,93.72315518425243,93.85599567866561,-0.13284049441317336,143.01088774831672,138.83313247561455,139.31784216562906,2,OK,113.48523701230685,10,OK,NOT_APPLICABLE_N0,0,,,0,14,62,404
SHAANXI,SHAANXI_DA,TimeMixer,COSA_online,COSA_online,DEV_EVAL,ONLINE_TTA_scored_on_adapted_days,TRANSFERRED_IMPLEMENTATION / PAPER_FIDELITY_UNRESOLVED,supplementary,20,480,99.47235090956092,18004.395332708504,134.1804580880111,99.74069322745005,0.26903995671777065,140.00529264933184,398.1550827026367,81.71340457277913,91.8473420674258,92.04850586806194,-0.20116380063613803,140.63074182209215,123.35570771495502,123.67640686035156,2,OK,96.21965216249228,10,OK,NOT_APPLICABLE_N0,0,,,0,14,62,404
NINGXIA,NINGXIA_DA,PatchTST,COSA_online,COSA_online,DEV_EVAL,ONLINE_TTA_scored_on_adapted_days,TRANSFERRED_IMPLEMENTATION / PAPER_FIDELITY_UNRESOLVED,supplementary,7,168,82.46809701408658,10526.902043808057,102.6006922189517,82.47408810115996,0.007264205293224413,73.13844306128365,,73.13844306128365,88.06588938576834,88.04991153535389,0.015977850414458317,73.18104904417008,,,0,NOT_APPLICABLE_N0,,0,NOT_APPLICABLE_N0,NOT_APPLICABLE_N0,0,,,0,0,63,105
NINGXIA,NINGXIA_DA,TimeMixer,COSA_online,COSA_online,DEV_EVAL,ONLINE_TTA_scored_on_adapted_days,TRANSFERRED_IMPLEMENTATION / PAPER_FIDELITY_UNRESOLVED,supplementary,7,168,92.54977250950677,12007.748928845695,109.57987465244562,92.56650777090164,0.018079175500808457,99.53137089714171,,99.53137089714171,88.3608134769258,88.35542199271066,0.0053914842151385756,99.5849840678866,,,0,NOT_APPLICABLE_N0,,0,NOT_APPLICABLE_N0,NOT_APPLICABLE_N0,0,,,0,0,63,105
QINGHAI,QINGHAI_DA,PatchTST,COSA_online,COSA_online,DEV_EVAL,ONLINE_TTA_scored_on_adapted_days,TRANSFERRED_IMPLEMENTATION / PAPER_FIDELITY_UNRESOLVED,supplementary,6,144,110.84938605626424,19084.476285672255,138.14657536715217,110.85987186431885,0.00945861462607896,111.55874008602567,174.31493813650948,71.62297769026323,110.14003202650282,110.13033548990886,0.009696536593963856,111.58940823872884,117.05102977752685,117.06361274719238,5,OK,117.05102977752685,5,OK,NOT_APPLICABLE_N0,0,,,0,28,44,72
QINGHAI,QINGHAI_DA,TimeMixer,COSA_online,COSA_online,DEV_EVAL,ONLINE_TTA_scored_on_adapted_days,TRANSFERRED_IMPLEMENTATION / PAPER_FIDELITY_UNRESOLVED,supplementary,6,144,114.09600608547528,21574.571126568553,146.88284830628984,114.15169938405354,0.04878884754127666,104.75378271606233,194.3740452357701,47.722706567157395,123.43822945488824,123.45654424031575,-0.018314785427506308,104.84685452779134,117.12949715852737,117.19632911682129,5,OK,117.12949715852737,5,OK,NOT_APPLICABLE_N0,0,,,0,28,44,72
ALL,ALL,ALL,UEC_STD,UEC_STD,NOT_RUN,NOT_RUN,HOST_FIDELITY_BLOCKED / NOT_PAPER_FAITHFULLY_ADMITTED,supplementary_blocked,0,,,,,,,,,,,,,,,,,,,,,NOT_RUN,,,,,,,
ALL,ALL,ALL,OMPB,OMPB,NOT_RUN,NOT_RUN,STANDALONE_DATA_BLOCKED / NOT_REPRODUCED,supplementary_blocked,0,,,,,,,,,,,,,,,,,,,,,NOT_RUN,,,,,,,
