group,variant,market,host,cell,is_shape_limited_weak,is_strong_control,n_seeds,n_finite,mae_median,mae_min,mae_max,mae_spread,host_mae_median,o1_mae_median,a1_mae_median,a2_mae_median,gain_vs_host_pct,gain_vs_o1_pct,gain_vs_a1_pct,gain_vs_a2_pct,selected_step_median,stopped_at_step_median,correction_ratio_median
critical,GEOM_COUPLED,GANSU_DA,TimeMixer,GANSU_DA__TimeMixer,True,False,3,3,76.4864273071,76.4724655151,76.6070480347,0.1345825195,76.6070480347,76.2325210571,76.4883499146,76.4864273071,0.1574538252,-0.3330681532,0.0025135951,0.0,450.0,850.0,0.1221680343
critical,GEOM_COUPLED,GANSU_DA,iTransformer,GANSU_DA__iTransformer,False,False,3,3,79.1737136841,78.2893600464,79.1737136841,0.8843536377,79.1737136841,79.0445098877,79.1737136841,79.1737136841,0.0,-0.163457015,0.0,0.0,0.0,800.0,1.56e-08
critical,GEOM_COUPLED,QINGHAI_DA,PatchTST,QINGHAI_DA__PatchTST,False,True,3,3,135.6168823242,134.8528137207,135.9824066162,1.1295928955,143.2564239502,128.4313049316,135.4978179932,135.6168823242,5.3327742068,-5.5948799994,-0.0878717701,0.0,900.0,1275.0,0.2421266884
critical,GEOM_COUPLED,SHAANXI_DA,LSTM,SHAANXI_DA__LSTM,True,False,3,3,109.3413772583,108.8089370728,109.3554992676,0.5465621948,109.4563598633,109.3026275635,109.3416976929,109.3413772583,0.1050488113,-0.0354517505,0.000293058,0.0,200.0,800.0,0.022105284
critical,GEOM_COUPLED,SHAANXI_DA,TimeMixer,SHAANXI_DA__TimeMixer,True,False,3,3,103.523651123,103.523147583,103.5277252197,0.0045776367,103.5921554565,103.471031189,103.5242233276,103.523651123,0.0661288813,-0.0508547499,0.0005527253,0.0,200.0,800.0,0.0215521865
critical,GEOM_COUPLED,SHAANXI_DA,iTransformer,SHAANXI_DA__iTransformer,True,False,3,3,111.2544708252,110.8279800415,112.1787948608,1.3508148193,112.5065231323,112.4107894897,111.3323516846,111.2544708252,1.1128708561,1.0286545178,0.0699534845,0.0,1100.0,1500.0,0.2595239282
critical,GEOM_COUPLED,SHANDONG_DA,TimeMixer,SHANDONG_DA__TimeMixer,True,False,3,3,77.654510498,76.6011962891,78.3052978516,1.7041015625,78.9922332764,78.4920654297,77.6223831177,77.654510498,1.6934864642,1.0670568128,-0.0413893249,0.0,1950.0,1300.0,0.2782528698
critical,GEOM_COUPLED,SHANDONG_DA,iTransformer,SHANDONG_DA__iTransformer,True,False,3,3,72.8411254883,72.7620925903,73.7043609619,0.9422683716,75.0702819824,74.8496780396,72.8252258301,72.8411254883,2.9694260302,2.6834484849,-0.0218326246,0.0,2000.0,,0.2146663219
critical,GEOM_FLAT,GANSU_DA,TimeMixer,GANSU_DA__TimeMixer,True,False,3,3,76.4883499146,76.4727172852,76.6070480347,0.1343307495,76.6070480347,76.2325210571,76.4883499146,76.4864273071,0.1549441248,-0.3355901837,0.0,-0.0025136583,450.0,850.0,0.1223325729
critical,GEOM_FLAT,GANSU_DA,iTransformer,GANSU_DA__iTransformer,False,False,3,3,79.1737136841,78.334236145,79.1737136841,0.8394775391,79.1737136841,79.0445098877,79.1737136841,79.1737136841,0.0,-0.163457015,0.0,0.0,0.0,800.0,1.56e-08
critical,GEOM_FLAT,QINGHAI_DA,PatchTST,QINGHAI_DA__PatchTST,False,True,3,3,135.4978179932,134.3455963135,135.9527130127,1.6071166992,143.2564239502,128.4313049316,135.4978179932,135.6168823242,5.4158869411,-5.5021733722,0.0,0.0877946234,900.0,1275.0,0.2404649407
critical,GEOM_FLAT,SHAANXI_DA,LSTM,SHAANXI_DA__LSTM,True,False,3,3,109.3416976929,108.8008880615,109.3561477661,0.5552597046,109.4563598633,109.3026275635,109.3416976929,109.3413772583,0.1047560604,-0.0357449132,0.0,-0.0002930588,200.0,800.0,0.0221102778
critical,GEOM_FLAT,SHAANXI_DA,TimeMixer,SHAANXI_DA__TimeMixer,True,False,3,3,103.5242233276,103.5231704712,103.527671814,0.0045013428,103.5921554565,103.471031189,103.5242233276,103.523651123,0.0655765184,-0.0514077593,0.0,-0.0005527284,200.0,800.0,0.0215600692
critical,GEOM_FLAT,SHAANXI_DA,iTransformer,SHAANXI_DA__iTransformer,True,False,3,3,111.3323516846,110.8277511597,112.1828918457,1.355140686,112.5065231323,112.4107894897,111.3323516846,111.2544708252,1.0436474393,0.9593721475,0.0,-0.0700024537,1100.0,1500.0,0.2597347498
critical,GEOM_FLAT,SHANDONG_DA,TimeMixer,SHANDONG_DA__TimeMixer,True,False,3,3,77.6223831177,76.6166152954,78.3049240112,1.6883087158,78.9922332764,78.4920654297,77.6223831177,77.654510498,1.7341580329,1.1079875491,0.0,0.0413722013,1950.0,1300.0,0.2772777677
critical,GEOM_FLAT,SHANDONG_DA,iTransformer,SHANDONG_DA__iTransformer,True,False,3,3,72.8252258301,72.7909240723,73.6677932739,0.8768692017,75.0702819824,74.8496780396,72.8252258301,72.8411254883,2.9906057271,2.7046906046,0.0,0.0218278591,2000.0,,0.2150450945
