group,variant,market,host,cell,seed,val_mae_ema,val_mae_raw,val_host_mae,val_gain_vs_host_pct,val_correction_ratio,val_mean_abs_correction,train_mae_ema,train_host_mae,train_correction_ratio,diag_reconstruction_mae,diag_level,diag_B,diag_shape,selected_step,selected_check,stopped_at_step,check_count,selected_after_switch,n_train_rows,n_val_rows,parameter_count,switch_step,test_target_read_count,code_hash,common_code_hash,finite
critical,GEOM_FLAT,GANSU_DA,TimeMixer,GANSU_DA__TimeMixer,7,76.4883499146,78.2338562012,76.6070480347,0.1549441248,0.1223325729,9.3715372086,80.3855667114,84.2944564819,0.1468480676,2.4919030666,0.7942993045,0.687862277,2.8386046886,500,10,900,19,True,224,42,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_FLAT,GANSU_DA,TimeMixer,GANSU_DA__TimeMixer,17,76.4727172852,78.2178573608,76.6070480347,0.1753503796,0.1301231086,9.9683475494,80.9199905396,84.2944564819,0.1358044893,2.50846982,0.7963790298,0.7033344507,2.9015583992,450,9,850,18,True,224,42,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_FLAT,GANSU_DA,TimeMixer,GANSU_DA__TimeMixer,37,76.6070480347,76.6070480347,76.6070480347,0.0,1.38e-08,1.0571e-06,84.2944564819,84.2944564819,1.51e-08,2.6130759716,0.7999328375,1.1181468964,3.3543298244,0,0,800,17,False,224,42,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_FLAT,GANSU_DA,iTransformer,GANSU_DA__iTransformer,7,78.334236145,78.2446289062,79.1737136841,1.0602982985,0.1766474545,13.9858350754,69.2704391479,78.244972229,0.3078180552,2.3626241684,0.7163572311,1.8952195644,3.3071017265,1500,30,1900,39,True,224,42,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_FLAT,GANSU_DA,iTransformer,GANSU_DA__iTransformer,17,79.1737136841,79.1737136841,79.1737136841,0.0,1.56e-08,1.2383e-06,78.244972229,78.244972229,1.61e-08,2.6687209606,0.746340692,1.203294754,3.5410246849,0,0,800,17,False,224,42,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_FLAT,GANSU_DA,iTransformer,GANSU_DA__iTransformer,37,79.1737136841,79.1737136841,79.1737136841,0.0,1.09e-08,8.608e-07,78.244972229,78.244972229,1.25e-08,2.6687209606,0.746340692,1.203294754,3.541021347,0,0,800,17,False,224,42,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_FLAT,SHANDONG_DA,TimeMixer,SHANDONG_DA__TimeMixer,7,76.6166152954,76.9877929688,78.9922332764,3.0074070354,0.2772777677,21.9027900696,86.9618911743,94.5073852539,0.2782168984,2.0552442074,0.9450997114,1.0206093788,3.3440902233,1950,39,,41,True,916,166,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_FLAT,SHANDONG_DA,TimeMixer,SHANDONG_DA__TimeMixer,17,78.3049240112,78.9052200317,78.9922332764,0.8700972699,0.2535771132,20.0306224823,88.9495239258,94.5073852539,0.2401031107,2.110114336,0.9518678188,0.7914441824,3.4018425941,900,18,1300,27,True,916,166,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_FLAT,SHANDONG_DA,TimeMixer,SHANDONG_DA__TimeMixer,37,77.6223831177,77.4093475342,78.9922332764,1.7341580329,0.2810608745,22.201625824,86.8127746582,94.5073852539,0.2805012465,2.0473926067,0.9457848668,1.0601342916,3.3232917786,1950,39,,41,True,916,166,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_FLAT,SHANDONG_DA,iTransformer,SHANDONG_DA__iTransformer,7,72.8252258301,72.4198608398,75.0702819824,2.9906057271,0.1955802292,14.6822633743,92.9829406738,100.3296585083,0.2737542689,2.1182322502,0.9118036032,1.0568176508,3.6949949265,2000,40,,41,True,916,166,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_FLAT,SHANDONG_DA,iTransformer,SHANDONG_DA__iTransformer,17,73.6677932739,75.2878952026,75.0702819824,1.8682342353,0.2192708105,16.4607219696,92.7360458374,100.3296585083,0.2767393887,2.1150867939,0.9105524421,1.1166529655,3.6365857124,2000,40,,41,True,916,166,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_FLAT,SHANDONG_DA,iTransformer,SHANDONG_DA__iTransformer,37,72.7909240723,72.5896759033,75.0702819824,3.0362985858,0.2150450945,16.1434955597,92.997833252,100.3296585083,0.2778027654,2.1250464916,0.9101521969,1.2653250694,3.7045836449,2000,40,,41,True,916,166,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_FLAT,SHAANXI_DA,TimeMixer,SHAANXI_DA__TimeMixer,7,103.5231704712,104.9057235718,103.5921554565,0.0665928661,0.0202111639,2.0937180519,73.138961792,73.7011642456,0.0288620628,2.5331296921,0.7727740407,0.9598961473,3.7188551426,200,4,800,17,False,219,41,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_FLAT,SHAANXI_DA,TimeMixer,SHAANXI_DA__TimeMixer,17,103.527671814,104.8438873291,103.5921554565,0.0622476116,0.0215600692,2.233453989,73.1023254395,73.7011642456,0.0300757512,2.5318603516,0.772454381,0.9614298344,3.7391602993,200,4,800,17,False,219,41,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_FLAT,SHAANXI_DA,TimeMixer,SHAANXI_DA__TimeMixer,37,103.5242233276,103.6281585693,103.5921554565,0.0655765184,0.0318780988,3.3023209572,72.7094421387,73.7011642456,0.044540558,2.5182535648,0.7696487308,0.8993991613,3.6535832882,250,5,800,17,False,219,41,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_FLAT,SHAANXI_DA,iTransformer,SHAANXI_DA__iTransformer,7,110.8277511597,111.1236114502,112.5065231323,1.4921552332,0.2597347498,29.2218532562,63.7978858948,72.6988067627,0.358094871,2.1503779888,0.7620575428,1.6680275202,3.2433483601,1100,22,1500,31,True,219,41,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_FLAT,SHAANXI_DA,iTransformer,SHAANXI_DA__iTransformer,17,111.3323516846,112.1603622437,112.5065231323,1.0436474393,0.2773400247,31.2025604248,62.5063285828,72.6988067627,0.3822665811,2.106844902,0.7607641816,1.4789760113,3.2115805149,1100,22,1500,31,True,219,41,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_FLAT,SHAANXI_DA,iTransformer,SHAANXI_DA__iTransformer,37,112.1828918457,112.7980422974,112.5065231323,0.2876555755,0.0855342373,9.6231594086,70.2216873169,72.6988067627,0.1072909161,2.3668994904,0.7633000612,0.6810603738,3.2388451099,450,9,850,18,True,219,41,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_FLAT,SHAANXI_DA,LSTM,SHAANXI_DA__LSTM,7,108.8008880615,109.564163208,109.4563598633,0.5988430481,0.1447457671,15.8433446884,69.5202865601,77.535118103,0.2309742868,2.5546393394,0.7362152934,0.771728754,3.102052927,550,11,950,20,True,219,41,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_FLAT,SHAANXI_DA,LSTM,SHAANXI_DA__LSTM,17,109.3561477661,114.3239135742,109.4563598633,0.091554385,0.0212626867,2.3273363113,76.8123016357,77.535118103,0.029637333,2.82259655,0.7554532886,1.2344833612,3.6147737503,200,4,800,17,False,219,41,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_FLAT,SHAANXI_DA,LSTM,SHAANXI_DA__LSTM,37,109.3416976929,112.4024658203,109.4563598633,0.1047560604,0.0221102778,2.4201104641,76.8058700562,77.535118103,0.0311168078,2.8223602772,0.7551540136,1.2340925932,3.6173479557,200,4,800,17,False,219,41,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_FLAT,QINGHAI_DA,PatchTST,QINGHAI_DA__PatchTST,7,135.9527130127,136.6722564697,143.2564239502,5.0983479387,0.1755564511,25.1495895386,46.9332427979,59.920375824,0.4760398567,2.2861471176,0.7295012474,1.5341109037,2.4059679508,850,17,1250,26,True,67,14,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
