group,variant,cell,seed,weights,n_val_rows,mean_abs_r_true,mean_abs_b_true,mean_abs_B_true,mean_abs_correction,correction_ratio_from_npz,mean_abs_b_hat,mean_abs_B_hat,bias_b_hat,corr_b_hat_true,corr_B_hat_true,level_share_of_l1,shape_entropy_plus,shape_entropy_minus,shape_w1_plus,shape_w1_minus,overlap_gap_median,overlap_gap_max
critical,GEOM_FLAT,GANSU_DA__TimeMixer,7,selected_ema,42,76.6070327759,60.742401123,190.3756866455,9.3715362549,0.1223325804,4.265147686,215.5901184082,16.496805191,0.0753575473,0.0523222796,0.0556756668,3.0906413182,3.0783628485,5.0718450546,4.0593986511,360.1098175049,510.2972106934
critical,GEOM_FLAT,GANSU_DA__TimeMixer,17,selected_ema,42,76.6070327759,60.742401123,190.3756866455,9.9683456421,0.1301231086,4.6214828491,216.7472381592,16.8531398773,0.0167877199,0.0294503423,0.060327135,3.0692074531,3.0568755593,5.0531601906,4.0970816612,326.8138580322,492.4841308594
critical,GEOM_FLAT,GANSU_DA__TimeMixer,37,selected_ema,42,76.6070327759,60.742401123,190.3756866455,1.0571e-06,1.38e-08,0.0,3.0170161724,12.2316570282,,,0.0,3.1780538197,3.1780538222,5.1029777527,4.1935257912,6.0340094566,6.0340209007
critical,GEOM_FLAT,GANSU_DA__iTransformer,7,selected_ema,42,79.1737136841,65.0399703979,169.60496521,13.9858341217,0.1766474396,7.9841656685,150.6218414307,21.7209300995,0.2535880579,0.0853040504,0.1008436382,2.9236237513,2.7734457899,5.4856948853,5.6304368973,126.18359375,634.2886352539
critical,GEOM_FLAT,GANSU_DA__iTransformer,17,selected_ema,42,79.1737136841,65.0399703979,169.60496521,1.2383e-06,1.56e-08,0.0,2.5147707462,16.1037864685,,,0.0,3.1780538289,3.1780538303,5.7196230888,4.3293476105,5.0295131207,5.02952528
critical,GEOM_FLAT,GANSU_DA__iTransformer,37,selected_ema,42,79.1737136841,65.0399703979,169.60496521,8.608e-07,1.09e-08,0.0,2.5147707462,16.1037864685,,,0.0,3.1780538097,3.1780538367,5.7196426392,4.3293509483,5.0295212269,5.0295333862
critical,GEOM_FLAT,SHANDONG_DA__TimeMixer,7,selected_ema,166,78.9922332764,39.6457901001,472.1573181152,21.9027919769,0.2772777975,2.685781002,648.5083007812,19.2828369141,0.0747396654,0.1718001307,0.0340005718,2.9286151583,3.0802414784,4.9315552711,3.8576159477,702.1164855957,1701.2766113281
critical,GEOM_FLAT,SHANDONG_DA__TimeMixer,17,selected_ema,166,78.9922332764,39.6457901001,472.1573181152,20.0306243896,0.253577143,3.6089735031,554.5952758789,24.0885314941,0.1837749942,0.0311355772,0.045687709,2.9535655674,3.0854765215,4.8833212852,3.8075621128,686.7543945312,1181.615234375
critical,GEOM_FLAT,SHANDONG_DA__TimeMixer,37,selected_ema,166,78.9922332764,39.6457901001,472.1573181152,22.2016239166,0.2810608447,2.6176123619,777.7857666016,20.806268692,0.1327694669,0.1859562028,0.0331375897,2.9739467042,3.1185079636,4.943236351,3.7277619839,1074.6494750977,1877.6481933594
critical,GEOM_FLAT,SHANDONG_DA__iTransformer,7,selected_ema,166,75.0702896118,32.6177330017,509.4305725098,14.6822652817,0.1955802441,6.6687431335,622.903503418,8.4886722565,-0.0724239081,0.232019643,0.0888333321,3.1400006654,3.1129562946,4.7714962959,3.8854060173,1048.1096191406,2003.1728515625
critical,GEOM_FLAT,SHANDONG_DA__iTransformer,17,selected_ema,166,75.0702896118,32.6177330017,509.4305725098,16.4607219696,0.2192707956,8.8263320923,769.2326049805,10.6790618896,-0.0903319191,0.2515277005,0.1175742596,3.140665889,3.1206242183,4.7858557701,3.9766385555,1452.0565795898,1934.6823730469
critical,GEOM_FLAT,SHANDONG_DA__iTransformer,37,selected_ema,166,75.0702896118,32.6177330017,509.4305725098,16.1434955597,0.2150450647,7.4416975975,737.7576293945,9.2404613495,-0.0807639863,0.2671499027,0.099129729,3.1413802482,3.1277942014,4.8014903069,3.9553732872,1334.2794189453,2038.7019042969
critical,GEOM_FLAT,SHAANXI_DA__TimeMixer,7,selected_ema,41,103.5921630859,49.7010498047,646.6934204102,2.0937182903,0.0202111658,2.0937180519,36.3225708008,-17.6529502869,0.0254300845,-0.1346403995,0.020211162,3.1762713766,3.1749656495,5.0355472565,4.3049678802,72.7902526855,77.6683654785
critical,GEOM_FLAT,SHAANXI_DA__TimeMixer,17,selected_ema,41,103.5921630859,49.7010498047,646.6934204102,2.233453989,0.0215600673,2.233453989,38.2136039734,-17.7926864624,-0.0471179976,-0.1341908667,0.0215600654,3.174343961,3.1721556373,5.0502767563,4.2969679832,76.5517425537,79.6635513306
critical,GEOM_FLAT,SHAANXI_DA__TimeMixer,37,selected_ema,41,103.5921630859,49.7010498047,646.6934204102,3.3023209572,0.0318780951,3.3023211956,68.5131454468,-18.8615531921,-0.209741124,-0.1279966537,0.0318780951,3.1735023714,3.1653370649,5.0455179214,4.314640522,137.2690124512,141.7856903076
critical,GEOM_FLAT,SHAANXI_DA__iTransformer,7,selected_ema,41,112.5065155029,52.8861274719,715.4447631836,29.2218551636,0.2597347796,12.9838752747,965.2340087891,-37.4978866577,0.0981254651,0.1354442159,0.1154055148,3.0545431724,3.1113287925,4.535929203,4.7332940102,1615.6577148438,2001.5209960938
critical,GEOM_FLAT,SHAANXI_DA__iTransformer,17,selected_ema,41,112.5065155029,52.8861274719,715.4447631836,31.2025604248,0.2773400247,13.1759986877,931.8778686523,-37.6900100708,-0.0170813779,-0.0296653369,0.1171132028,2.9265447798,3.0897819622,4.9705810547,4.6452302933,1370.1577148438,2318.1101074219
