group,variant,cell,seed,check,step,is_initial,is_optimization_step,used_full_loss_at_this_step,loss_schedule,objective_switch_here,epoch_equivalent,lr,step_loss_optimized,val_mae_ema,val_mae_raw,val_host_mae,val_gain_vs_host_pct,val_correction_ratio,train_mae_ema,diag_reconstruction_mae,diag_level,diag_B,diag_shape,grad_norm_encoder,grad_norm_day_core,grad_norm_shape_head,grad_norm_direct_head,selected,best_val_mae_ema_so_far,best_step_so_far
critical,GEOM_FLAT,GANSU_DA__TimeMixer,7,0,0,True,False,,L_rec_only,False,0.0,0.001,,76.6070480347,76.6070480347,76.6070480347,0.0,1.49e-08,84.2944564819,2.6130759716,0.7999328375,1.1181468964,3.3543422222,,,,,True,76.6070480347,0
critical,GEOM_FLAT,GANSU_DA__TimeMixer,7,1,50,False,True,True,L_rec_plus_aux,False,7.1428571429,0.001,4.1387081146,76.6164321899,76.6449356079,76.6070480347,-0.0122497283,0.001003681,84.2891693115,2.6129124165,0.7998284698,1.1164854765,3.3502659798,0.2558679511,0.1471487816,0.2346943187,,False,76.6070480347,0
critical,GEOM_FLAT,GANSU_DA__TimeMixer,7,2,100,False,True,True,L_rec_plus_aux,False,14.2857142857,0.001,4.0354509354,76.6487960815,76.0518798828,76.6070480347,-0.0544963524,0.0046147285,84.2682800293,2.6122646332,0.7994729877,1.1071491241,3.3257820606,0.6083764428,0.3211668798,0.4889642845,,False,76.6070480347,0
critical,GEOM_FLAT,GANSU_DA__TimeMixer,7,3,150,False,True,True,L_rec_plus_aux,False,21.4285714286,0.001,4.212436676,76.7022476196,76.3690643311,76.6070480347,-0.1242700083,0.0108076902,84.2147140503,2.6106040478,0.7988848686,1.0794099569,3.2730362415,1.039961962,0.6841982048,0.6967904132,,False,76.6070480347,0
critical,GEOM_FLAT,GANSU_DA__TimeMixer,7,4,200,False,True,True,L_rec_plus_aux,False,28.5714285714,0.001,4.1176900864,76.7491455078,76.4506835938,76.6070480347,-0.1854887726,0.0177760664,84.0915985107,2.6067881584,0.7982849479,1.0303885937,3.2028930187,1.1148826819,0.8904927656,0.5385526162,,False,76.6070480347,0
critical,GEOM_FLAT,GANSU_DA__TimeMixer,7,5,250,False,True,True,L_rec_plus_aux,False,35.7142857143,0.001,4.0007176399,76.7638015747,76.4238967896,76.6070480347,-0.2046202589,0.0254181642,83.8452377319,2.5991508961,0.7977395058,0.9632973671,3.1242928505,1.0364807479,0.7356337574,0.4353180783,,False,76.6070480347,0
critical,GEOM_FLAT,GANSU_DA__TimeMixer,7,6,300,False,True,True,L_rec_plus_aux,False,42.8571428571,0.001,3.6527328491,76.7333068848,76.5801086426,76.6070480347,-0.1648136214,0.0360537656,83.4434204102,2.586694479,0.7971202135,0.8941150904,3.0481674671,1.4028704083,0.7465510221,0.4328934302,,False,76.6070480347,0
critical,GEOM_FLAT,GANSU_DA__TimeMixer,7,7,350,False,True,True,L_rec_plus_aux,False,50.0,0.001,4.1601352692,76.6729354858,76.6424026489,76.6070480347,-0.0860070357,0.0510590412,82.8722000122,2.5689868927,0.7964837551,0.822562933,2.9784777164,1.6900455041,1.056733289,0.6270498119,,False,76.6070480347,0
critical,GEOM_FLAT,GANSU_DA__TimeMixer,7,8,400,False,True,True,L_rec_plus_aux,True,57.1428571429,0.001,3.9477617741,76.6081237793,76.8342285156,76.6070480347,-0.0014042372,0.0684627891,82.2089996338,2.548428297,0.7958766818,0.7586612105,2.9149622917,1.8519809892,1.2579538104,0.6613798175,,False,76.6070480347,0
critical,GEOM_FLAT,GANSU_DA__TimeMixer,7,9,450,False,True,False,L_rec_only,False,64.2857142857,0.001,2.3025596142,76.518081665,77.6746063232,76.6070480347,0.1161334001,0.0928443298,81.3559494019,2.5219841003,0.7951580882,0.7100167871,2.8675897121,0.6609471006,0.7991002012,0.2557254096,,True,76.518081665,450
