market,track,host,seed,method,record_type,block,alpha,calibration_max_index,proposal_min_index,self_excluded,beta_train_max_index
LAGO_DE,A_DA,PatchTST,7,S1_DailyPatch_GRU32,alpha,B2,2.338261891910762,179.0,180,True,
LAGO_DE,A_DA,PatchTST,7,S1_DailyPatch_GRU32,alpha,B3,2.2455226266103434,228.0,229,True,
LAGO_DE,A_DA,PatchTST,7,S1_DailyPatch_GRU32,alpha,B4,2.4518387975917175,277.0,278,True,
LAGO_DE,A_DA,PatchTST,7,HSA_HorizonAlignedStateResidual,alpha,B3,2.7329981213171073,228.0,229,True,
LAGO_DE,A_DA,PatchTST,7,HSA_HorizonAlignedStateResidual,alpha,B4,3.1563644851936843,277.0,278,True,
LAGO_DE,A_DA,PatchTST,7,HSA_HorizonAlignedStateResidual,beta,B2,,,180,True,179.0
LAGO_DE,A_DA,PatchTST,7,HSA_HorizonAlignedStateResidual,beta,B3,,,229,True,228.0
LAGO_DE,A_DA,PatchTST,7,HSA_HorizonAlignedStateResidual,beta,B4,,,278,True,277.0
LAGO_DE,A_DA,PatchTST,17,S1_DailyPatch_GRU32,alpha,B2,2.1565398097043005,179.0,180,True,
LAGO_DE,A_DA,PatchTST,17,S1_DailyPatch_GRU32,alpha,B3,1.9993222549378133,228.0,229,True,
LAGO_DE,A_DA,PatchTST,17,S1_DailyPatch_GRU32,alpha,B4,2.362616504096849,277.0,278,True,
LAGO_DE,A_DA,PatchTST,17,HSA_HorizonAlignedStateResidual,alpha,B3,2.7431274307845843,228.0,229,True,
LAGO_DE,A_DA,PatchTST,17,HSA_HorizonAlignedStateResidual,alpha,B4,2.954347691379727,277.0,278,True,
LAGO_DE,A_DA,PatchTST,17,HSA_HorizonAlignedStateResidual,beta,B2,,,180,True,179.0
LAGO_DE,A_DA,PatchTST,17,HSA_HorizonAlignedStateResidual,beta,B3,,,229,True,228.0
LAGO_DE,A_DA,PatchTST,17,HSA_HorizonAlignedStateResidual,beta,B4,,,278,True,277.0
LAGO_DE,A_DA,PatchTST,37,S1_DailyPatch_GRU32,alpha,B2,2.153182477354505,179.0,180,True,
LAGO_DE,A_DA,PatchTST,37,S1_DailyPatch_GRU32,alpha,B3,1.8738630108286152,228.0,229,True,
LAGO_DE,A_DA,PatchTST,37,S1_DailyPatch_GRU32,alpha,B4,2.241296619652331,277.0,278,True,
LAGO_DE,A_DA,PatchTST,37,HSA_HorizonAlignedStateResidual,alpha,B3,2.6048525947794587,228.0,229,True,
LAGO_DE,A_DA,PatchTST,37,HSA_HorizonAlignedStateResidual,alpha,B4,2.967740559347971,277.0,278,True,
LAGO_DE,A_DA,PatchTST,37,HSA_HorizonAlignedStateResidual,beta,B2,,,180,True,179.0
LAGO_DE,A_DA,PatchTST,37,HSA_HorizonAlignedStateResidual,beta,B3,,,229,True,228.0
LAGO_DE,A_DA,PatchTST,37,HSA_HorizonAlignedStateResidual,beta,B4,,,278,True,277.0
LAGO_DE,A_DA,TimeMixer,7,S1_DailyPatch_GRU32,alpha,B2,2.0654830324100057,179.0,180,True,
LAGO_DE,A_DA,TimeMixer,7,S1_DailyPatch_GRU32,alpha,B3,2.050837513486532,228.0,229,True,
LAGO_DE,A_DA,TimeMixer,7,S1_DailyPatch_GRU32,alpha,B4,2.37448964184794,277.0,278,True,
LAGO_DE,A_DA,TimeMixer,7,HSA_HorizonAlignedStateResidual,alpha,B3,2.7465174045799112,228.0,229,True,
LAGO_DE,A_DA,TimeMixer,7,HSA_HorizonAlignedStateResidual,alpha,B4,3.0244589304675142,277.0,278,True,
LAGO_DE,A_DA,TimeMixer,7,HSA_HorizonAlignedStateResidual,beta,B2,,,180,True,179.0
LAGO_DE,A_DA,TimeMixer,7,HSA_HorizonAlignedStateResidual,beta,B3,,,229,True,228.0
LAGO_DE,A_DA,TimeMixer,7,HSA_HorizonAlignedStateResidual,beta,B4,,,278,True,277.0
