market,track,host,seed,Overall_diff,Tail_diff,Normal_diff,gain_diff,cosine_diff,wrong_diff,alpha_diff
LAGO_DE,A_DA,PatchTST,7,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,4.440892098500626e-16
LAGO_DE,A_DA,PatchTST,17,0.0,0.0,0.0,0.0,5.551115123125783e-17,8.326672684688674e-17,0.0
LAGO_DE,A_DA,PatchTST,37,0.0,0.0,0.0,1.7763568394002505e-15,5.551115123125783e-17,5.551115123125783e-17,0.0
LAGO_DE,A_DA,TimeMixer,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAGO_DE,A_DA,TimeMixer,17,0.0,0.0,0.0,0.0,0.0,8.326672684688674e-17,4.440892098500626e-16
LAGO_DE,A_DA,TimeMixer,37,0.0,0.0,4.440892098500626e-16,0.0,0.0,8.326672684688674e-17,4.440892098500626e-16
LAGO_PJM,A_DA,PatchTST,7,0.0,0.0,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0
LAGO_PJM,A_DA,PatchTST,17,0.0,1.7763568394002505e-15,0.0,5.551115123125783e-17,2.7755575615628914e-17,0.0,2.220446049250313e-16
LAGO_PJM,A_DA,PatchTST,37,0.0,0.0,4.440892098500626e-16,0.0,0.0,5.551115123125783e-17,2.220446049250313e-16
LAGO_PJM,A_DA,TimeMixer,7,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0
LAGO_PJM,A_DA,TimeMixer,17,0.0,0.0,0.0,0.0,0.0,6.938893903907228e-17,0.0
LAGO_PJM,A_DA,TimeMixer,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GANSU_DA,A_DA,PatchTST,7,0.0,0.0,0.0,0.0,8.326672684688674e-17,5.551115123125783e-17,0.0
GANSU_DA,A_DA,PatchTST,17,0.0,0.0,0.0,0.0,2.7755575615628914e-17,8.326672684688674e-17,0.0
GANSU_DA,A_DA,PatchTST,37,0.0,0.0,0.0,4.440892098500626e-16,2.7755575615628914e-17,0.0,0.0
GANSU_DA,A_DA,TimeMixer,7,0.0,0.0,0.0,0.0,0.0,8.326672684688674e-17,0.0
GANSU_DA,A_DA,TimeMixer,17,0.0,1.4210854715202004e-14,0.0,0.0,0.0,1.3877787807814457e-17,0.0
GANSU_DA,A_DA,TimeMixer,37,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0
