market,host,method,tertile,seed,frozen_threshold_low,frozen_threshold_high,n_days,shape_cosine,wrong_hemisphere_rate,relative_gain_pct,Tail_MAE,Normal_MAE,HSA_minus_S1_shape_cosine,HSA_minus_S1_wrong_hemisphere_rate,HSA_minus_S1_relative_gain_pct,HSA_minus_S1_Tail_MAE,HSA_minus_S1_Normal_MAE
GANSU_DA,PatchTST,HSA_HorizonAlignedStateResidual,HIGH,17.0,14.738275837523265,19.15910205588972,8.0,0.306700736284256,0.125,4.4747538543027146,98.87626501677653,64.28925782500497,0.034704238176345825,-0.125,-0.8850853213705889,5.790634895620727,-1.6786335447901308
GANSU_DA,PatchTST,HSA_HorizonAlignedStateResidual,LOW,17.0,14.738275837523265,19.15910205588972,6.0,0.2879609167575836,0.3333333333333333,4.691666633015399,68.03790245313112,75.31797778312603,-0.04621514678001404,0.3333333333333333,-0.9652192918750107,3.0415849818280805,0.5175113395212492
GANSU_DA,PatchTST,HSA_HorizonAlignedStateResidual,MID,17.0,14.738275837523265,19.15910205588972,7.0,0.2346469610929489,0.2857142857142857,1.848101094849385,71.5409346337217,63.77863129310336,0.11884915083646774,-0.14285714285714285,3.904591680987164,1.5922250983110189,-1.9092029303114657
GANSU_DA,PatchTST,S1_DailyPatch_GRU32,HIGH,17.0,14.738275837523265,19.15910205588972,8.0,0.27199649810791016,0.25,5.3598391756733035,93.0856301211558,65.9678913697951,,,,,
GANSU_DA,PatchTST,S1_DailyPatch_GRU32,LOW,17.0,14.738275837523265,19.15910205588972,6.0,0.33417606353759766,0.0,5.6568859248904095,64.99631747130304,74.80046644360478,,,,,
GANSU_DA,PatchTST,S1_DailyPatch_GRU32,MID,17.0,14.738275837523265,19.15910205588972,7.0,0.11579781025648117,0.42857142857142855,-2.056490586137779,69.94870953541069,65.68783422341482,,,,,
GANSU_DA,TimeMixer,HSA_HorizonAlignedStateResidual,HIGH,17.0,15.197971762922895,18.80906967368669,11.0,0.4183486998081207,0.09090909090909091,9.161996020834936,121.87697447523222,62.38865686471392,0.11894172430038452,-0.1818181818181818,4.206199094709276,-13.608741157415537,-1.7922802846487969
GANSU_DA,TimeMixer,HSA_HorizonAlignedStateResidual,LOW,17.0,15.197971762922895,18.80906967368669,6.0,0.5360064506530762,0.16666666666666666,17.60100044715038,108.56119805636354,66.67075392443849,0.03232783079147339,0.16666666666666666,5.110470315764632,-11.82465368141115,-1.8474028499319388
GANSU_DA,TimeMixer,HSA_HorizonAlignedStateResidual,MID,17.0,15.197971762922895,18.80906967368669,4.0,0.32468321919441223,0.25,4.401048299038968,113.14752667213915,60.00049932401697,0.03915441036224365,0.25,2.6618934993467604,-17.303984417242816,-2.009906512267449
GANSU_DA,TimeMixer,S1_DailyPatch_GRU32,HIGH,17.0,15.197971762922895,18.80906967368669,11.0,0.2994069755077362,0.2727272727272727,4.95579692612566,135.48571563264775,64.18093714936272,,,,,
GANSU_DA,TimeMixer,S1_DailyPatch_GRU32,LOW,17.0,15.197971762922895,18.80906967368669,6.0,0.5036786198616028,0.0,12.490530131385748,120.38585173777469,68.51815677437042,,,,,
GANSU_DA,TimeMixer,S1_DailyPatch_GRU32,MID,17.0,15.197971762922895,18.80906967368669,4.0,0.2855288088321686,0.0,1.7391547996922079,130.45151108938197,62.01040583628442,,,,,
LAGO_DE,PatchTST,HSA_HorizonAlignedStateResidual,HIGH,17.0,4.542198132076192,11.542981655057504,35.0,0.5517076849937439,0.10526315789473684,16.29748188077291,4.659380445772467,4.174817465582975,0.017760157585144043,0.048120300751879695,0.9484971478819553,-0.37878513289367177,-0.042145942501415234
LAGO_DE,PatchTST,HSA_HorizonAlignedStateResidual,LOW,17.0,4.542198132076192,11.542981655057504,36.0,0.33712857961654663,0.19444444444444445,3.9376762998905175,7.786012753114885,3.799659080354466,-0.07763835787773132,0.0628654970760234,-6.0847218276641595,-0.2796614391303569,0.35034346587182386
LAGO_DE,PatchTST,HSA_HorizonAlignedStateResidual,MID,17.0,4.542198132076192,11.542981655057504,36.0,0.4752595126628876,0.10526315789473684,9.815826377058718,7.1444540438785165,4.074682528167844,0.06387028098106384,-0.03362573099415206,1.2314229513038857,-1.2193509941156453,0.10775459774790752
LAGO_DE,PatchTST,S1_DailyPatch_GRU32,HIGH,17.0,4.542198132076192,11.542981655057504,35.0,0.5339475274085999,0.05714285714285714,15.348984732890955,5.038165578666138,4.21696340808439,,,,,
LAGO_DE,PatchTST,S1_DailyPatch_GRU32,LOW,17.0,4.542198132076192,11.542981655057504,36.0,0.41476693749427795,0.13157894736842105,10.022398127554677,8.065674192245242,3.449315614482642,,,,,
LAGO_DE,PatchTST,S1_DailyPatch_GRU32,MID,17.0,4.542198132076192,11.542981655057504,36.0,0.41138923168182373,0.1388888888888889,8.584403425754832,8.363805037994162,3.9669279304199363,,,,,
LAGO_DE,TimeMixer,HSA_HorizonAlignedStateResidual,HIGH,17.0,4.428090955076361,11.487671365653464,36.0,0.4474945068359375,0.2222222222222222,9.030807947959124,4.780424161859048,4.389010362490692,-0.044893473386764526,0.16666666666666666,-1.521643176743348,0.23865549572863554,0.0597499861285371
LAGO_DE,TimeMixer,HSA_HorizonAlignedStateResidual,LOW,17.0,4.428090955076361,11.487671365653464,34.0,0.3816847801208496,0.17647058823529413,4.134168033821189,6.577928483169624,3.7777809490001646,-0.035232096910476685,-0.0397456279809221,-4.228795971325154,-1.226953255669918,0.27682000703602716
LAGO_DE,TimeMixer,HSA_HorizonAlignedStateResidual,MID,17.0,4.428090955076361,11.487671365653464,37.0,0.5183413624763489,0.16216216216216217,14.08539177836398,7.930305845628475,3.9723472893281917,0.11845174431800842,-0.004504504504504486,6.024617279317393,-1.6460219678620662,-0.08769137396635962
LAGO_DE,TimeMixer,S1_DailyPatch_GRU32,HIGH,17.0,4.428090955076361,11.487671365653464,36.0,0.492387980222702,0.05555555555555555,10.552451124702472,4.541768666130412,4.329260376362155,,,,,
LAGO_DE,TimeMixer,S1_DailyPatch_GRU32,LOW,17.0,4.428090955076361,11.487671365653464,34.0,0.4169168770313263,0.21621621621621623,8.362964005146344,7.804881738839542,3.5009609419641374,,,,,
LAGO_DE,TimeMixer,S1_DailyPatch_GRU32,MID,17.0,4.428090955076361,11.487671365653464,37.0,0.39988961815834045,0.16666666666666666,8.060774499046587,9.576327813490542,4.060038663294551,,,,,
LAGO_PJM,PatchTST,HSA_HorizonAlignedStateResidual,HIGH,17.0,2.80550292242672,6.965916461232714,36.0,0.07061976939439774,0.5,-2.319607361607481,9.378716842351762,2.942100648097961,0.01735471934080124,-0.03125,0.373794200516139,-0.2540328647435981,0.007067867592563282
LAGO_PJM,PatchTST,HSA_HorizonAlignedStateResidual,LOW,17.0,2.80550292242672,6.965916461232714,23.0,0.14152155816555023,0.37037037037037035,0.06615106803841687,9.115642609288349,2.439759579749337,0.005117833614349365,-0.037037037037037035,0.4459683234393686,-0.7633105936454072,-0.009173430392905413
LAGO_PJM,PatchTST,HSA_HorizonAlignedStateResidual,MID,17.0,2.80550292242672,6.965916461232714,50.0,0.16132426261901855,0.38,0.15167128854976128,12.230097020769303,2.8551761133321247,0.011970266699790955,0.007906976744186056,0.00024117520063382525,-0.2411339528378278,0.007568153609563311
LAGO_PJM,PatchTST,S1_DailyPatch_GRU32,HIGH,17.0,2.80550292242672,6.965916461232714,36.0,0.0532650500535965,0.53125,-2.69340156212362,9.63274970709536,2.9350327805053977,,,,,
LAGO_PJM,PatchTST,S1_DailyPatch_GRU32,LOW,17.0,2.80550292242672,6.965916461232714,23.0,0.13640372455120087,0.4074074074074074,-0.37981725540095174,9.878953202933756,2.4489330101422424,,,,,
LAGO_PJM,PatchTST,S1_DailyPatch_GRU32,MID,17.0,2.80550292242672,6.965916461232714,50.0,0.1493539959192276,0.37209302325581395,0.15143011334912745,12.471230973607131,2.8476079597225614,,,,,
LAGO_PJM,TimeMixer,HSA_HorizonAlignedStateResidual,HIGH,17.0,3.0256393446024927,7.683653406141004,28.0,0.45380643010139465,0.11538461538461539,6.095090128854498,8.536148009361165,2.9364403917176536,-0.009129613637924194,0.038461538461538464,-0.8384047772002425,-0.1019366944406439,0.035650243912304536
LAGO_PJM,TimeMixer,HSA_HorizonAlignedStateResidual,LOW,17.0,3.0256393446024927,7.683653406141004,30.0,0.5401537418365479,0.1111111111111111,8.282682288114039,8.735430014175625,2.660638139042653,0.006694436073303223,0.0111111111111111,-0.4598497114946287,-0.08804913392181746,0.003282838886061956
LAGO_PJM,TimeMixer,HSA_HorizonAlignedStateResidual,MID,17.0,3.0256393446024927,7.683653406141004,53.0,0.32379966974258423,0.2549019607843137,0.9450921374259833,7.0540427201892015,2.941215213117628,0.009614735841751099,0.0,0.5900214991771215,-0.37382483284559687,-0.009370496389549565
LAGO_PJM,TimeMixer,S1_DailyPatch_GRU32,HIGH,17.0,3.0256393446024927,7.683653406141004,28.0,0.46293604373931885,0.07692307692307693,6.93349490605474,8.638084703801809,2.900790147805349,,,,,
LAGO_PJM,TimeMixer,S1_DailyPatch_GRU32,LOW,17.0,3.0256393446024927,7.683653406141004,30.0,0.5334593057632446,0.1,8.742531999608667,8.823479148097443,2.657355300156591,,,,,
LAGO_PJM,TimeMixer,S1_DailyPatch_GRU32,MID,17.0,3.0256393446024927,7.683653406141004,53.0,0.31418493390083313,0.2549019607843137,0.3550706382488618,7.427867553034798,2.9505857095071777,,,,,
