market,track,host,seed,method,record_type,block,alpha,calibration_max_index,proposal_min_index,self_excluded,beta_sha256,beta_train_scope,state_std_hash
GANSU_DA,A_DA,PatchTST,7,S1_DailyPatch_GRU32,alpha,B2,0.9748706344841856,33.0,34,True,,,
GANSU_DA,A_DA,PatchTST,7,S1_DailyPatch_GRU32,alpha,B3,1.5662769832753038,43.0,44,True,,,
GANSU_DA,A_DA,PatchTST,7,S1_DailyPatch_GRU32,alpha,B4,1.1410437318462183,52.0,53,True,,,
GANSU_DA,A_DA,PatchTST,7,HRSI_HostRelativeStateInteraction,alpha,B3,2.2477483938398044,43.0,44,True,,,
GANSU_DA,A_DA,PatchTST,7,HRSI_HostRelativeStateInteraction,alpha,B4,2.04590190135022,52.0,53,True,,,
GANSU_DA,A_DA,PatchTST,7,HRSI_HostRelativeStateInteraction,beta,B2,,,34,True,43ab8dc0f477625ba60a2f05fc3fd3abe8d8fa67088407fbbfa5c23beabcf834,six-cell pooled B1..B(k-1),966a156506bce6152700fea7f5cf7ff1f9a5a5b19358741af7f47655a59649e7
GANSU_DA,A_DA,PatchTST,7,HRSI_HostRelativeStateInteraction,beta,B3,,,44,True,30060abd1eddf9632d92553e47ac8cf1b5e6fce9ca4f06e7f5ba0e9ec6bd5ef4,six-cell pooled B1..B(k-1),21d3a4d76397c1a76cb0a370ba138df548955bf6ae243c51d873d8da92ef6f98
GANSU_DA,A_DA,PatchTST,7,HRSI_HostRelativeStateInteraction,beta,B4,,,53,True,7bcb9bdf14ca710789cd4c02608e6ad1810c73bf6f5efdd26a03e16be5c075fe,six-cell pooled B1..B(k-1),eff3f2969eb4110f1fefcc3dfb754df6d514844069dc269ff15a4380d8c19964
GANSU_DA,A_DA,TimeMixer,7,S1_DailyPatch_GRU32,alpha,B2,1.9632897515717185,33.0,34,True,,,
GANSU_DA,A_DA,TimeMixer,7,S1_DailyPatch_GRU32,alpha,B3,1.6150983508212693,43.0,44,True,,,
GANSU_DA,A_DA,TimeMixer,7,S1_DailyPatch_GRU32,alpha,B4,1.2468494169965691,52.0,53,True,,,
GANSU_DA,A_DA,TimeMixer,7,HRSI_HostRelativeStateInteraction,alpha,B3,2.2422568910226963,43.0,44,True,,,
GANSU_DA,A_DA,TimeMixer,7,HRSI_HostRelativeStateInteraction,alpha,B4,2.1697344880021654,52.0,53,True,,,
GANSU_DA,A_DA,TimeMixer,7,HRSI_HostRelativeStateInteraction,beta,B2,,,34,True,43ab8dc0f477625ba60a2f05fc3fd3abe8d8fa67088407fbbfa5c23beabcf834,six-cell pooled B1..B(k-1),966a156506bce6152700fea7f5cf7ff1f9a5a5b19358741af7f47655a59649e7
GANSU_DA,A_DA,TimeMixer,7,HRSI_HostRelativeStateInteraction,beta,B3,,,44,True,30060abd1eddf9632d92553e47ac8cf1b5e6fce9ca4f06e7f5ba0e9ec6bd5ef4,six-cell pooled B1..B(k-1),21d3a4d76397c1a76cb0a370ba138df548955bf6ae243c51d873d8da92ef6f98
GANSU_DA,A_DA,TimeMixer,7,HRSI_HostRelativeStateInteraction,beta,B4,,,53,True,7bcb9bdf14ca710789cd4c02608e6ad1810c73bf6f5efdd26a03e16be5c075fe,six-cell pooled B1..B(k-1),eff3f2969eb4110f1fefcc3dfb754df6d514844069dc269ff15a4380d8c19964
LAGO_DE,A_DA,PatchTST,7,S1_DailyPatch_GRU32,alpha,B2,2.338261891910762,179.0,180,True,,,
LAGO_DE,A_DA,PatchTST,7,S1_DailyPatch_GRU32,alpha,B3,2.2455226266103434,228.0,229,True,,,
LAGO_DE,A_DA,PatchTST,7,S1_DailyPatch_GRU32,alpha,B4,2.4518387975917175,277.0,278,True,,,
LAGO_DE,A_DA,PatchTST,7,HRSI_HostRelativeStateInteraction,alpha,B3,2.2230214507055743,228.0,229,True,,,
LAGO_DE,A_DA,PatchTST,7,HRSI_HostRelativeStateInteraction,alpha,B4,2.436208221209563,277.0,278,True,,,
LAGO_DE,A_DA,PatchTST,7,HRSI_HostRelativeStateInteraction,beta,B2,,,180,True,43ab8dc0f477625ba60a2f05fc3fd3abe8d8fa67088407fbbfa5c23beabcf834,six-cell pooled B1..B(k-1),8b8579d52cb8e5dc2c535683a3c74ca2ba60e1e9119ebe0648191604765a8930
LAGO_DE,A_DA,PatchTST,7,HRSI_HostRelativeStateInteraction,beta,B3,,,229,True,30060abd1eddf9632d92553e47ac8cf1b5e6fce9ca4f06e7f5ba0e9ec6bd5ef4,six-cell pooled B1..B(k-1),2deb998002cc76b961df38be8d1fcf4ed1c7f59d3d83f03a6ebe06ef8ecaf988
LAGO_DE,A_DA,PatchTST,7,HRSI_HostRelativeStateInteraction,beta,B4,,,278,True,7bcb9bdf14ca710789cd4c02608e6ad1810c73bf6f5efdd26a03e16be5c075fe,six-cell pooled B1..B(k-1),e4451ac72e2d2142eb0f31c01bdcfb7231ae7119e76d162c6dbfbc2d8494d3b0
LAGO_DE,A_DA,TimeMixer,7,S1_DailyPatch_GRU32,alpha,B2,2.0654830324100057,179.0,180,True,,,
LAGO_DE,A_DA,TimeMixer,7,S1_DailyPatch_GRU32,alpha,B3,2.050837513486532,228.0,229,True,,,
LAGO_DE,A_DA,TimeMixer,7,S1_DailyPatch_GRU32,alpha,B4,2.37448964184794,277.0,278,True,,,
LAGO_DE,A_DA,TimeMixer,7,HRSI_HostRelativeStateInteraction,alpha,B3,2.0468621517909487,228.0,229,True,,,
LAGO_DE,A_DA,TimeMixer,7,HRSI_HostRelativeStateInteraction,alpha,B4,2.5102077135655607,277.0,278,True,,,
LAGO_DE,A_DA,TimeMixer,7,HRSI_HostRelativeStateInteraction,beta,B2,,,180,True,43ab8dc0f477625ba60a2f05fc3fd3abe8d8fa67088407fbbfa5c23beabcf834,six-cell pooled B1..B(k-1),8b8579d52cb8e5dc2c535683a3c74ca2ba60e1e9119ebe0648191604765a8930
LAGO_DE,A_DA,TimeMixer,7,HRSI_HostRelativeStateInteraction,beta,B3,,,229,True,30060abd1eddf9632d92553e47ac8cf1b5e6fce9ca4f06e7f5ba0e9ec6bd5ef4,six-cell pooled B1..B(k-1),2deb998002cc76b961df38be8d1fcf4ed1c7f59d3d83f03a6ebe06ef8ecaf988
LAGO_DE,A_DA,TimeMixer,7,HRSI_HostRelativeStateInteraction,beta,B4,,,278,True,7bcb9bdf14ca710789cd4c02608e6ad1810c73bf6f5efdd26a03e16be5c075fe,six-cell pooled B1..B(k-1),e4451ac72e2d2142eb0f31c01bdcfb7231ae7119e76d162c6dbfbc2d8494d3b0
LAGO_PJM,A_DA,PatchTST,7,S1_DailyPatch_GRU32,alpha,B2,0.6322720681874513,179.0,180,True,,,
LAGO_PJM,A_DA,PatchTST,7,S1_DailyPatch_GRU32,alpha,B3,0.761653172348671,228.0,229,True,,,
LAGO_PJM,A_DA,PatchTST,7,S1_DailyPatch_GRU32,alpha,B4,1.081092656017721,277.0,278,True,,,
