market,host,method,seed,setting,in_external_ranking,fidelity,Overall_MAE,MSE,RMSE,Host_Overall_MAE,relative_gain_vs_Host_pct,Tail_MAE,Upper_tail_MAE,Lower_tail_MAE,Normal_region_MAE,Host_Normal_region_MAE,Normal_harm_vs_Host,Tail_MAE_Host,Extreme_day_MAE,Extreme_day_MAE_Host,extreme_day_subset_status,Upper_tail_day_MAE,upper_tail_day_subset_status,Negative_price_MAE,Negative_price_MAE_Host,negative_price_subset_status,n_days,n_hours,n_upper_tail_hours,n_lower_tail_hours,n_normal_hours,n_extreme_days,n_upper_tail_days,n_negative_hours,n_negative_days,in_best_static,chronology_audit_passed,chronology_max_abs_diff_over_all_cuts,chronology_cuts_tested,chronology_liveness,n_days_adapted,thread_pin_before,thread_pin_after,eval_span_relabel
NORD_DK1,PatchTST,delta-Adapter,7,OFFLINE_STATIC_POSTHOC,True,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,20.798320301378347,789.9432343902309,28.105928812089292,21.127682219484214,1.5589117380898774,27.287939927463434,,27.287939927463434,19.641939973917285,20.17127811327559,-0.5293381393583054,26.49503300427943,,,NOT_APPLICABLE_N0,,NOT_APPLICABLE_N0,26.685268274251992,25.910450792311618,OK,289,6936,0,1049,5887,0,0,371,74,,,,,,,,,
NORD_DK1,PatchTST,MatchedDirectResidual,7,INTERNAL_CONTROL_ONLY,False,FROZEN_INTERNAL_CONTROL,25.81403333875003,1165.5487870320928,34.14013454912111,21.127682219484214,-22.18109431305249,31.561462956141494,,31.561462956141494,24.789903277828742,20.17127811327559,4.618625164553151,26.49503300427943,,,NOT_APPLICABLE_N0,,NOT_APPLICABLE_N0,30.281981774832758,25.910450792311618,OK,289,6936,0,1049,5887,0,0,371,74,,,,,,,,,
NORD_DK1,PatchTST,COSA,2021,ONLINE_TTA,False,TRANSFERRED_IMPLEMENTATION / PAPER_FIDELITY_UNRESOLVED,20.649337521471963,783.8284533067877,27.996936498602622,21.127682219484214,2.26406613391371,24.782300003364796,,24.782300003364796,19.912888117105464,20.17127811327559,-0.25838999617012703,26.49503300427943,,,NOT_APPLICABLE_N0,,NOT_APPLICABLE_N0,24.05646840168158,25.910450792311618,OK,289,6936,0,1049,5887,0,0,371,74,False,True,0.0,33.0,32/32,288.0,,,
NORD_DK1,TimeMixer,delta-Adapter,7,OFFLINE_STATIC_POSTHOC,True,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,20.095351913334962,730.8803500699835,27.034798872378975,20.087321650618453,-0.039976771697994906,32.636246662022266,,32.636246662022266,17.860699528185823,17.88092301538648,-0.020223487200656365,32.4696560315628,,,NOT_APPLICABLE_N0,,NOT_APPLICABLE_N0,30.998828433361744,31.037029683112976,OK,289,6936,0,1049,5887,0,0,371,74,,,,,,,,,
NORD_DK1,TimeMixer,MatchedDirectResidual,7,INTERNAL_CONTROL_ONLY,False,FROZEN_INTERNAL_CONTROL,25.18380631998275,1127.3330438300513,33.57578061385991,20.087321650618453,-25.371648634935788,33.07738612047248,,33.07738612047248,23.777255409380796,17.88092301538648,5.896332393994317,32.4696560315628,,,NOT_APPLICABLE_N0,,NOT_APPLICABLE_N0,33.468453419927656,31.037029683112976,OK,289,6936,0,1049,5887,0,0,371,74,,,,,,,,,
NORD_DK1,TimeMixer,COSA,2021,ONLINE_TTA,False,TRANSFERRED_IMPLEMENTATION / PAPER_FIDELITY_UNRESOLVED,19.731975557296263,698.7289749661048,26.43348208174823,20.087321650618453,1.769006836763872,29.42072682875831,,29.42072682875831,18.005544423652015,17.88092301538648,0.12462140826553636,32.4696560315628,,,NOT_APPLICABLE_N0,,NOT_APPLICABLE_N0,27.81867865810919,31.037029683112976,OK,289,6936,0,1049,5887,0,0,371,74,False,True,0.0,33.0,32/32,288.0,,,
NORD_DK1,iTransformer,delta-Adapter,7,OFFLINE_STATIC_POSTHOC,True,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,20.577936391982345,763.1456480914275,27.62509091553234,20.78248446382504,0.9842330073612725,27.517542103249397,,27.517542103249397,19.34137339026345,19.742774624157907,-0.4014012338944575,26.617347977762496,,,NOT_APPLICABLE_N0,,NOT_APPLICABLE_N0,25.29687138242027,24.26656322570322,OK,289,6936,0,1049,5887,0,0,371,74,,,,,,,,,
NORD_DK1,iTransformer,MatchedDirectResidual,7,INTERNAL_CONTROL_ONLY,False,FROZEN_INTERNAL_CONTROL,24.633423356227418,1082.8899618329367,32.907293444355716,20.78248446382504,-18.529733050470952,32.27890229253446,,32.27890229253446,23.271081347702516,19.742774624157907,3.5283067235446097,26.617347977762496,,,NOT_APPLICABLE_N0,,NOT_APPLICABLE_N0,30.197421669145157,24.26656322570322,OK,289,6936,0,1049,5887,0,0,371,74,,,,,,,,,
NORD_DK1,iTransformer,COSA,2021,ONLINE_TTA,False,TRANSFERRED_IMPLEMENTATION / PAPER_FIDELITY_UNRESOLVED,20.524777009939527,761.6257684008797,27.597568160997078,20.78248446382504,1.2400223579336234,26.387249941894122,,26.387249941894122,19.48014746932115,19.742774624157907,-0.2626271548367569,26.617347977762496,,,NOT_APPLICABLE_N0,,NOT_APPLICABLE_N0,24.249123894084857,24.26656322570322,OK,289,6936,0,1049,5887,0,0,371,74,False,True,0.0,33.0,32/32,288.0,,,
NORD_DK1,LSTM,delta-Adapter,7,OFFLINE_STATIC_POSTHOC,True,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,30.89215765980755,1607.4014314593092,40.09241114549372,30.84995237551871,-0.1368082639969629,63.0091331922374,,63.0091331922374,25.169258503442865,25.16239061253533,0.006867890907535923,62.76861405205177,,,NOT_APPLICABLE_N0,,NOT_APPLICABLE_N0,71.55362354999532,71.29413241800172,OK,289,6936,0,1049,5887,0,0,371,74,,,,,,,,,
NORD_DK1,LSTM,MatchedDirectResidual,7,INTERNAL_CONTROL_ONLY,False,FROZEN_INTERNAL_CONTROL,27.00746613012266,1274.1795867729838,35.695652211060434,30.84995237551871,12.455404140089682,34.16299903153564,,34.16299903153564,25.732427228545923,25.16239061253533,0.5700366160105936,62.76861405205177,,,NOT_APPLICABLE_N0,,NOT_APPLICABLE_N0,33.72967715664458,71.29413241800172,OK,289,6936,0,1049,5887,0,0,371,74,,,,,,,,,
