component,role,metric,cell,market,host,on_config,off_config,on_value,off_value,delta_on_minus_off,favours
shape_semantic_context,primary,shape_w1_positive,GANSU_DA::LSTM,GANSU_DA,LSTM,FULL,NO_SHAPE_CONTEXT,6.046368156078157,4.997452910332876,1.048915245745281,OFF
shape_semantic_context,primary,shape_w1_positive,GANSU_DA::PatchTST,GANSU_DA,PatchTST,FULL,NO_SHAPE_CONTEXT,4.073568953392087,3.8680731503514023,0.2054958030406846,OFF
shape_semantic_context,primary,shape_w1_positive,GANSU_DA::TimeMixer,GANSU_DA,TimeMixer,FULL,NO_SHAPE_CONTEXT,4.526486087134451,3.7594708290387033,0.7670152580957477,OFF
shape_semantic_context,primary,shape_w1_positive,GANSU_DA::iTransformer,GANSU_DA,iTransformer,FULL,NO_SHAPE_CONTEXT,4.194737661465923,3.210714337200803,0.9840233242651197,OFF
shape_semantic_context,primary,shape_w1_positive,NINGXIA_DA::LSTM,NINGXIA_DA,LSTM,FULL,NO_SHAPE_CONTEXT,8.72903469393867,5.643635210403076,3.0853994835355945,OFF
shape_semantic_context,primary,shape_w1_positive,NINGXIA_DA::PatchTST,NINGXIA_DA,PatchTST,FULL,NO_SHAPE_CONTEXT,5.759867175884132,5.302237366106687,0.45762980977744494,OFF
shape_semantic_context,primary,shape_w1_positive,NINGXIA_DA::TimeMixer,NINGXIA_DA,TimeMixer,FULL,NO_SHAPE_CONTEXT,7.492094760783999,6.168797401654184,1.323297359129815,OFF
shape_semantic_context,primary,shape_w1_positive,NINGXIA_DA::iTransformer,NINGXIA_DA,iTransformer,FULL,NO_SHAPE_CONTEXT,6.881270653033046,4.938505285076009,1.942765367957037,OFF
shape_semantic_context,primary,shape_w1_positive,QINGHAI_DA::LSTM,QINGHAI_DA,LSTM,FULL,NO_SHAPE_CONTEXT,5.564751668980686,5.512124561252141,0.0526271077285454,OFF
shape_semantic_context,primary,shape_w1_positive,QINGHAI_DA::PatchTST,QINGHAI_DA,PatchTST,FULL,NO_SHAPE_CONTEXT,5.095328381410538,5.073061142131793,0.02226723927874552,OFF
shape_semantic_context,primary,shape_w1_positive,QINGHAI_DA::TimeMixer,QINGHAI_DA,TimeMixer,FULL,NO_SHAPE_CONTEXT,4.604131899390889,4.641650949261281,-0.037519049870392784,ON
shape_semantic_context,primary,shape_w1_positive,QINGHAI_DA::iTransformer,QINGHAI_DA,iTransformer,FULL,NO_SHAPE_CONTEXT,4.886403572933145,4.910728751985912,-0.02432517905276743,ON
shape_semantic_context,primary,shape_w1_positive,SHAANXI_DA::LSTM,SHAANXI_DA,LSTM,FULL,NO_SHAPE_CONTEXT,5.637297347932575,4.514918674636402,1.1223786732961738,OFF
shape_semantic_context,primary,shape_w1_positive,SHAANXI_DA::PatchTST,SHAANXI_DA,PatchTST,FULL,NO_SHAPE_CONTEXT,5.097370851008835,4.881002136649682,0.2163687143591524,OFF
shape_semantic_context,primary,shape_w1_positive,SHAANXI_DA::TimeMixer,SHAANXI_DA,TimeMixer,FULL,NO_SHAPE_CONTEXT,5.068077762468032,4.827654562241499,0.24042320022653385,OFF
shape_semantic_context,primary,shape_w1_positive,SHAANXI_DA::iTransformer,SHAANXI_DA,iTransformer,FULL,NO_SHAPE_CONTEXT,4.497568952784,4.23001536985089,0.26755358293311016,OFF
shape_semantic_context,primary,shape_w1_positive,SHANDONG_DA::LSTM,SHANDONG_DA,LSTM,FULL,NO_SHAPE_CONTEXT,7.186173384290204,4.581774742916176,2.6043986413740283,OFF
shape_semantic_context,primary,shape_w1_positive,SHANDONG_DA::PatchTST,SHANDONG_DA,PatchTST,FULL,NO_SHAPE_CONTEXT,7.414868686090745,3.9251142057090087,3.4897544803817366,OFF
