coordinate_id,market,host,supplementary_method,supplementary_setting,supplementary_parity_role,supplementary_Overall_MAE,our_method_Overall_MAE,our_method_seeds,pooled_with_strict_rank,note
GANSU_DA::PatchTST,GANSU_DA,PatchTST,COSA,ONLINE_TTA,online_supplementary,71.87560456328922,69.07711777762107,7|17|37,False,COSA is an online test-time-adaptation result; it is shown beside ours and never inside the strict offline ranking.
GANSU_DA::TimeMixer,GANSU_DA,TimeMixer,COSA,ONLINE_TTA,online_supplementary,75.68474851525019,69.68620769441972,7|17|37,False,COSA is an online test-time-adaptation result; it is shown beside ours and never inside the strict offline ranking.
GANSU_DA::iTransformer,GANSU_DA,iTransformer,COSA,ONLINE_TTA,online_supplementary,77.03542344153874,72.09127056293745,7|17|37,False,COSA is an online test-time-adaptation result; it is shown beside ours and never inside the strict offline ranking.
GANSU_DA::LSTM,GANSU_DA,LSTM,COSA,ONLINE_TTA,online_supplementary,119.09088570731026,120.3141817954147,7|17|37,False,COSA is an online test-time-adaptation result; it is shown beside ours and never inside the strict offline ranking.
SHANDONG_DA::PatchTST,SHANDONG_DA,PatchTST,COSA,ONLINE_TTA,online_supplementary,103.8607901529886,87.89160157274165,7|17|37,False,COSA is an online test-time-adaptation result; it is shown beside ours and never inside the strict offline ranking.
SHANDONG_DA::TimeMixer,SHANDONG_DA,TimeMixer,COSA,ONLINE_TTA,online_supplementary,102.53547711767317,90.2498825334023,7|17|37,False,COSA is an online test-time-adaptation result; it is shown beside ours and never inside the strict offline ranking.
SHANDONG_DA::iTransformer,SHANDONG_DA,iTransformer,COSA,ONLINE_TTA,online_supplementary,110.61327571603583,94.98389603325208,7|17|37,False,COSA is an online test-time-adaptation result; it is shown beside ours and never inside the strict offline ranking.
SHANDONG_DA::LSTM,SHANDONG_DA,LSTM,COSA,ONLINE_TTA,online_supplementary,110.40383318757138,96.09318137073004,7|17|37,False,COSA is an online test-time-adaptation result; it is shown beside ours and never inside the strict offline ranking.
SHAANXI_DA::PatchTST,SHAANXI_DA,PatchTST,COSA,ONLINE_TTA,online_supplementary,101.40782681380709,90.06993919100172,7|17|37,False,COSA is an online test-time-adaptation result; it is shown beside ours and never inside the strict offline ranking.
SHAANXI_DA::TimeMixer,SHAANXI_DA,TimeMixer,COSA,ONLINE_TTA,online_supplementary,99.47235090956092,88.24064760350059,7|17|37,False,COSA is an online test-time-adaptation result; it is shown beside ours and never inside the strict offline ranking.
SHAANXI_DA::iTransformer,SHAANXI_DA,iTransformer,COSA,ONLINE_TTA,online_supplementary,109.18198473416268,99.7983386449243,7|17|37,False,COSA is an online test-time-adaptation result; it is shown beside ours and never inside the strict offline ranking.
SHAANXI_DA::LSTM,SHAANXI_DA,LSTM,COSA,ONLINE_TTA,online_supplementary,110.16372452576955,101.00303735760784,7|17|37,False,COSA is an online test-time-adaptation result; it is shown beside ours and never inside the strict offline ranking.
NINGXIA_DA::PatchTST,NINGXIA_DA,PatchTST,COSA,ONLINE_TTA,online_supplementary,82.46809701408658,79.59099336858881,7|17|37,False,COSA is an online test-time-adaptation result; it is shown beside ours and never inside the strict offline ranking.
NINGXIA_DA::TimeMixer,NINGXIA_DA,TimeMixer,COSA,ONLINE_TTA,online_supplementary,92.54977250950677,82.42240722632889,7|17|37,False,COSA is an online test-time-adaptation result; it is shown beside ours and never inside the strict offline ranking.
NINGXIA_DA::iTransformer,NINGXIA_DA,iTransformer,COSA,ONLINE_TTA,online_supplementary,86.56090409131278,73.48930804647625,7|17|37,False,COSA is an online test-time-adaptation result; it is shown beside ours and never inside the strict offline ranking.
NINGXIA_DA::LSTM,NINGXIA_DA,LSTM,COSA,ONLINE_TTA,online_supplementary,75.72834256717137,70.01658970198804,7|17|37,False,COSA is an online test-time-adaptation result; it is shown beside ours and never inside the strict offline ranking.
QINGHAI_DA::PatchTST,QINGHAI_DA,PatchTST,COSA,ONLINE_TTA,online_supplementary,110.84938605626424,119.98887941780893,7|17|37,False,COSA is an online test-time-adaptation result; it is shown beside ours and never inside the strict offline ranking.
QINGHAI_DA::TimeMixer,QINGHAI_DA,TimeMixer,COSA,ONLINE_TTA,online_supplementary,114.09600608547528,125.36849829099586,7|17|37,False,COSA is an online test-time-adaptation result; it is shown beside ours and never inside the strict offline ranking.
QINGHAI_DA::iTransformer,QINGHAI_DA,iTransformer,COSA,ONLINE_TTA,online_supplementary,116.98150245348613,148.20298714618787,7|17|37,False,COSA is an online test-time-adaptation result; it is shown beside ours and never inside the strict offline ranking.
QINGHAI_DA::LSTM,QINGHAI_DA,LSTM,COSA,ONLINE_TTA,online_supplementary,117.17160246107314,125.84085862746718,7|17|37,False,COSA is an online test-time-adaptation result; it is shown beside ours and never inside the strict offline ranking.
