group,check,ok,detail
coverage,no_failed_fits,True,"{""n_failed"": 0, ""failures"": []}"
coverage,twenty_cells,True,"{""n"": 20, ""missing"": []}"
coverage,five_configs,True,"{""configs"": [""FULL"", ""NO_RARE_MASS"", ""NO_SHAPE_CONTEXT"", ""NO_TCN"", ""TIED_AMPLITUDE""]}"
coverage,three_registered_seeds,True,"{""seeds"": [7, 17, 37]}"
coverage,three_hundred_fits,True,"{""n"": 300}"
coverage,every_cell_fully_crossed,True,"{""ragged"": {}}"
frozen,frozen_status_table_present,True,"{""path"": ""D:\\作业\\science\\solar_leak_price_model\\experiments\\evidence\\hch_signed_mass_method_20260912\\04_frozen_method\\FROZEN_STATUS.csv"", ""n"": 60}"
protocol,high_mass_thresholds_frozen,True,"{""path"": ""D:\\作业\\science\\solar_leak_price_model\\experiments\\evidence\\hch_signed_mass_method_20260912\\00_protocol\\HIGH_MASS_THRESHOLDS.json"", ""n_cells"": 20}"
artifacts,identity::GANSU_DA::LSTM::FULL::s7,True,"{""config"": ""FULL"", ""seed"": 7, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::LSTM::FULL::s7,True,"{""on_disk"": ""8692AB96D289D0E145D38A72D20DB2DDDC81535AAA5EE499503E0FAF2C01D0D6"", ""indexed"": ""8692AB96D289D0E145D38A72D20DB2DDDC81535AAA5EE499503E0FAF2C01D0D6""}"
artifacts,identity::GANSU_DA::LSTM::FULL::s17,True,"{""config"": ""FULL"", ""seed"": 17, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::LSTM::FULL::s17,True,"{""on_disk"": ""64226A72A65F4FC28F8141D19CA96D1AF3B8D23083A82C823B5BED1B21CC9924"", ""indexed"": ""64226A72A65F4FC28F8141D19CA96D1AF3B8D23083A82C823B5BED1B21CC9924""}"
artifacts,identity::GANSU_DA::LSTM::FULL::s37,True,"{""config"": ""FULL"", ""seed"": 37, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::LSTM::FULL::s37,True,"{""on_disk"": ""AB0FA558FD274A4BEAB6BB1E2B583FE332E3F7D50D066A323ABF415B36AA37EC"", ""indexed"": ""AB0FA558FD274A4BEAB6BB1E2B583FE332E3F7D50D066A323ABF415B36AA37EC""}"
artifacts,identity::GANSU_DA::LSTM::NO_RARE_MASS::s7,True,"{""config"": ""NO_RARE_MASS"", ""seed"": 7, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::LSTM::NO_RARE_MASS::s7,True,"{""on_disk"": ""20F97B2046BA7C0A0966F8D9089F7447820B8B8AA558D7739EB0F33766AC70B0"", ""indexed"": ""20F97B2046BA7C0A0966F8D9089F7447820B8B8AA558D7739EB0F33766AC70B0""}"
artifacts,identity::GANSU_DA::LSTM::NO_RARE_MASS::s17,True,"{""config"": ""NO_RARE_MASS"", ""seed"": 17, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::LSTM::NO_RARE_MASS::s17,True,"{""on_disk"": ""141F3AC84BA0F489449E0E0BABF945C20E671388F94D8BDA27EA7266F4F74F16"", ""indexed"": ""141F3AC84BA0F489449E0E0BABF945C20E671388F94D8BDA27EA7266F4F74F16""}"
