cell,market,host,config,seeds,n_seeds,n_failed_seeds,complete,switches,n_days,n_entries_evaluated,n_days_any_valid,overall_mae,host_mae,mae_gain_abs,mae_gain_pct,tail_mae,tail_mae_host,upper_tail_mae,lower_tail_mae,normal_mae,normal_mae_host,normal_relative_harm_pct,negative_price_mae,negative_price_mae_host,shape_w1_positive,shape_w1_negative,mass_positive_l1,mass_negative_l1,high_mass_positive_l1,high_mass_negative_l1,high_mass_positive_n_days,high_mass_negative_n_days,alpha,amplitude_scale,n_parameters,fit_seconds,inference_seconds,n_folds,final_epochs,branch_reconstruction_max_abs_err,alpha_consistency_max_abs_err
GANSU_DA::LSTM,GANSU_DA,LSTM,FROZEN_SMALLEST,7|17|37,3,0,True,"{""rare_mass_sampling"":false,""shape_semantic_context"":false,""untied_amplitude_heads"":false,""use_tcn"":false}",21.0,504.0,21.0,120.3141817954147,121.15918904259091,0.8450072471762127,0.6974355423253688,144.0768238380997,138.25179290771484,,144.0768238380997,120.17189052569802,121.05683812124286,-0.7310182632215593,,,4.685945015408665,2.237183611910504,225.5197693961007,2598.6383410862513,759.1755813598633,,5.0,0.0,1.8092029341169455,2143.59375,24579.0,11.024,0.03284,5.0,12.0,3.4235938528581755e-07,0.0
GANSU_DA::LSTM,GANSU_DA,LSTM,FULL,7|17|37,3,0,True,"{""rare_mass_sampling"":true,""shape_semantic_context"":true,""untied_amplitude_heads"":true,""use_tcn"":true}",21.0,504.0,21.0,128.68049077566195,121.15918904259091,-7.521301733071041,-6.207784809806782,57.11006005088055,138.25179290771484,,57.11006005088055,128.99139202019919,121.05683812124286,6.554403718201839,,,6.046368156078157,4.448417678014471,234.93891270955405,927.4769941057477,807.6462421417236,,5.0,0.0,0.9126061583828168,2143.59375,47396.0,23.796,0.047585,5.0,22.0,3.9089896176847105e-05,0.0
GANSU_DA::LSTM,GANSU_DA,LSTM,NO_RARE_MASS,7|17|37,3,0,True,"{""rare_mass_sampling"":false,""shape_semantic_context"":true,""untied_amplitude_heads"":true,""use_tcn"":true}",21.0,504.0,21.0,122.525101745691,121.15918904259091,-1.3659127031000935,-1.1273702918397186,59.61510664320746,138.25179290771484,,59.61510664320746,122.9018083031909,121.05683812124286,1.5240528421040016,,,5.838055474669203,4.152785205505319,235.2776985168457,931.0337716965448,808.2402338027954,,5.0,0.0,0.9246648092947157,2143.59375,47396.0,23.083,0.055589,5.0,22.0,4.923187509575655e-05,0.0
GANSU_DA::LSTM,GANSU_DA,LSTM,NO_SHAPE_CONTEXT,7|17|37,3,0,True,"{""rare_mass_sampling"":true,""shape_semantic_context"":false,""untied_amplitude_heads"":true,""use_tcn"":true}",21.0,504.0,21.0,77.17167324540026,121.15918904259091,43.98751579719065,36.30555481988889,50.71604854322273,138.25179290771484,,50.71604854322273,77.38028498914032,121.05683812124286,-36.07937710082835,,,4.997452910332876,1.9014295804372676,237.2529717172895,951.6600530715216,811.5401666641235,,5.0,0.0,0.936400785479674,2143.59375,47396.0,22.71,0.044363,5.0,19.0,1.4147048432278098e-05,0.0
GANSU_DA::LSTM,GANSU_DA,LSTM,NO_TCN,7|17|37,3,0,True,"{""rare_mass_sampling"":true,""shape_semantic_context"":true,""untied_amplitude_heads"":true,""use_tcn"":false}",21.0,504.0,21.0,117.23438985895851,121.15918904259091,3.924799183632402,3.239373929989514,40.90535799290712,138.25179290771484,,40.90535799290712,117.75314638831816,121.05683812124286,-2.729041815560998,,,5.007504204390662,3.7459582035447507,223.73012887863885,893.6071766444614,784.6885604858398,,5.0,0.0,0.9266424872580216,2143.59375,24612.0,10.202,0.026097,5.0,27.0,5.172032615519129e-05,0.0
GANSU_DA::LSTM,GANSU_DA,LSTM,TIED_AMPLITUDE,7|17|37,3,0,True,"{""rare_mass_sampling"":true,""shape_semantic_context"":true,""untied_amplitude_heads"":false,""use_tcn"":true}",21.0,504.0,21.0,118.54235997043962,121.15918904259091,2.6168290721512903,2.1598271603084105,163.23993619308553,138.25179290771484,,163.23993619308553,118.27470981341777,121.05683812124286,-2.2982000447084916,,,3.2026289924169147,2.1566269496201436,244.4992649796463,2569.286757332938,730.6296142578125,,5.0,0.0,2.5843830360851565,2143.59375,47363.0,13.535,0.040255,5.0,9.0,2.3052696391800964e-06,0.0
GANSU_DA::PatchTST,GANSU_DA,PatchTST,FROZEN_SMALLEST,7|17|37,3,0,True,"{""rare_mass_sampling"":false,""shape_semantic_context"":false,""untied_amplitude_heads"":false,""use_tcn"":false}",21.0,504.0,21.0,69.07711777762107,72.05343198019361,2.9763142025725386,4.1307042853846045,9.727360011965539,9.323661804199219,,9.727360011965539,69.44954674173749,72.42905934651692,-4.113697777745215,,,3.5641646744125692,3.850975242909443,631.1080057053339,730.2040390741257,1279.4248523712158,1998.9906311035156,4.0,3.0,0.9236918117654273,662.3440856933594,24579.0,11.901,0.027431,5.0,11.0,5.50784170627594e-06,0.0
GANSU_DA::PatchTST,GANSU_DA,PatchTST,FULL,7|17|37,3,0,True,"{""rare_mass_sampling"":true,""shape_semantic_context"":true,""untied_amplitude_heads"":true,""use_tcn"":true}",21.0,504.0,21.0,70.62005220867601,72.05343198019361,1.4333797715175933,1.989328935659314,17.45318676416114,9.323661804199219,,17.45318676416114,70.99598966045347,72.42905934651692,-1.9785838708843637,,,4.073568953392087,4.493108670141999,587.6264811924526,708.4747416178385,1642.9272327423096,1816.1855773925781,4.0,3.0,0.8327121339625649,662.3440856933594,47396.0,26.99,0.059394,5.0,15.0,6.450990440498572e-06,0.0
GANSU_DA::PatchTST,GANSU_DA,PatchTST,NO_RARE_MASS,7|17|37,3,0,True,"{""rare_mass_sampling"":false,""shape_semantic_context"":true,""untied_amplitude_heads"":true,""use_tcn"":true}",21.0,504.0,21.0,72.75735367663401,72.05343198019361,-0.7039216964404034,-0.9769440220889142,24.644152205089785,9.323661804199219,,24.644152205089785,73.0825865729646,72.42905934651692,0.9022997569539837,,,4.441672602458356,4.400419575165316,576.8436747959682,681.6210657755533,1561.6510562896729,1538.0331929524739,4.0,3.0,0.7616582862582331,662.3440856933594,47396.0,31.144,0.051202,5.0,20.0,1.3672493025751464e-05,0.0
GANSU_DA::PatchTST,GANSU_DA,PatchTST,NO_SHAPE_CONTEXT,7|17|37,3,0,True,"{""rare_mass_sampling"":true,""shape_semantic_context"":false,""untied_amplitude_heads"":true,""use_tcn"":true}",21.0,504.0,21.0,72.20074046026609,72.05343198019361,-0.14730848007248198,-0.204443391555554,11.750530276928552,9.323661804199219,,11.750530276928552,72.56271776675314,72.42905934651692,0.18453700965073166,,,3.8680731503514023,4.195605698606185,591.7129665556408,716.29250226702,1690.5790729522705,1946.0250142415364,4.0,3.0,0.8562772165205668,662.3440856933594,47396.0,30.447,0.034539,5.0,12.0,5.938337693578433e-06,0.0
