protocol_id,market,host,method,setting,split,status,mae,relative_gain_vs_host_pct,paper_use_scope,data_adjudication,n_registered_test_days,n_scored_test_days,n_unscorable_missing_target_days,metric_source,source_pointer,blocker_class,blocker_code,blocker_reason,historical_status,reuse_basis,execution_status,new_fit_count
COMMON_BENCHMARK_701020_FULL_V2,GANSU_DA,PatchTST,delta-Adapter,OFFLINE_STATIC_POSTHOC,TEST,NUMERIC,68.67710766910825,0.659830262738,COMMON_BENCHMARK_TEST_WITH_HISTORICAL_EXPOSURE_CAVEAT,V2_MISSING_TARGET_SCORABILITY_ADJUDICATION_20260913,83,83,0,RESULTS_LONG.csv metric-only TEST export,experiments/lab/common_benchmark_results_v2/RESULTS_LONG.csv,,,,VERIFIED_REUSE,V2_PARENT_FINAL_ARTIFACT,NOT_RERUN,0
COMMON_BENCHMARK_701020_FULL_V2,GANSU_DA,PatchTST,COSA,ONLINE_TTA,TEST,NUMERIC,67.96410210987172,1.691179655310,COMMON_BENCHMARK_TEST_WITH_HISTORICAL_EXPOSURE_CAVEAT,V2_MISSING_TARGET_SCORABILITY_ADJUDICATION_20260913,83,83,0,RESULTS_LONG.csv metric-only TEST export,experiments/lab/common_benchmark_results_v2/RESULTS_LONG.csv,,,,VERIFIED_REUSE,V2_PARENT_FINAL_ARTIFACT,NOT_RERUN,0
COMMON_BENCHMARK_701020_FULL_V2,GANSU_DA,PatchTST,PIR,OFFLINE_STATIC_POSTHOC,TEST,NUMERIC,66.17091486252934,4.284991939601,COMMON_BENCHMARK_TEST_WITH_HISTORICAL_EXPOSURE_CAVEAT,V2_MISSING_TARGET_SCORABILITY_ADJUDICATION_20260913,83,83,0,RESULTS_LONG.csv metric-only TEST export,experiments/lab/common_benchmark_results_v2/RESULTS_LONG.csv,,,,VERIFIED_REUSE,V2_PARENT_FINAL_ARTIFACT,NOT_RERUN,0
COMMON_BENCHMARK_701020_FULL_V2,GANSU_DA,PatchTST,UEC-STD,BLOCKED,TEST,BLOCKED,,,BLOCKED,V2_MISSING_TARGET_SCORABILITY_ADJUDICATION_20260913,83,83,0,INHERITED_BLOCKER,experiments/evidence/hch_china5_common_benchmark_701020_full_v2_20260913/10_missing_target_adjudication/INHERITED_BLOCKERS.csv,Q-FIDELITY,,,INHERITED_BLOCKER,FROZEN_BLOCKER,NOT_AUTHORIZED_NO_RERUN,0
COMMON_BENCHMARK_701020_FULL_V2,GANSU_DA,PatchTST,OMPB,BLOCKED,TEST,BLOCKED,,,BLOCKED,V2_MISSING_TARGET_SCORABILITY_ADJUDICATION_20260913,83,83,0,INHERITED_BLOCKER,experiments/evidence/hch_china5_common_benchmark_701020_full_v2_20260913/10_missing_target_adjudication/INHERITED_BLOCKERS.csv,Q-DATA,,,INHERITED_BLOCKER,FROZEN_BLOCKER,NOT_AUTHORIZED_NO_RERUN,0
COMMON_BENCHMARK_701020_FULL_V2,GANSU_DA,TimeMixer,delta-Adapter,OFFLINE_STATIC_POSTHOC,TEST,NUMERIC,74.35400675961291,0.522389484859,COMMON_BENCHMARK_TEST_WITH_HISTORICAL_EXPOSURE_CAVEAT,V2_MISSING_TARGET_SCORABILITY_ADJUDICATION_20260913,83,83,0,RESULTS_LONG.csv metric-only TEST export,experiments/lab/common_benchmark_results_v2/RESULTS_LONG.csv,,,,VERIFIED_REUSE,V2_PARENT_FINAL_ARTIFACT,NOT_RERUN,0
COMMON_BENCHMARK_701020_FULL_V2,GANSU_DA,TimeMixer,COSA,ONLINE_TTA,TEST,NUMERIC,73.23635583948419,2.017685404606,COMMON_BENCHMARK_TEST_WITH_HISTORICAL_EXPOSURE_CAVEAT,V2_MISSING_TARGET_SCORABILITY_ADJUDICATION_20260913,83,83,0,RESULTS_LONG.csv metric-only TEST export,experiments/lab/common_benchmark_results_v2/RESULTS_LONG.csv,,,,VERIFIED_REUSE,V2_PARENT_FINAL_ARTIFACT,NOT_RERUN,0
COMMON_BENCHMARK_701020_FULL_V2,GANSU_DA,TimeMixer,PIR,OFFLINE_STATIC_POSTHOC,TEST,NUMERIC,67.90478647569097,9.150747948506,COMMON_BENCHMARK_TEST_WITH_HISTORICAL_EXPOSURE_CAVEAT,V2_MISSING_TARGET_SCORABILITY_ADJUDICATION_20260913,83,83,0,RESULTS_LONG.csv metric-only TEST export,experiments/lab/common_benchmark_results_v2/RESULTS_LONG.csv,,,,VERIFIED_REUSE,V2_PARENT_FINAL_ARTIFACT,NOT_RERUN,0
COMMON_BENCHMARK_701020_FULL_V2,GANSU_DA,TimeMixer,UEC-STD,BLOCKED,TEST,BLOCKED,,,BLOCKED,V2_MISSING_TARGET_SCORABILITY_ADJUDICATION_20260913,83,83,0,INHERITED_BLOCKER,experiments/evidence/hch_china5_common_benchmark_701020_full_v2_20260913/10_missing_target_adjudication/INHERITED_BLOCKERS.csv,Q-FIDELITY,,,INHERITED_BLOCKER,FROZEN_BLOCKER,NOT_AUTHORIZED_NO_RERUN,0
COMMON_BENCHMARK_701020_FULL_V2,GANSU_DA,TimeMixer,OMPB,BLOCKED,TEST,BLOCKED,,,BLOCKED,V2_MISSING_TARGET_SCORABILITY_ADJUDICATION_20260913,83,83,0,INHERITED_BLOCKER,experiments/evidence/hch_china5_common_benchmark_701020_full_v2_20260913/10_missing_target_adjudication/INHERITED_BLOCKERS.csv,Q-DATA,,,INHERITED_BLOCKER,FROZEN_BLOCKER,NOT_AUTHORIZED_NO_RERUN,0
