cell,market,host,seed,source,o1_selected_step,r1_selected_step,o1_selected_correction_ratio,r1_selected_correction_ratio,selected_is_post_switch,final_check_step,at_400_L_rec,at_400_L_b,at_400_L_B,at_400_L_S,at_400_aux_mean,at_400_val_mae_ema,at_selected_L_rec,at_selected_L_b,at_selected_L_B,at_selected_L_S,at_selected_aux_mean,at_selected_val_mae_ema,at_final_check_L_rec,at_final_check_L_b,at_final_check_L_B,at_final_check_L_S,at_final_check_aux_mean,at_final_check_val_mae_ema,delta_selected_minus_400_L_rec,delta_selected_minus_400_L_b,delta_selected_minus_400_L_B,delta_selected_minus_400_L_S,delta_selected_minus_400_aux_mean,delta_selected_minus_400_val_mae_ema,delta_selected_minus_400_L_rec_direction,delta_selected_minus_400_L_b_direction,delta_selected_minus_400_L_B_direction,delta_selected_minus_400_L_S_direction,delta_final_minus_400_L_rec,delta_final_minus_400_L_b,delta_final_minus_400_L_B,delta_final_minus_400_L_S,delta_final_minus_400_aux_mean,delta_final_minus_400_val_mae_ema,delta_final_minus_400_L_rec_direction,delta_final_minus_400_L_b_direction,delta_final_minus_400_L_B_direction,delta_final_minus_400_L_S_direction,aux_mean_direction_final,val_mae_direction_final,aux_better_val_worse_at_final,aux_worse_val_better_at_final,aux_better_val_worse_at_selected,aux_worse_val_better_at_selected
GANSU_DA__PatchTST,GANSU_DA,PatchTST,7,reused_o1,1600,0,0.2807467579841614,1.773031362972688e-05,True,2000,2.316805601119995,0.7832428812980652,0.8221344351768494,3.018308639526367,1.5412286520004272,77.25908660888672,1.9627188444137573,0.7378170490264893,3.0587308406829834,3.078052520751953,2.2915334701538086,74.78614044189453,1.8273555040359497,0.6713857054710388,3.5059525966644287,2.9518771171569824,2.37640513976415,76.92152404785156,-0.3540867567062378,-0.04542583227157593,2.236596405506134,0.05974388122558594,0.7503048181533813,-2.4729461669921875,down,down,up,up,-0.4894500970840454,-0.11185717582702637,2.6838181614875793,-0.06643152236938477,0.8351764877637229,-0.33756256103515625,down,down,up,down,up,down,False,True,False,True
GANSU_DA__PatchTST,GANSU_DA,PatchTST,17,reused_o1,1200,0,0.2425011694431305,3.731294782483019e-05,True,1600,2.286564588546753,0.783193051815033,0.8115543723106384,2.973040819168091,1.5225960810979207,77.2776107788086,2.0479466915130615,0.7790282964706421,2.1082730293273926,3.1468300819396973,2.011377135912577,76.62848663330078,1.981925368309021,0.765004575252533,2.7187812328338623,3.1221280097961426,2.2019712726275125,77.08551025390625,-0.2386178970336914,-0.004164755344390869,1.2967186570167542,0.17378926277160645,0.4887810548146565,-0.6491241455078125,down,down,up,up,-0.30463922023773193,-0.0181884765625,1.9072268605232239,0.14908719062805176,0.6793751915295918,-0.19210052490234375,down,down,up,up,up,down,False,True,False,True
GANSU_DA__PatchTST,GANSU_DA,PatchTST,37,reused_o1,1550,0,0.27162590622901917,2.242682603537105e-05,True,1950,2.3037595748901367,0.7831644415855408,0.8201492428779602,2.882000207901001,1.4951046307881672,77.18310546875,1.9927549362182617,0.7768452167510986,2.8990447521209717,3.0206241607666016,2.232171376546224,75.76719665527344,1.934694766998291,0.7654433846473694,3.2903881072998047,2.990675210952759,2.348835567633311,76.43077850341797,-0.311004638671875,-0.006319224834442139,2.0788955092430115,0.13862395286560059,0.7370667457580569,-1.4159088134765625,down,down,up,up,-0.3690648078918457,-0.017721056938171387,2.4702388644218445,0.10867500305175781,0.8537309368451436,-0.7523269653320312,down,down,up,up,up,down,False,True,False,True
GANSU_DA__LSTM,GANSU_DA,LSTM,7,new_fit,600,600,0.22536103427410126,0.16396136581897736,True,1000,2.999415159225464,0.8250951170921326,0.7473976612091064,2.9801697731018066,1.5175541838010151,79.26270294189453,2.8148365020751953,0.8233972191810608,0.8198236227035522,2.9261937141418457,1.5231381853421528,78.76530456542969,2.6558268070220947,0.8118451833724976,1.9992328882217407,2.982548952102661,1.9312090078989665,80.44464874267578,-0.18457865715026855,-0.0016978979110717773,0.0724259614944458,-0.05397605895996094,0.005584001541137695,-0.49739837646484375,down,down,up,down,-0.34358835220336914,-0.01324993371963501,1.2518352270126343,0.002379179000854492,0.4136548240979514,1.18194580078125,down,down,up,up,up,up,False,False,False,True
GANSU_DA__LSTM,GANSU_DA,LSTM,17,new_fit,450,500,0.07782145589590073,0.07825417816638947,True,850,3.0023229122161865,0.8251465559005737,0.7437831163406372,2.9948840141296387,1.5212712287902832,79.78042602539062,2.9578192234039307,0.8251959085464478,0.700849175453186,2.9629876613616943,1.4963442484537761,79.7029037475586,2.732450246810913,0.8163583278656006,1.9343639612197876,2.8947434425354004,1.881821910540263,82.68522644042969,-0.04450368881225586,4.935264587402344e-05,-0.04293394088745117,-0.031896352767944336,-0.024926980336507087,-0.07752227783203125,down,up,down,down,-0.26987266540527344,-0.008788228034973145,1.1905808448791504,-0.10014057159423828,0.36055068174997973,2.9048004150390625,down,down,up,down,up,up,False,False,False,False
GANSU_DA__LSTM,GANSU_DA,LSTM,37,new_fit,500,600,0.13567064702510834,0.14654862880706787,True,900,2.9983932971954346,0.8251063227653503,0.7451775074005127,2.929595470428467,1.4999597668647766,79.69440460205078,2.896766424179077,0.8252056241035461,0.7030566930770874,2.856832265853882,1.4616981943448384,79.48155975341797,2.709465742111206,0.8215643167495728,1.929276466369629,2.843748092651367,1.8648629585901897,81.97586822509766,-0.10162687301635742,9.930133819580078e-05,-0.04212081432342529,-0.07276320457458496,-0.038261572519938225,-0.2128448486328125,down,up,down,down,-0.2889275550842285,-0.003542006015777588,1.1840989589691162,-0.08584737777709961,0.3649031917254131,2.281463623046875,down,down,up,down,up,up,False,False,False,False
SHANDONG_DA__PatchTST,SHANDONG_DA,PatchTST,7,new_fit,950,800,0.22068248689174652,0.1400243639945984,True,1350,2.171234369277954,0.9401952028274536,0.9802102446556091,3.456845283508301,1.7924169103304546,76.29842376708984,2.0898029804229736,0.9425675272941589,1.0715305805206299,3.5483388900756836,1.8541456659634907,73.7957992553711,2.0677216053009033,0.9407050609588623,1.331872582435608,3.610673427581787,1.9610836903254192,74.08763122558594,-0.08143138885498047,0.0023723244667053223,0.09132033586502075,0.09149360656738281,0.06172875563303615,-2.50262451171875,down,up,up,up,-0.10351276397705078,0.0005098581314086914,0.3516623377799988,0.15382814407348633,0.1686667799949646,-2.2107925415039062,down,up,up,up,up,down,False,True,False,True
SHANDONG_DA__PatchTST,SHANDONG_DA,PatchTST,17,new_fit,1500,950,0.27234259247779846,0.17467139661312103,True,1900,2.168703556060791,0.9400560855865479,0.9743460416793823,3.451240062713623,1.788547396659851,76.48186492919922,2.061443567276001,0.9418395757675171,1.172839641571045,3.5573477745056152,1.890675663948059,73.81265258789062,2.0408124923706055,0.9408626556396484,1.2899112701416016,3.5645499229431152,1.931774616241455,73.94867706298828,-0.10725998878479004,0.0017834901809692383,0.1984935998916626,0.10610771179199219,0.10212826728820801,-2.6692123413085938,down,up,up,up,-0.12789106369018555,0.0008065700531005859,0.31556522846221924,0.11330986022949219,0.143227219581604,-2.5331878662109375,down,up,up,up,up,down,False,True,False,True
SHANDONG_DA__PatchTST,SHANDONG_DA,PatchTST,37,new_fit,1750,1550,0.277211457490921,0.21333779394626617,True,2000,2.167553424835205,0.9401913285255432,0.9721275568008423,3.4389405250549316,1.7837531367937725,76.12915802001953,2.0196382999420166,0.9257259368896484,1.6001824140548706,3.579193353652954,2.035033901532491,73.54141235351562,2.0024185180664062,0.9222421646118164,1.7011507749557495,3.5849032402038574,2.0694320599238076,73.64855194091797,-0.14791512489318848,-0.014465391635894775,0.6280548572540283,0.14025282859802246,0.25128076473871874,-2.5877456665039062,down,down,up,up,-0.16513490676879883,-0.017949163913726807,0.7290232181549072,0.14596271514892578,0.2856789231300352,-2.4806060791015625,down,down,up,up,up,down,False,True,False,True
SHANDONG_DA__iTransformer,SHANDONG_DA,iTransformer,7,reused_o1,550,450,0.17808881402015686,0.12272230535745621,True,950,2.2520666122436523,0.9145458936691284,0.9019638299942017,3.6062259674072266,1.8075785636901855,75.02596282958984,2.215102434158325,0.9135192632675171,0.7890648245811462,3.601381301879883,1.7679884632428486,74.84967803955078,2.158188819885254,0.9077445864677429,1.0864155292510986,3.7106354236602783,1.9015985131263733,75.31353759765625,-0.03696417808532715,-0.0010266304016113281,-0.11289900541305542,-0.00484466552734375,-0.03959010044733691,-0.1762847900390625,down,down,down,down,-0.09387779235839844,-0.006801307201385498,0.18445169925689697,0.10440945625305176,0.09401994943618774,0.28757476806640625,down,down,up,up,up,up,False,False,False,False
