cell,market,host,seed,source,mae_o1,mae_r1,relative_val_gain_pct,abs_delta,selected_step_o1,selected_step_r1,stopped_at_step_o1,stopped_at_step_r1,correction_ratio_o1,correction_ratio_r1,val_mae_raw_o1,raw_minus_ema_gap_o1,train_recon_mae_o1,train_recon_mae_r1,val_host_mae_o1,n_val_rows_o1,n_val_rows_r1,step0_retreat,probe_code_hash
GANSU_DA__PatchTST,GANSU_DA,PatchTST,7,reused_o1,74.78614044189453,77.10411071777344,3.006286246350009,2.3179702758789062,1600,0,2000,800,0.2807467579841614,1.773031362972688e-05,75.4153823852539,0.629241943359375,62.92196273803711,74.71075439453125,77.10397338867188,42,42,False,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880
GANSU_DA__PatchTST,GANSU_DA,PatchTST,17,reused_o1,76.62848663330078,77.10381317138672,0.6164760451333055,0.4753265380859375,1200,0,1600,800,0.2425011694431305,3.731294782483019e-05,76.84046173095703,0.21197509765625,65.65424346923828,74.7105941772461,77.10397338867188,42,42,False,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880
GANSU_DA__PatchTST,GANSU_DA,PatchTST,37,reused_o1,75.76719665527344,77.10397338867188,1.7337326140896872,1.3367767333984375,1550,0,1950,800,0.27162590622901917,2.242682603537105e-05,76.27645874023438,0.5092620849609375,63.8848762512207,74.71073913574219,77.10397338867188,42,42,False,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880
GANSU_DA__LSTM,GANSU_DA,LSTM,7,new_fit,78.76530456542969,78.92111206054688,0.19742181914220208,0.1558074951171875,600,600,1000,1000,0.22536103427410126,0.16396136581897736,80.28845977783203,1.5231552124023438,81.7957763671875,83.4720458984375,80.66068267822266,42,42,False,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880
GANSU_DA__LSTM,GANSU_DA,LSTM,17,new_fit,79.7029037475586,79.66493225097656,-0.04766400410961974,-0.03797149658203125,450,500,850,900,0.07782145589590073,0.07825417816638947,80.46638488769531,0.7634811401367188,85.95068359375,85.47943115234375,80.66068267822266,42,42,False,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880
GANSU_DA__LSTM,GANSU_DA,LSTM,37,new_fit,79.48155975341797,79.4853286743164,0.004741656053131888,0.0037689208984375,500,600,900,1000,0.13567064702510834,0.14654862880706787,80.42276000976562,0.9412002563476562,84.17656707763672,83.33483123779297,80.66068267822266,42,42,False,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880
SHANDONG_DA__PatchTST,SHANDONG_DA,PatchTST,7,new_fit,73.7957992553711,75.61103820800781,2.4007591955594525,1.8152389526367188,950,800,1350,1200,0.22068248689174652,0.1400243639945984,74.1186294555664,0.3228302001953125,87.39115905761719,88.66180419921875,76.86666870117188,166,166,False,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880
SHANDONG_DA__PatchTST,SHANDONG_DA,PatchTST,17,new_fit,73.81265258789062,75.46000671386719,2.1830824004867604,1.6473541259765625,1500,950,1900,1350,0.27234259247779846,0.17467139661312103,74.41468811035156,0.6020355224609375,86.2052230834961,88.15333557128906,76.86666870117188,166,166,False,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880
SHANDONG_DA__PatchTST,SHANDONG_DA,PatchTST,37,new_fit,73.54141235351562,75.00178527832031,1.9471175511162353,1.4603729248046875,1750,1550,,1950,0.277211457490921,0.21333779394626617,73.42903137207031,-0.1123809814453125,84.45701599121094,86.81906127929688,76.86666870117188,166,166,False,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880
SHANDONG_DA__iTransformer,SHANDONG_DA,iTransformer,7,reused_o1,74.84967803955078,74.98084259033203,0.1749307506423811,0.13116455078125,550,450,950,850,0.17808881402015686,0.12272230535745621,75.13390350341797,0.2842254638671875,97.35063171386719,98.50367736816406,75.07028198242188,166,166,False,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880
