market,host,cell,seed,variant,struct_variant,mae_struct,mae_direct,gain_struct_vs_direct_pct,host_mae_struct,host_mae_direct,struct_host_gain_pct,direct_host_gain_pct,selected_step_struct,selected_step_direct,stopped_at_step_struct,stopped_at_step_direct,direct_l_rec_only_throughout,direct_selected_check,direct_check_count,history_support_hash_struct,history_support_hash_direct,support_matched,n_train_rows,n_val_rows,data_identity_matched,direct_checkpoint_sha256,direct_parameter_hash,probe_code_hash,matched_code_hash,core_tree,test_target_read_count
GANSU_DA,PatchTST,GANSU_DA__PatchTST,7,G3_SHARED_DIRECT_CONTEXT_CTRL,G1_GEOM_SHARED_CONTEXT,75.1891098022461,76.93180084228516,2.2652414488667496,77.10397338867188,77.10397338867188,,0.22329918786262493,1700,450,,850,true,9,18,50F1FB966FD8F628BA31D5523AC9CD379B83B2D3B2B576B71B83EBC69DE27729,50F1FB966FD8F628BA31D5523AC9CD379B83B2D3B2B576B71B83EBC69DE27729,true,224,42,true,FAD3CBA62217704F2CA2892869CA6A88F4840F1EAC919037EB36AE86DC82725A,4A18BF780B574E6EAB237EDDA3929A1CEB93492F370C84A7ED69445D8AFD748F,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880,761EA24AABC78491583470F27BEF029B959EE0D9EFAED4C571721B8E548169F5,6F18C0E4241A299E32C8D8A617061BAEAA7B8DC98B4EE069DC67199B87531577,0
GANSU_DA,PatchTST,GANSU_DA__PatchTST,17,G3_SHARED_DIRECT_CONTEXT_CTRL,G1_GEOM_SHARED_CONTEXT,76.64746856689453,76.58578491210938,-0.08054191108173017,77.10397338867188,77.10397338867188,,0.6720645561939773,1200,450,1600,850,true,9,18,50F1FB966FD8F628BA31D5523AC9CD379B83B2D3B2B576B71B83EBC69DE27729,50F1FB966FD8F628BA31D5523AC9CD379B83B2D3B2B576B71B83EBC69DE27729,true,224,42,true,2C808EAD4611A3EA3D9B31F4AA5D78189DE081EA8062BF02DAABF73D5AFE8D15,67F71559D5E15C328863C56E19E917C72656BEBE168DC736415E921C19B4B256,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880,761EA24AABC78491583470F27BEF029B959EE0D9EFAED4C571721B8E548169F5,6F18C0E4241A299E32C8D8A617061BAEAA7B8DC98B4EE069DC67199B87531577,0
GANSU_DA,PatchTST,GANSU_DA__PatchTST,37,G3_SHARED_DIRECT_CONTEXT_CTRL,G1_GEOM_SHARED_CONTEXT,75.77104187011719,76.06903076171875,0.3917348342914913,77.10397338867188,77.10397338867188,,1.3422688630274648,1550,600,1950,1000,true,12,21,50F1FB966FD8F628BA31D5523AC9CD379B83B2D3B2B576B71B83EBC69DE27729,50F1FB966FD8F628BA31D5523AC9CD379B83B2D3B2B576B71B83EBC69DE27729,true,224,42,true,C724BC2C60DBE81BC807F5F86FF8C98EE7C9B17F84A112D57FE48B78DB89C5C8,A6B58D184FB85E2A825D832070207D2694221186118097C8EBBFF670DDC5E561,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880,761EA24AABC78491583470F27BEF029B959EE0D9EFAED4C571721B8E548169F5,6F18C0E4241A299E32C8D8A617061BAEAA7B8DC98B4EE069DC67199B87531577,0
GANSU_DA,LSTM,GANSU_DA__LSTM,7,G3_SHARED_DIRECT_CONTEXT_CTRL,G1_GEOM_SHARED_CONTEXT,78.69300842285156,80.2275619506836,1.9127510428091175,80.66068267822266,80.66068267822266,,0.5369663548062178,550,350,950,800,true,7,17,A44B0817E719E977EEF43DE3BC3802FE62281DA3C7C161CA3A7CBF7D5AFD0335,A44B0817E719E977EEF43DE3BC3802FE62281DA3C7C161CA3A7CBF7D5AFD0335,true,224,42,true,59F61999821B3D5E78FAE1325FB0312FC34E156433AA996F61CB73376D85E272,A2CD5BA857D6253972283D473337236502EDF629B8B946F4EBE23B87A4538E3C,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880,761EA24AABC78491583470F27BEF029B959EE0D9EFAED4C571721B8E548169F5,6F18C0E4241A299E32C8D8A617061BAEAA7B8DC98B4EE069DC67199B87531577,0
GANSU_DA,LSTM,GANSU_DA__LSTM,17,G3_SHARED_DIRECT_CONTEXT_CTRL,G1_GEOM_SHARED_CONTEXT,79.65599060058594,79.69925689697266,0.054286950808900454,80.66068267822266,80.66068267822266,,1.1919385620443956,450,450,850,850,true,9,18,A44B0817E719E977EEF43DE3BC3802FE62281DA3C7C161CA3A7CBF7D5AFD0335,A44B0817E719E977EEF43DE3BC3802FE62281DA3C7C161CA3A7CBF7D5AFD0335,true,224,42,true,B1C453B420E29AE659B4087222917F33B0E209C8D5B918DB9BAA5C2670BC465C,EAFD7EA8882730AFD3664C410401A66FEB90842408B3B170B33725423E44A9B6,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880,761EA24AABC78491583470F27BEF029B959EE0D9EFAED4C571721B8E548169F5,6F18C0E4241A299E32C8D8A617061BAEAA7B8DC98B4EE069DC67199B87531577,0
GANSU_DA,LSTM,GANSU_DA__LSTM,37,G3_SHARED_DIRECT_CONTEXT_CTRL,G1_GEOM_SHARED_CONTEXT,79.46515655517578,80.07255554199219,0.7585607611809891,80.66068267822266,80.66068267822266,,0.7291373153592903,500,350,900,800,true,7,17,A44B0817E719E977EEF43DE3BC3802FE62281DA3C7C161CA3A7CBF7D5AFD0335,A44B0817E719E977EEF43DE3BC3802FE62281DA3C7C161CA3A7CBF7D5AFD0335,true,224,42,true,7DF206AF5A5AD7408D8E0BFFF7C97418EC371A942EB5E010B62E1801AC8128BA,1778A8C6AA38F72BC9B965E0E164FC075525444560A05E69ADFC7BCABB81C1BE,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880,761EA24AABC78491583470F27BEF029B959EE0D9EFAED4C571721B8E548169F5,6F18C0E4241A299E32C8D8A617061BAEAA7B8DC98B4EE069DC67199B87531577,0
SHANDONG_DA,PatchTST,SHANDONG_DA__PatchTST,7,G3_SHARED_DIRECT_CONTEXT_CTRL,G1_GEOM_SHARED_CONTEXT,73.74174499511719,73.1823501586914,-0.7643849032079021,76.86666870117188,76.86666870117188,,4.7931289396756425,950,1200,1350,1600,true,24,33,C65C8310D0A2C6FC12792A9BFEEE671935103E32FC5003193DFEAD8FAEBB5E66,C65C8310D0A2C6FC12792A9BFEEE671935103E32FC5003193DFEAD8FAEBB5E66,true,916,166,true,749C80E4BAC463489506A14FD7229CA38DE5DF26083D9086191FE24ADEB18B3D,90BD4F5A014DDE2636334FEB05D2024DD49E33CD0E21F9562654199110DCA2B8,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880,761EA24AABC78491583470F27BEF029B959EE0D9EFAED4C571721B8E548169F5,6F18C0E4241A299E32C8D8A617061BAEAA7B8DC98B4EE069DC67199B87531577,0
SHANDONG_DA,PatchTST,SHANDONG_DA__PatchTST,17,G3_SHARED_DIRECT_CONTEXT_CTRL,G1_GEOM_SHARED_CONTEXT,73.79051971435547,73.45027923583984,-0.46322557525364133,76.86666870117188,76.86666870117188,,4.44456553543857,1650,1250,,1650,true,25,34,C65C8310D0A2C6FC12792A9BFEEE671935103E32FC5003193DFEAD8FAEBB5E66,C65C8310D0A2C6FC12792A9BFEEE671935103E32FC5003193DFEAD8FAEBB5E66,true,916,166,true,D1C4FD88B9E609472F2569D3C2339A1928E380CC62E97AE2C47EA0BCEAC215A3,FDB7307D63B721AD949AB0FD385A5AD1618A10351903CA8DCDAC2A87912019B7,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880,761EA24AABC78491583470F27BEF029B959EE0D9EFAED4C571721B8E548169F5,6F18C0E4241A299E32C8D8A617061BAEAA7B8DC98B4EE069DC67199B87531577,0
SHANDONG_DA,PatchTST,SHANDONG_DA__PatchTST,37,G3_SHARED_DIRECT_CONTEXT_CTRL,G1_GEOM_SHARED_CONTEXT,74.06584930419922,73.66336059570312,-0.5463892839550568,76.86666870117188,76.86666870117188,,4.167356488313528,1450,950,1850,1350,true,19,28,C65C8310D0A2C6FC12792A9BFEEE671935103E32FC5003193DFEAD8FAEBB5E66,C65C8310D0A2C6FC12792A9BFEEE671935103E32FC5003193DFEAD8FAEBB5E66,true,916,166,true,19B4C05CA2096945825C7ED6A06BF78C49F2936ECBBCEEFE85513061C01C9D98,C919C386600983F31B98CD82ABEB7527A24AAFA33383BA4FD91C00FBEECEB4C9,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880,761EA24AABC78491583470F27BEF029B959EE0D9EFAED4C571721B8E548169F5,6F18C0E4241A299E32C8D8A617061BAEAA7B8DC98B4EE069DC67199B87531577,0
SHANDONG_DA,iTransformer,SHANDONG_DA__iTransformer,7,G3_SHARED_DIRECT_CONTEXT_CTRL,G1_GEOM_SHARED_CONTEXT,74.81202697753906,75.05450439453125,0.32306844065957924,75.07028198242188,75.07028198242188,,0.02101708888521214,550,250,950,800,true,5,17,6B329D9D59EAE9EB699523194925C7B9904F641A2EE97624151181B32382C557,6B329D9D59EAE9EB699523194925C7B9904F641A2EE97624151181B32382C557,true,916,166,true,13713F41C390688333D673A014C52DAF88B217CBC4E06B635DF986AA52329983,229D7EB3AEF31B37F1EB402A3A0018011515F22459A9EC83E8708E0235B73CD9,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880,761EA24AABC78491583470F27BEF029B959EE0D9EFAED4C571721B8E548169F5,6F18C0E4241A299E32C8D8A617061BAEAA7B8DC98B4EE069DC67199B87531577,0
