cell,market,host,seed,mae_o1,mae_r1,relative_val_gain_pct,abs_delta,selected_step_o1,selected_step_r1,stopped_at_step_o1,stopped_at_step_r1,correction_ratio_o1,correction_ratio_r1,val_mae_raw_o1,raw_minus_ema_gap_o1,train_recon_mae_o1,train_recon_mae_r1,val_host_mae_o1,n_val_rows_o1,n_val_rows_r1,r1_freeze_sha256,step0_retreat
GANSU_DA__PatchTST,GANSU_DA,PatchTST,7,74.78614044189453,77.10411071777344,3.006286246350009,2.3179702758789062,1600,0,2000,800,0.2807467579841614,1.773031362972688e-05,75.4153823852539,0.629241943359375,62.92196273803711,74.71075439453125,77.10397338867188,42,42,F864F1547DBBF5BF2DA024A23679FC2EA5DF1D770F72903B9DD334E0F1798849,False
GANSU_DA__PatchTST,GANSU_DA,PatchTST,17,76.62848663330078,77.10381317138672,0.6164760451333055,0.4753265380859375,1200,0,1600,800,0.2425011694431305,3.731294782483019e-05,76.84046173095703,0.21197509765625,65.65424346923828,74.7105941772461,77.10397338867188,42,42,90527DC7A8E0380CA06712BC15D7C2E9971DF5447C160921141000B0F257859E,False
GANSU_DA__PatchTST,GANSU_DA,PatchTST,37,75.76719665527344,77.10397338867188,1.7337326140896872,1.3367767333984375,1550,0,1950,800,0.27162590622901917,2.242682603537105e-05,76.27645874023438,0.5092620849609375,63.8848762512207,74.71073913574219,77.10397338867188,42,42,3DA3483E12FB2B856F3D5796A91FC5BD22A526A886AA6A8D5BF72BE369549CCE,False
SHANDONG_DA__iTransformer,SHANDONG_DA,iTransformer,7,74.84967803955078,74.98084259033203,0.1749307506423811,0.13116455078125,550,450,950,850,0.17808881402015686,0.12272230535745621,75.13390350341797,0.2842254638671875,97.35063171386719,98.50367736816406,75.07028198242188,166,166,579AC92BFA0357B77F0FC9D67E59E991AA3FF0A86AB0A3253DAFEE43CA953E2E,False
SHANDONG_DA__iTransformer,SHANDONG_DA,iTransformer,17,74.52197265625,74.9755859375,0.6050146532074243,0.45361328125,600,500,1000,900,0.18295687437057495,0.1197773888707161,75.44926452636719,0.9272918701171875,96.3523941040039,97.67084503173828,75.07028198242188,166,166,400CF3A95985E9EE02FA15F1D4124E2139DA0E0C07F9E94E40C0ADA312667022,False
SHANDONG_DA__iTransformer,SHANDONG_DA,iTransformer,37,74.88529205322266,75.02806091308594,0.19028728468494963,0.14276885986328125,550,450,950,850,0.17905928194522858,0.1192198172211647,75.0901870727539,0.20489501953125,97.17411041259766,98.3365478515625,75.07028198242188,166,166,D4370858FB6ED2CA6917FC59D57DC684CE2AE0D52F62985D6B38541BEF0F24BF,False
SHAANXI_DA__TimeMixer,SHAANXI_DA,TimeMixer,7,103.449951171875,103.449951171875,0.0,0.0,300,300,800,800,0.04529210180044174,0.04529210180044174,104.43663787841797,0.9866867065429688,72.01438903808594,72.01438903808594,103.59215545654297,41,41,73B3F9EFD802F6389ECD28971A5D852E78FDC49CFD1D8F0196F74237AAA8C920,False
SHAANXI_DA__TimeMixer,SHAANXI_DA,TimeMixer,17,103.49333953857422,103.49333953857422,0.0,0.0,250,250,800,800,0.03252938762307167,0.03252938762307167,104.183349609375,0.6900100708007812,72.40093231201172,72.40093231201172,103.59215545654297,41,41,977490BB5478C4F924ED1E26123A54A0A8BCB71E97981F9612ED8CA0D1B39DAB,False
SHAANXI_DA__TimeMixer,SHAANXI_DA,TimeMixer,37,103.47103118896484,103.47103118896484,0.0,0.0,250,250,800,800,0.030545691028237343,0.030545691028237343,104.62818908691406,1.1571578979492188,72.56974029541016,72.56974029541016,103.59215545654297,41,41,3BECF2059430F9EC7F217A54AA7605E6E14266D6B420F1063C8844894835FAA5,False
NINGXIA_DA__iTransformer,NINGXIA_DA,iTransformer,7,68.11109924316406,68.36663055419922,0.3737661326348063,0.25553131103515625,600,600,1000,1000,0.43429920077323914,0.33571016788482666,73.25044250488281,5.13934326171875,61.0625,63.55231475830078,71.31417083740234,16,16,2E6F9E7146C30D04D86C72E3E72B299275127FD87844588A706A8C95242E67EF,False
NINGXIA_DA__iTransformer,NINGXIA_DA,iTransformer,17,69.24305725097656,69.3753662109375,0.19071461123340072,0.1323089599609375,500,450,900,850,0.3263123631477356,0.24584171175956726,72.42803192138672,3.1849746704101562,64.73517608642578,67.78582000732422,71.31417083740234,16,16,C9F111D18EE88A3B73C42977A77D314395D4B08D42C1384CEDEC86C2F00AE630,False
NINGXIA_DA__iTransformer,NINGXIA_DA,iTransformer,37,69.61625671386719,69.63700866699219,0.02980017884489686,0.020751953125,450,450,850,850,0.22340081632137299,0.2158263623714447,75.27890014648438,5.6626434326171875,68.16696166992188,68.4857177734375,71.31417083740234,16,16,ECE28A7AC151759B642669EF6A387960D4F87F3AAA1EFC1C74C0899D39B492CC,False
