cell,market,host,seed,n_train_rows,n_val_rows,batch_size,max_epochs,patience,lr,ema_decay,steps_per_epoch,old_total_optimizer_steps,epochs_run,selected_epoch,estimated_selected_optimizer_step,epoch0_selected,step0_val_mae_ema,best_old_val_mae_ema,val_improvement_from_training_pct,selected_ema_parameter_hash,scales_fingerprint,history_support_hash,prior_freeze_sha256,in_recovery_panel
GANSU_DA__PatchTST,GANSU_DA,PatchTST,7,224,42,32,50,8,0.001,0.995,7,63,9,0,7,True,77.10432434082031,77.10432434082031,0.0,D37B56FEB2AC1D425365BC40231C0AAF73181CD6B12E4CB4BCD14EF264C8F51F,2ae8e9ad83c39456b4c40d63032b43efb069738d7cf9da504e373c6dcf0d995b,50F1FB966FD8F628BA31D5523AC9CD379B83B2D3B2B576B71B83EBC69DE27729,5AFE4F4157B70AC5FDF7375756F0F3DCA2BBE18209A8A580B3C4461BBDB2BB34,True
GANSU_DA__PatchTST,GANSU_DA,PatchTST,17,224,42,32,50,8,0.001,0.995,7,63,9,0,7,True,77.10391998291016,77.10391998291016,0.0,3411110A559020135CBC474720582BC20BAFEC9125E0CAE0C570F7E802682002,2ae8e9ad83c39456b4c40d63032b43efb069738d7cf9da504e373c6dcf0d995b,50F1FB966FD8F628BA31D5523AC9CD379B83B2D3B2B576B71B83EBC69DE27729,7C00576AC8BA2F34BE4FE815E2A8581A977995BE3238BC72977385FA2214FE1E,True
GANSU_DA__PatchTST,GANSU_DA,PatchTST,37,224,42,32,50,8,0.001,0.995,7,63,9,0,7,True,77.10381317138672,77.10381317138672,0.0,9379D466639E4159DD06FFD7809A4BDF742B7A12821C44804312B787A2604AFE,2ae8e9ad83c39456b4c40d63032b43efb069738d7cf9da504e373c6dcf0d995b,50F1FB966FD8F628BA31D5523AC9CD379B83B2D3B2B576B71B83EBC69DE27729,D9CF799C909EF1058F18F89CC950698F621F7C7AC61B4C48114F83FC086B0B7C,True
GANSU_DA__TimeMixer,GANSU_DA,TimeMixer,7,224,42,32,50,8,0.001,0.995,7,63,9,0,7,True,76.6072998046875,76.6072998046875,0.0,9F15FBED6EEC3853CFD957A10001994E29575C82BE5C4920A657385ED0700DBB,3d0b269eb2bb8b8ba9996b90a65b32b7ddb9c8c57b40ab78f25137e0254a8c63,A75B3FD7CAEFC32E5689C3AE0BC31DAB3386D222BE7EB0C4728171C72F6ECEAD,8EDF7CAC816C9E105FDEF72C2D1DF12998498154C0AD8400834158850A143A7D,False
GANSU_DA__TimeMixer,GANSU_DA,TimeMixer,17,224,42,32,50,8,0.001,0.995,7,63,9,0,7,True,76.60760498046875,76.60760498046875,0.0,0B0F27AC8060B6596F4180C3D41D7FA2229D683108270932FE5E1608F5921575,3d0b269eb2bb8b8ba9996b90a65b32b7ddb9c8c57b40ab78f25137e0254a8c63,A75B3FD7CAEFC32E5689C3AE0BC31DAB3386D222BE7EB0C4728171C72F6ECEAD,8150A0721320736B82568CE7832591B91C55647245F4A24AF21F4A49104A1785,False
GANSU_DA__TimeMixer,GANSU_DA,TimeMixer,37,224,42,32,50,8,0.001,0.995,7,63,9,0,7,True,76.60707092285156,76.60707092285156,0.0,505D845A8FCDE8F2CE8496B094FFFFE74E7476E7B619A12D4F6683517A6E0154,3d0b269eb2bb8b8ba9996b90a65b32b7ddb9c8c57b40ab78f25137e0254a8c63,A75B3FD7CAEFC32E5689C3AE0BC31DAB3386D222BE7EB0C4728171C72F6ECEAD,32BBC510126B6454EE7854928BA4BD17C0536925264E97D8454388F7449C7062,False
GANSU_DA__iTransformer,GANSU_DA,iTransformer,7,224,42,32,50,8,0.001,0.995,7,63,9,0,7,True,79.17375183105469,79.17375183105469,0.0,2E01DF83904AD1537508E02624B376A73331613B5D6C7F529D9CE37A49ABE949,ba8b3be63e1aef2b64107241928150fede466d82052132da76b586864f3a0579,DC7273374AC113CA449DB8B1BF3A3B035DE7F2884CBA3D4F2ED0D3E95FA663BA,6E50CAFF1F783126F9C419EC04B3BCCC343730C402C45F98115FABC66E403731,False
GANSU_DA__iTransformer,GANSU_DA,iTransformer,17,224,42,32,50,8,0.001,0.995,7,77,11,2,21,False,79.1737060546875,79.17362213134766,0.00010599900399481338,49AD32229FFE098E711168BD3DC7D38AED8A20EE6E0DB2B73B8378A9CDCCF2C4,ba8b3be63e1aef2b64107241928150fede466d82052132da76b586864f3a0579,DC7273374AC113CA449DB8B1BF3A3B035DE7F2884CBA3D4F2ED0D3E95FA663BA,AA55EE8F90F5034E948899FB6BF9BC19D5FB620D3DD246775C9391A084E2D651,False
GANSU_DA__iTransformer,GANSU_DA,iTransformer,37,224,42,32,50,8,0.001,0.995,7,63,9,0,7,True,79.17387390136719,79.17387390136719,0.0,EF6D5AF6216F4530129F510B01601365CCE66ECD1246EB6B850AD19009882FD0,ba8b3be63e1aef2b64107241928150fede466d82052132da76b586864f3a0579,DC7273374AC113CA449DB8B1BF3A3B035DE7F2884CBA3D4F2ED0D3E95FA663BA,8F8A2F12E338720BDA300EB727FB21802149810580ADD27F3E95EB324267A074,False
GANSU_DA__LSTM,GANSU_DA,LSTM,7,224,42,32,50,8,0.001,0.995,7,350,50,49,350,False,80.66091918945312,79.4881820678711,1.4539099397411446,19039E55F0D60D7AE938395FFF8CBCDEE0A69F426EA0C0F116BF44D6F919F991,8adac0c3b1ff8d44ea428df15021dedce878e411bfa7fecfb05649cf48f69f29,A44B0817E719E977EEF43DE3BC3802FE62281DA3C7C161CA3A7CBF7D5AFD0335,2CA9737B47A88C2C99D4FD928F654F268709FEF9684797EFF1B662C3D7BA18F5,True
GANSU_DA__LSTM,GANSU_DA,LSTM,17,224,42,32,50,8,0.001,0.995,7,350,50,49,350,False,80.66069030761719,79.89128112792969,0.9538837031436128,B56C4D24D6A4D5E122C9954CEE90203260D395891F65D6B929E522CBED5B026F,8adac0c3b1ff8d44ea428df15021dedce878e411bfa7fecfb05649cf48f69f29,A44B0817E719E977EEF43DE3BC3802FE62281DA3C7C161CA3A7CBF7D5AFD0335,8FE4B120A702D1833B6BE15D279EDEACD16E1B2957D520CE35C0DEBBAFB6D661,True
GANSU_DA__LSTM,GANSU_DA,LSTM,37,224,42,32,50,8,0.001,0.995,7,350,50,49,350,False,80.6606674194336,79.85386657714844,1.0002407221475254,4CEA628D95ADB854654FC41E056A4F2432C13B1DC0E227F5BF1E64BF9D14CF31,8adac0c3b1ff8d44ea428df15021dedce878e411bfa7fecfb05649cf48f69f29,A44B0817E719E977EEF43DE3BC3802FE62281DA3C7C161CA3A7CBF7D5AFD0335,366FE864F5317A5717F2C990386733041DAFB895CE08501959C727E51C378597,True
SHANDONG_DA__PatchTST,SHANDONG_DA,PatchTST,7,916,166,32,50,8,0.001,0.995,29,1015,35,26,783,False,76.86846160888672,75.34864807128906,1.9771613816477778,415CB1340307D7768253920CABDCE5A6D5BC235D0BA62355C3DE51CC51411E75,9f86efd1bbd1d0e2a4eac413b51dbc8883ce0e5e7437fb4a58b8305929db8e42,C65C8310D0A2C6FC12792A9BFEEE671935103E32FC5003193DFEAD8FAEBB5E66,2C3EDE8B2736E9B31619E124CDD19E1EE2E29439BF73C8BE62EAAFB0E7B780A5,True
SHANDONG_DA__PatchTST,SHANDONG_DA,PatchTST,17,916,166,32,50,8,0.001,0.995,29,261,9,0,29,True,76.8683853149414,76.8683853149414,0.0,D9F85EA92C9A5814D4392A55A743B8B0C99033EF79395DB662C2A93EC99AC48F,9f86efd1bbd1d0e2a4eac413b51dbc8883ce0e5e7437fb4a58b8305929db8e42,C65C8310D0A2C6FC12792A9BFEEE671935103E32FC5003193DFEAD8FAEBB5E66,409CD929AF7D81706E4B32F86E19C40C5E01F0678E4223497F9D4D5402E6CA83,True
