cell,market,host,seed,n_train_rows,n_val_rows,selected_step,selected_check,stopped_at_step,val_mae_ema,val_mae_raw_at_selected_step,val_host_mae,val_gain_vs_host_pct,val_correction_ratio,train_correction_ratio,diag_reconstruction_mae,level_mae,mass_mae,shape_w1,frozen_val_mae_ema,frozen_selected_epoch,improvement_vs_frozen_pct,checkpoint_parameter_hash
GANSU_DA__PatchTST,GANSU_DA,PatchTST,7,224,42,0,0,800,77.10411071777344,77.10411071777344,77.10397338867188,-0.00017810898132349223,1.773031362972688e-05,2.2120286303106695e-05,74.71075439453125,48.96087646484375,306.69696044921875,3.4361071586608887,77.10432434082031,0,0.0002770571543182623,42E86558B16423424E184356DEB290592EA81C7F0D0A270DB10C68930DED94C5
GANSU_DA__PatchTST,GANSU_DA,PatchTST,17,224,42,0,0,800,77.10381317138672,77.10381317138672,77.10397338867188,0.00020779381154407425,3.731294782483019e-05,3.332079722895287e-05,74.7105941772461,48.96087646484375,306.69696044921875,3.423569917678833,77.10391998291016,0,0.0001385293036478229,F915D647F460B0383C3A5ED83CBC8AA097CD9AA68558AA8A7E6FFE8F4E53A9B8
GANSU_DA__PatchTST,GANSU_DA,PatchTST,37,224,42,0,0,800,77.10397338867188,77.10397338867188,77.10397338867188,0.0,2.242682603537105e-05,2.650030546647031e-05,74.71073913574219,48.96087646484375,306.69696044921875,3.43898344039917,77.10381317138672,0,-0.00020779424332765262,7E42E2E34962A8DE0F41C9A000A70579313865CD81922450CD46B5A2D16E8AE6
GANSU_DA__LSTM,GANSU_DA,LSTM,7,224,42,600,12,1000,78.92111206054688,79.02376556396484,80.66068267822266,2.156652485344564,0.16396136581897736,0.2210705727338791,83.4720458984375,58.082000732421875,240.735107421875,2.7899606227874756,79.4881820678711,49,0.7134016561606923,F93F411366CEA329EC2BF37F3DB6DB42FC322A14095D592BA434EA8167E2C868
GANSU_DA__LSTM,GANSU_DA,LSTM,17,224,42,500,10,900,79.66493225097656,80.04242706298828,80.66068267822266,1.2344929328436414,0.07825417816638947,0.15890412032604218,85.47943115234375,58.09496307373047,247.786376953125,2.901763439178467,79.89128112792969,49,0.28332112560652667,AB2B9CD363A0848BF60DECF03A8F955CE0DA9A08C1C4C6699959885FC19C2CFB
GANSU_DA__LSTM,GANSU_DA,LSTM,37,224,42,600,12,1000,79.4853286743164,79.79676818847656,80.66068267822266,1.4571585125246906,0.14654862880706787,0.21997752785682678,83.33483123779297,58.12643814086914,244.30715942382812,2.717855215072632,79.85386657714844,49,0.4615154138791505,D7572036F8DF11AA253A268D5A661A5297F385E7B5FA2DBFC9659192DA501835
SHANDONG_DA__PatchTST,SHANDONG_DA,PatchTST,7,916,166,800,16,1200,75.61103820800781,75.7430419921875,76.86666870117188,1.6335175107502997,0.1400243639945984,0.15915073454380035,88.66180419921875,48.58495330810547,325.414306640625,3.3299155235290527,75.34864807128906,26,-0.34823469754957875,A46EE858ECC400550EEDB1634EF1E570FA9FFBF46AE8A23120426C8F5C81D40F
SHANDONG_DA__PatchTST,SHANDONG_DA,PatchTST,17,916,166,950,19,1350,75.46000671386719,74.89665985107422,76.86666870117188,1.8300025369555817,0.17467139661312103,0.17283160984516144,88.15333557128906,48.612945556640625,315.56964111328125,3.300884246826172,76.8683853149414,0,1.832194855276169,249C0BDA4CE9EB33DB6600D7EAFFCF720D1C61EFD3D1160C7C1DEA6F062AD0EC
SHANDONG_DA__PatchTST,SHANDONG_DA,PatchTST,37,916,166,1550,31,1950,75.00178527832031,75.22814178466797,76.86666870117188,2.4261275457396416,0.21333779394626617,0.21966250240802765,86.81906127929688,48.26618194580078,309.4683837890625,3.202223300933838,75.07361602783203,47,0.09568041785157777,322121E25D0F7B0DA11B58199580087A0C4B01367E137CB7E3A5F0D8BB5AA538
SHANDONG_DA__iTransformer,SHANDONG_DA,iTransformer,7,916,166,450,9,850,74.98084259033203,75.48677062988281,75.07028198242188,0.11914087669310537,0.12272230535745621,0.106071837246418,98.50367736816406,52.32068634033203,369.93798828125,3.589325428009033,75.07149505615234,0,0.12075484277022301,F252784C1235169645E647B018DF87EC7AA9BD1B6748FD1491ECDA934A6643F5
