target,family,held_out_market,descriptor,coef_standardised,coef_sign,oof_spearman_with_target
log1p_alpha_star,distance,GANSU_DA,hd_mean,0.02537967587482542,1,-0.11311238349234548
log1p_alpha_star,distance,GANSU_DA,hd_std,-0.6539758433215228,-1,-0.08638900745873947
log1p_alpha_star,distance,GANSU_DA,hd_iqr,0.28462901446020616,1,-0.07829380090170678
log1p_alpha_star,distance,GANSU_DA,hd_spread,0.3131761477750915,1,-0.10963656425464753
log1p_alpha_star,distance,GANSU_DA,hd_tv,-0.02910028724585692,-1,-0.11523359079222707
log1p_alpha_star,distance,GANSU_DA,hd_max_ramp,-0.030088557631046165,-1,-0.09345713726002675
log1p_alpha_star,distance,GANSU_DA,hd_shape_entropy,-0.09995040438515097,-1,-0.07150651945526176
log1p_alpha_star,distance,GANSU_DA,hd_shape_concentration,-0.023366201378659798,-1,0.07985941489159526
log1p_alpha_star,distance,GANSU_DA,hd_hour_max_sin,-0.0059809091813655514,-1,-0.04773477055721185
log1p_alpha_star,distance,GANSU_DA,hd_hour_max_cos,0.00018481726706268814,1,-0.0437362785778705
log1p_alpha_star,distance,GANSU_DA,hd_hour_min_sin,-0.04912233734821011,-1,0.049506556562223934
log1p_alpha_star,distance,GANSU_DA,hd_hour_min_cos,-0.006246176802618807,-1,0.04214464204810629
log1p_alpha_star,distance,GANSU_DA,hs_mae_med,0.028200517314719873,1,0.06070632401197511
log1p_alpha_star,distance,GANSU_DA,hs_mae_mad,-0.005825667837576048,-1,0.04724869030978673
log1p_alpha_star,distance,GANSU_DA,hs_absb_med,0.033710221856753715,1,0.07507498963642308
log1p_alpha_star,distance,GANSU_DA,hs_absb_mad,-0.004221369913590794,-1,0.09423113322187915
log1p_alpha_star,distance,GANSU_DA,hs_logB_med,-0.09092904440200321,-1,-0.09209928250560016
log1p_alpha_star,distance,GANSU_DA,hs_logB_mad,0.022816695331998902,1,-0.02849887246873349
log1p_alpha_star,distance,GANSU_DA,hs_qL_med,-0.04708301948114965,-1,0.06584287327932906
log1p_alpha_star,distance,GANSU_DA,hs_qB_med,0.04707121390607147,1,-0.06583836316372163
log1p_alpha_star,distance,GANSU_DA,hs_trend_b,0.004473453983747752,1,-0.05721059251904042
log1p_alpha_star,distance,GANSU_DA,hs_trend_logB,-0.0012018127235236262,-1,0.04331044066038781
log1p_alpha_star,distance,GANSU_DA,hs_signchange_med,-0.05218632118986178,-1,-0.12354874570330227
log1p_alpha_star,distance,GANSU_DA,hs_coh_pos,0.04319181057729943,1,-0.005761622883206542
log1p_alpha_star,distance,GANSU_DA,hs_coh_neg,-0.056126331051982004,-1,-0.03725159497809702
log1p_alpha_star,distance,GANSU_DA,hs_mae_iqr,-0.032719368972115054,-1,0.06010823540063552
log1p_alpha_star,distance,GANSU_DA,hs_b_iqr,0.014402049755400222,1,0.034214091660733074
log1p_alpha_star,distance,GANSU_DA,hs_B_iqr,-0.0009476996808587953,-1,-0.005434369905764523
log1p_alpha_star,distance,SHANDONG_DA,hd_mean,0.036140912215033176,1,-0.01889868999820668
log1p_alpha_star,distance,SHANDONG_DA,hd_std,-0.4155117209242038,-1,-0.0688550702713372
log1p_alpha_star,distance,SHANDONG_DA,hd_iqr,0.28332745132718345,1,-0.07328909745058723
log1p_alpha_star,distance,SHANDONG_DA,hd_spread,0.1470686963889434,1,-0.06203961232186117
log1p_alpha_star,distance,SHANDONG_DA,hd_tv,-0.02466314033714604,-1,-0.03858183488339585
log1p_alpha_star,distance,SHANDONG_DA,hd_max_ramp,-0.039319690528139294,-1,-0.03473773748797339
log1p_alpha_star,distance,SHANDONG_DA,hd_shape_entropy,-0.06553531991123095,-1,0.005396763734028376
log1p_alpha_star,distance,SHANDONG_DA,hd_shape_concentration,0.004841038299612177,1,0.05640046217709491
log1p_alpha_star,distance,SHANDONG_DA,hd_hour_max_sin,-0.030166914973819386,-1,0.06583897061311453
log1p_alpha_star,distance,SHANDONG_DA,hd_hour_max_cos,-0.04744173771404819,-1,-0.02700174620660401
log1p_alpha_star,distance,SHANDONG_DA,hd_hour_min_sin,-0.01966133494158636,-1,-0.040433087870620874
log1p_alpha_star,distance,SHANDONG_DA,hd_hour_min_cos,0.007009603584297791,1,-0.0034656629227306744
log1p_alpha_star,distance,SHANDONG_DA,hs_mae_med,0.014404234958450255,1,0.0798112185092242
log1p_alpha_star,distance,SHANDONG_DA,hs_mae_mad,-0.009703689715588134,-1,0.03721924332038361
log1p_alpha_star,distance,SHANDONG_DA,hs_absb_med,0.03733846538221681,1,0.08042203793709962
log1p_alpha_star,distance,SHANDONG_DA,hs_absb_mad,0.01284278011442515,1,0.04567853434867429
log1p_alpha_star,distance,SHANDONG_DA,hs_logB_med,-0.17940915535294066,-1,-0.0013869905102417506
log1p_alpha_star,distance,SHANDONG_DA,hs_logB_mad,0.004668821693852301,1,0.04119849913758485
log1p_alpha_star,distance,SHANDONG_DA,hs_qL_med,-0.08868158615663574,-1,0.038948506885877164
log1p_alpha_star,distance,SHANDONG_DA,hs_qB_med,0.08867954536750364,1,-0.03894818819968232
log1p_alpha_star,distance,SHANDONG_DA,hs_trend_b,-0.0028169215715831606,-1,0.035343960808464886
log1p_alpha_star,distance,SHANDONG_DA,hs_trend_logB,0.01022304161218458,1,-0.003694932483479959
log1p_alpha_star,distance,SHANDONG_DA,hs_signchange_med,-0.08167640024028479,-1,-0.026901984229420615
log1p_alpha_star,distance,SHANDONG_DA,hs_coh_pos,0.022838014099352783,1,0.04811576545533186
log1p_alpha_star,distance,SHANDONG_DA,hs_coh_neg,-0.026583380277081216,-1,0.031067215692954425
log1p_alpha_star,distance,SHANDONG_DA,hs_mae_iqr,-0.0056021658156237475,-1,0.03375394923579787
log1p_alpha_star,distance,SHANDONG_DA,hs_b_iqr,-0.008525001065388484,-1,0.08257778707751698
log1p_alpha_star,distance,SHANDONG_DA,hs_B_iqr,0.020331682297478074,1,0.04115813408326289
log1p_alpha_star,distance,SHAANXI_DA,hd_mean,-0.03788275731289567,-1,0.10066840545958881
log1p_alpha_star,distance,SHAANXI_DA,hd_std,0.06594905070731656,1,0.03036816505016041
log1p_alpha_star,distance,SHAANXI_DA,hd_iqr,-0.017692461154266585,-1,0.07492692510555143
log1p_alpha_star,distance,SHAANXI_DA,hd_spread,-0.08556588451632982,-1,-0.01308898508667434
log1p_alpha_star,distance,SHAANXI_DA,hd_tv,-0.04580570031019491,-1,-0.0517346347867727
log1p_alpha_star,distance,SHAANXI_DA,hd_max_ramp,0.030729401261368798,1,-0.0718155290237814
log1p_alpha_star,distance,SHAANXI_DA,hd_shape_entropy,0.04002358417831576,1,-0.06011732444574854
log1p_alpha_star,distance,SHAANXI_DA,hd_shape_concentration,0.03505326544678415,1,-0.0465729938954925
log1p_alpha_star,distance,SHAANXI_DA,hd_hour_max_sin,0.02193595203364747,1,-0.17474216524847966
log1p_alpha_star,distance,SHAANXI_DA,hd_hour_max_cos,0.003890676246865124,1,-0.13449192267586083
log1p_alpha_star,distance,SHAANXI_DA,hd_hour_min_sin,-0.004623322387384596,-1,-0.129408133547545
log1p_alpha_star,distance,SHAANXI_DA,hd_hour_min_cos,0.0016717512121352694,1,-0.06373624674400563
log1p_alpha_star,distance,SHAANXI_DA,hs_mae_med,0.04891919291686303,1,0.06484690401004677
log1p_alpha_star,distance,SHAANXI_DA,hs_mae_mad,-0.02269138054452764,-1,0.02471921187007134
log1p_alpha_star,distance,SHAANXI_DA,hs_absb_med,0.019116937603706467,1,0.07590614651816499
log1p_alpha_star,distance,SHAANXI_DA,hs_absb_mad,0.01748970266838021,1,0.04635453558863955
log1p_alpha_star,distance,SHAANXI_DA,hs_logB_med,-0.02778864662357514,-1,-0.031938679691748496
log1p_alpha_star,distance,SHAANXI_DA,hs_logB_mad,0.006481824412319178,1,0.02658050304308947
log1p_alpha_star,distance,SHAANXI_DA,hs_qL_med,-0.02226748166961513,-1,0.014643095071530455
log1p_alpha_star,distance,SHAANXI_DA,hs_qB_med,0.022260400572135033,1,-0.01465490208134156
log1p_alpha_star,distance,SHAANXI_DA,hs_trend_b,-0.00792261585096632,-1,0.011896256810186495
log1p_alpha_star,distance,SHAANXI_DA,hs_trend_logB,-0.0016052658504777189,-1,0.021216905811318403
log1p_alpha_star,distance,SHAANXI_DA,hs_signchange_med,-0.008470080013250395,-1,-0.25448718176254814
log1p_alpha_star,distance,SHAANXI_DA,hs_coh_pos,0.014203683621067052,1,0.06457238977343022
log1p_alpha_star,distance,SHAANXI_DA,hs_coh_neg,0.007965476818234285,1,-0.07759701337192973
log1p_alpha_star,distance,SHAANXI_DA,hs_mae_iqr,0.0035557736123862215,1,0.03697861398311064
log1p_alpha_star,distance,SHAANXI_DA,hs_b_iqr,0.006340372587923869,1,0.0005739474767664968
log1p_alpha_star,distance,SHAANXI_DA,hs_B_iqr,-0.004690786630940175,-1,0.04921768746287047
log1p_alpha_star,distance,NINGXIA_DA,hd_mean,-0.012951676294489615,-1,-0.0173330248182484
log1p_alpha_star,distance,NINGXIA_DA,hd_std,-0.7745530939385002,-1,0.028881340394171555
log1p_alpha_star,distance,NINGXIA_DA,hd_iqr,0.367819003831204,1,0.00929985089604776
log1p_alpha_star,distance,NINGXIA_DA,hd_spread,0.322217317179949,1,0.00908178750586543
log1p_alpha_star,distance,NINGXIA_DA,hd_tv,0.013535559790685483,1,-0.03335465459415606
log1p_alpha_star,distance,NINGXIA_DA,hd_max_ramp,-0.03750185621850269,-1,-0.05104039945827541
log1p_alpha_star,distance,NINGXIA_DA,hd_shape_entropy,-0.1225346350074182,-1,0.027876439978584786
log1p_alpha_star,distance,NINGXIA_DA,hd_shape_concentration,-0.05613842464229769,-1,-0.04830154337559367
log1p_alpha_star,distance,NINGXIA_DA,hd_hour_max_sin,-0.020550952460393873,-1,0.03435395207586991
log1p_alpha_star,distance,NINGXIA_DA,hd_hour_max_cos,-0.017364484458375063,-1,-0.031154251596520535
log1p_alpha_star,distance,NINGXIA_DA,hd_hour_min_sin,-0.022800129427262773,-1,-0.13726489515387355
log1p_alpha_star,distance,NINGXIA_DA,hd_hour_min_cos,-0.02087012949910666,-1,-0.15090688811034408
log1p_alpha_star,distance,NINGXIA_DA,hs_mae_med,0.02356563236846523,1,0.05337293914434898
log1p_alpha_star,distance,NINGXIA_DA,hs_mae_mad,-0.005853696117552639,-1,-0.04910703146928871
log1p_alpha_star,distance,NINGXIA_DA,hs_absb_med,0.05475935107703834,1,-0.08965809022099448
log1p_alpha_star,distance,NINGXIA_DA,hs_absb_mad,0.012393768773787827,1,0.06530047543709386
log1p_alpha_star,distance,NINGXIA_DA,hs_logB_med,-0.07274042948621558,-1,0.11046657859898408
log1p_alpha_star,distance,NINGXIA_DA,hs_logB_mad,0.01281615981999853,1,0.031226090480191974
log1p_alpha_star,distance,NINGXIA_DA,hs_qL_med,-0.05239498251284397,-1,-0.062159372200860916
log1p_alpha_star,distance,NINGXIA_DA,hs_qB_med,0.052395938166165765,1,0.062159372200860916
log1p_alpha_star,distance,NINGXIA_DA,hs_trend_b,0.0025279785099429565,1,-0.03094691319841016
log1p_alpha_star,distance,NINGXIA_DA,hs_trend_logB,0.013671579664555998,1,-0.04255803505030749
log1p_alpha_star,distance,NINGXIA_DA,hs_signchange_med,-0.059374663242489266,-1,-0.06655465861622101
log1p_alpha_star,distance,NINGXIA_DA,hs_coh_pos,0.020122791006461044,1,0.09746780355879976
log1p_alpha_star,distance,NINGXIA_DA,hs_coh_neg,-0.04419142887674616,-1,-0.022558004529091805
log1p_alpha_star,distance,NINGXIA_DA,hs_mae_iqr,-0.046807910189392475,-1,-0.04623516309553899
