group_type,group,n_cells,o1_gain_vs_host_pct,ray_pct,b_pct,B_pct,Shape_pct,best_single_coordinate_headroom_pct,best_family,n_material_headroom_cells,dominant_diagnosis,diagnosis_counts
ALL,ALL,20,1.5782665088548673,4.545905851543639,3.9098546991542076,-0.2543470366528952,19.273062534488147,21.007053504919924,shape,20,SHAPE_LIMITED,"{""SHAPE_LIMITED"": 16, ""LEVEL_LIMITED"": 3, ""DISTANCE_LIMITED"": 1}"
MARKET,GANSU_DA,4,0.16522670767461306,3.459909774172571,15.801960107484094,0.0012903839152016722,16.3629693156607,18.96870123054842,shape,4,SHAPE_LIMITED,"{""SHAPE_LIMITED"": 2, ""LEVEL_LIMITED"": 2}"
MARKET,SHANDONG_DA,4,2.772478524291648,5.056196470988857,3.9098546991542076,-0.23624122666669828,37.28668774533185,37.28668774533185,shape,4,SHAPE_LIMITED,"{""SHAPE_LIMITED"": 4}"
MARKET,SHAANXI_DA,4,0.2568178581497027,2.476295798440188,2.898457589463352,-0.2990298009867134,19.828150521433013,19.828150521433013,shape,4,SHAPE_LIMITED,"{""SHAPE_LIMITED"": 4}"
MARKET,NINGXIA_DA,4,2.106662921391005,6.554926426124148,8.072365631270392,-0.4029343505477301,13.534015802060512,17.89255234261803,shape,4,SHAPE_LIMITED,"{""DISTANCE_LIMITED"": 1, ""SHAPE_LIMITED"": 2, ""LEVEL_LIMITED"": 1}"
MARKET,QINGHAI_DA,4,6.6746077793126375,2.6436255890954867,-1.2521607788558498,-0.8096694941783935,27.03205527659422,27.03205527659422,shape,4,SHAPE_LIMITED,"{""SHAPE_LIMITED"": 4}"
HOST_FAMILY,PatchTST,5,4.348625544146353,4.3763764517535915,3.615231911033998,-0.35951906348500423,21.45773661577115,21.45773661577115,shape,5,SHAPE_LIMITED,"{""SHAPE_LIMITED"": 4, ""DISTANCE_LIMITED"": 1}"
HOST_FAMILY,TimeMixer,5,0.03829549903821112,4.715435251333686,1.853218265251468,0.002580734977349499,20.590218016064114,20.590218016064114,shape,5,SHAPE_LIMITED,"{""SHAPE_LIMITED"": 5}"
HOST_FAMILY,iTransformer,5,1.095210159568513,4.800375898415667,7.151847808210605,-0.7076711391730722,30.483850331659117,30.483850331659117,shape,5,SHAPE_LIMITED,"{""LEVEL_LIMITED"": 1, ""SHAPE_LIMITED"": 4}"
HOST_FAMILY,LSTM,5,2.0613228581412217,3.61848644982005,3.9471460872170523,-0.094298475489971,11.873144934949083,21.419384403170383,shape,5,SHAPE_LIMITED,"{""LEVEL_LIMITED"": 2, ""SHAPE_LIMITED"": 3}"
